Name:,JVC RX-884V Receiver,,,,v8.31,,,,,,,CURRENT DATA
Devices:,Device Combiner,,,,,,,,,,,
Manual:,,0 = 1-byte,LSB-COMP,88,NO,,,,,,,
Setup:,1074,27 = URC-9910 / 8910 / UEI HTPro,05 - Tuner,EFC,USE,00 00,2,,,,,
URC-9910 / 8910 / UEI HTPro Device Upgrade/Key Move Code:,,,,,,,,,,,,
Upgrade Code 0 = AC 32 (Tuner/1074) JVC RX-884V Receiver (KM v8.31),,,,,,,,,,,,
44 00 FE FE FF 00 00 00 14 00 3D 00 43 00 F7 00 77 00 1D 00 03 00 B7 00 2F 00 C3 00 87 00 07 00 C7 00 E1 00 61 00 17 00 E5 01 F1 01 71 01 31 01 B1 01 61 00 18 01 FF 00 51 00 E4 00 44 00 8D 00 E8 00 64 00 48 00 68 00 0D,,,,,,,,,,,,
KeyMoves,,,,,,,,,,,,
 14 F4 A4 32 00 D1«analog/digital toggle» ¦13 F4 A4 32 00 E3«sea mode»  ¦37 F4 A4 32 01 E1«exit»,,,,,,,,,,,,
End,,,,,,,,,,,,
Protocol Code: (Upgrade Req'd),,,,,,,,,,,,
Upgrade Protocol 0 = 01 44 (S3C8+) Device Combiner (KM v8.31),,,,,,,,,,,,
00 00 22 08 06 96 10 04 90 05 6B 03 E4 05 0D 38 04 2C FF E7 62 45 E7 32 44 E3 42 E3 52 1C 03 E3 72 D7 17 1E A2 36 3B F7 97 01 FF 06 D9 02 56 94 BF C6 CA 01 00 C6 C2 23 82 70 C3 70 C2 C6 DA 44 78 1F 44 13 47 4A 4D 00 34 3A 00 34 0A,,,,,,,,,,,,
End,,,,,,,,,,,,
Key Move Code:,,,198,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
fFunctions,fEFC,fByte2,bButtons,bFunctions,fNotes,Device Combiner,,kFunctions,kBoundDev,kBoundKey,kShift,b$Functions
num 0,024,0,0,35 - test,,Protocol ID,Fixed Data,,,,,
num 1,117,0,1,42 - dvd,,00 34,3A,,,,,
num 2,171,0,2,47 - cd,,00 34,0A,,,,,
num 3,121,0,3,38 - tv/dbs,,,,,,,,
num 4,170,0,4,43 - vcr1,,,,,,,,
num 5,119,0,5,48 - vcr2,,,,,,,,
num 6,053,0,6,46 - tape/md,,,,,,,,
num 7,057,0,7,39 - video,,,,,,,,
num 8,026,0,8,41 - fm/am,,,,,,,,
num 9,110,0,9,40 - phono,,,,,,,,
vol up,246,0,vol up,10 - vol up,,,,,,,,
vol down,250,0,vol down,11 - vol down,,,,,,,,
mute,244,0,mute,12 - mute,,,,,,,,
channel up,249,0,channel up,50 - tuning freq +,,,,,,,,
channel down,245,0,channel down,51 - tuning freq -,,,,,,,,
power,122,0,power,15 - power,,,,,,,,
enter,,,enter,34 - center tone,,,,,,,,
tv/vcr,,,tv/vid,36 - effect,,,,,,,,
last (prev ch),,,prev,49 - loudness,,,,,,,,
menu,134,1,menu,24 - analog/digital toggle,,,,,,,,
program guide,,,guide,23 - surround mode,,,,,,,,
up arrow,133,1,up arrow,17 - up arrow,,,,,,,,
down arrow,137,1,down arrow,18 - down arrow,,,,,,,,
left arrow,139,1,left arrow,19 - left arrow,,,,,,,,
right arrow,135,1,right arrow,20 - right arrow,,,,,,,,
select,,,select,25 - set,,,,,,,,
sleep,187,0,sleep,,,,,,,,,
pip on/off,,,pip,,,,,,,,,
display,,,info,37 - sea mode,,,,,,,,
pip swap,,,swap,,,,,,,,,
pip move,,,move,,,,,,,,,
play,,,play,27 - center +,,,,,,,,
pause,,,pause,33 - sub +,,,,,,,,
rewind,,,rewind,29 - rear left +,,,,,,,,
fast fwd,,,fwd,31 - rear right +,,,,,,,,
stop,,,stop,26 - center -,,,,,,,,
record,,,record,32 - sub -,,,,,,,,
exit,005,1,exit,22 - exit,,,,,,,,
surround mode,229,0,surround,,,,,,,,,
analog/digital toggle,132,0,input,,,,,,,,,
+100,,,+100,,,,,,,,,
set,009,1,fav/scan,,,,,,,,,
center -,241,0,device button,,,,,,,,,
center +,237,0,f fwd,30 - rear right -,,,,,,,,
rear left -,042,0,f rew,28 - rear left -,,,,,,,,
rear left +,038,0,com/skip,,,,,,,,,
rear right -,081,0,shift-right,,,,,,,,,
rear right +,077,0,pip freeze,,,,,,,,,
sub -,080,0,slow,,,,,,,,,
sub +,240,0,eject,,,,,,,,,
center tone,210,0,slow+,,,,,,,,,
test,114,0,slow-,,,,,,,,,
effect,181,1,x2,,,,,,,,,
sea mode,021,0,center,,,,,,,,,
tv/dbs,117,0,rear,,,,,,,,,
video,119,0,phantom1,,,,,,,,,
phono,020,0,phantom2,,,,,,,,,
fm/am,059,0,phantom3,,,,,,,,,
dvd,171,0,phantom4,,,,,,,,,
vcr1,121,0,phantom5,,,,,,,,,
Discrete Off,247,0,phantom6,,,,,,,,,
Discrete On,248,0,phantom7,,,,,,,,,
tape/md,026,0,phantom8,,,,,,,,,
cd,024,0,phantom9,,,,,,,,,
vcr2,170,0,phantom10,,,,,,,,,
loudness,136,0,setup,,,,,,,,,
tuning freq +,005,0,light,,,,,,,,,
tuning freq -,009,0,home theater,,,,,,,,,
,,,M1,,,,,,,,,
,,,M2,,,,,,,,,
,,,M3,,,,,,,,,
,,,macro4,,,,,,,,,
,,,L1,,,,,,,,,
,,,L2,,,,,,,,,
,,,L3,,,,,,,,,
,,,L4,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
