Name:,Denon AVR1603,,,,v8.17,,,,,,,CURRENT DATA
Devices:,Denon Combo (Official),,,,,,,,,,,
Manual:,,0 = 1-byte,LSB-COMP,58,NO,,,,,,,
Setup:,1603,01 = 15-1994,05 - Tuner,OBC,USE,,2,,,,,
15-1994 Device Upgrade Code:,,,,,,,,,,,,
Upgrade Code 0 = 46 43 (Tuner/1603),,,,,,,,,,,,
9C 00 F8 3C 81 00 00 C8 7C C8 BC C8 3C C8 DC C8 5C C8 9C C8 1C C8 EC 00 00 B8 70 B8 B0 B8 F0 C8 94 C8 54 B8 78 B8 F8 C8 3A C8 DA B8 01 B8 44 B8 B8,,,,,,,,,,,,
End,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
Protocol Code: (Upgrade Req'd),,,,,,,,,,,,
Upgrade Protocol 0 = 00 9C (S3C8),,,,,,,,,,,,
3D 92 02 8B 0D 49 05 08 00 84 01 75 00 84 03 87 83 C2 E6 24 03 20 10 0C 05 E4 03 05 60 05 90 05 0A FC B0 C6 A6 0D 02 EB 03 E6 0D 05 F6 01 33 60 04 60 05 F6 01 0A 7B 02 60 C6 F6 01 33 37 61 09 60 04 60 05 F6 01 0A 7B E3 AF,,,,,,,,,,,,
End,,,,,,,,,,,,
Key Move Code:,,,229,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
fFunctions,fOBC,fByte2,bButtons,bFunctions,fNotes,Device Combiner,,kFunctions,kBoundDev,kBoundKey,kShift,b$Functions
5CH STEREO,168,12,0,,,Protocol ID,Fixed Data,,,,,
ALL BASS DOWN,128,12,1,66 - TUNER PRESET CH 1,,,,,,,,
ALL BASS UP,191,12,2,67 - TUNER PRESET CH 2,,,,,,,,
ALL TREBLE DOWN,184,12,3,68 - TUNER PRESET CH 3,,,,,,,,
