Name:,Sony Receiver Combo,,,,v8.33,,,,,,,CURRENT DATA
Devices:,Sony Combo (12/15/20),,,,,,,,,,,
Manual:,,0 = 1-byte,LSB-COMP,87,NO,,,,,,,
Setup:,0158,27 = URC-9910 / 8910 / UEI HTPro,15 - Amp,OBC,USE,00 00 00 00,2,,,,,
URC-9910 / 8910 / UEI HTPro Device Upgrade/Key Move Code:,,,,,,,,,,,,
Upgrade Code 0 = B8 9E (Amp/0158) Sony Receiver Combo (KM v8.33),,,,,,,,,,,,
27 00 FE FE FF 00 00 00 00 A4 08 84 08 C4 08 04 08 44 08 78 08 42 08 56 08 C4 08 D6 08 48 08 C8 08 28 08 08 B0 88 B0 A8 08 F0 B0 1F 09 9F 09 5F 09 DF 09 EF 09 30 08 CA B0 84 B0 53 09 33 09 C8 B0 48 B0 8C B0 B3 09 4C B0 0C B0,,,,,,,,,,,,
KeyMoves,,,,,,,,,,,,
 30 F4 B0 9E 06 08«sleep»  ¦9F F4 B0 9E 90 B0«num 0»  ¦95 F4 B0 9E 00 B0«num 1»  ¦96 F4 B0 9E 80 B0«num 2»  ¦97 F4 B0 9E 40 B0«num 3»  ¦99 F4 B0 9E C0 B0«num 4»  ¦9A F4 B0 9E 20 B0«num 5»  ¦9B F4 B0 9E A0 B0«num 6»  ¦9C F4 B0 9E 60 B0«num 7»  ¦9D F4 B0 9E E0 B0«num 8»  ¦9E F4 B0 9E 10 B0«num 9»  ,,,,,,,,,,,,
End,,,,,,,,,,,,
Protocol Code: (Upgrade Req'd),,,,,,,,,,,,
Upgrade Protocol 0 = 01 27 (S3C8+) Sony Combo (12/15/20) (KM v8.33),,,,,,,,,,,,
3A 8A 42 8B 15 F8 15 05 07 02 58 01 18 01 2C 01 18 57 D0 04 B0 01 18 08 03 08 76 07 01 EB 17 76 08 01 6B 0F E6 28 F9 E6 12 08 08 08 E0 C0 56 C0 03 09 01 E6 24 05 8D 01 49,,,,,,,,,,,,
End,,,,,,,,,,,,
Key Move Code:,,,198,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
fFunctions,fOBC,fByte2,bButtons,bFunctions,fNotes,Device Combiner,,kFunctions,kBoundDev,kBoundKey,kShift,b$Functions
num 0,009,13,0,36 - cd/sacd,,Protocol ID,Fixed Data,,,,,00 - num 0
num 1,000,13,1,31 - tuner,,,,,,,,01 - num 1
num 2,001,13,2,34 - tape,,,,,,,,02 - num 2
num 3,002,13,3,30 - phono,,,,,,,,03 - num 3
num 4,003,13,4,33 - video 1,,,,,,,,04 - num 4
num 5,004,13,5,28 - video 2,,,,,,,,05 - num 5
num 6,005,13,6,52 - video 3,,,,,,,,06 - num 6
num 7,006,13,7,81 - tv/sat,,,,,,,,07 - num 7
num 8,007,13,8,34 - tape,,,,,,,,08 - num 8
num 9,008,13,9,82 - dvd/ld,,,,,,,,09 - num 9
enter,012,16,vol up,16 - vol up,,,,,,,,
fm simulcast,013,16,vol down,17 - vol down,,,,,,,,
memory,014,13,mute,20 - mute,,,,,,,,
am/fm_ band,015,13,channel up,14 - preset up,,,,,,,,
preset up,016,13,channel down,15 - preset down,,,,,,,,
preset down,017,13,power,21 - power,,,,,,,,
vol up,018,16,enter,10 - enter,,,,,,,,
vol down,019,16,tv/vid,68 - direct freq input,,,,,,,,
tune +,018,13,prev,32 - stereo/mono,,,,,,,,
tune -,019,13,menu,,,,,,,,,
mute,020,16,guide,13 - am/fm_ band,,,,,,,,
power,021,16,up arrow,85 - up,,,,,,,,
tuner memory,022,16,down arrow,86 - down,,,,,,,,
mpx/dual,023,16,left arrow,87 - left_ level +,,,,,,,,
tuning mode,023,13,right arrow,88 - right_ level -,,,,,,,,
fm,024,16,select,84 - select/ok_ change DSP mode,,,,,,,,
am,026,16,sleep,77 - sleep,,,,,,,,
aux,029,16,pip,,,,,,,,,
video 2,030,16,info,,,,,,,,,
adaptor/eq,031,16,swap,,,,,,,,,
phono,032,16,move,,,,,,,,,
tuner,033,16,play,58 - test tone,,,,,,,,
stereo/mono,033,13,pause,60 - EQ/Tone,,,,,,,,
video 1,034,16,rewind,19 - tune -,,,,,,,,
tape,035,16,fwd,18 - tune +,,,,,,,,
tape 2_ video/dat,036,16,stop,46 - tuner preset b,,,,,,,,
cd/sacd,037,16,record,47 - bass boost,,,,,,,,
front bal l,038,16,exit,,,,,,,,,
front bal r,039,16,surround,,,,,,,,,
phono start,040,16,input,,,,,,,,,
phono stop,041,16,+100,,,,,,,,,
mix,043,16,fav/scan,,,,,,,,,
phono cue,044,16,device button,,,,,,,,,
power on,046,16,f fwd,48 - tuner preset c,,,,,,,,
power off,047,16,f rew,45 - tuner preset a,,,,,,,,
tuner preset a,048,13,com/skip,,,,,,,,,
tuner preset b,049,13,shift-right,,,,,,,,,
bass boost,077,144,pip freeze,,,,,,,,,
