Name:,KLH-R7000,,,,v8.06,,,,,,,CURRENT DATA
Devices:,NEC1,81,16,,,,,,,,,
Manual:,,0 = 1-byte,LSB-COMP,88,NO,,,,,,,
Setup:,1428,24 = URC-881x / 801x / 601x,05 - Tuner,EFC,USE,,,,,,,
URC-881x / 801x / 601x Device Upgrade/Key Move Code:,,,,,,,,,,,,
Upgrade Code 0 = 25 94 (Tuner/1428),,,,,,,,,,,,
5A 00 F8 86 51 20 75 F7 A4 B6 1E 56 76 36 9C 00 00 00 BC 3C 2E 46 5C FC 3C 4E 7E 64 BC FE,,,,,,,,,,,,
KeyMoves,,,,,,,,,,,,
 22 F3 25 94 E6 86 F3 25 94 DC 87 F3 25 94 66 B5 F3 25 94 A4,,,,,,,,,,,,
End,,,,,,,,,,,,
Protocol Code:,,,,,,,,,,,,
Upgrade Protocol 0 = 00 5A (S3C8+),,,,,,,,,,,,
43 8B 31 8B 12 CF 44 08 08 01 18 01 06 01 18 03 39 D2 DC 11 94 08 B6 20 01 08 03 37 04 15 F6 01 46 FB 10 37 0B 07 E4 05 04 60 05 8B 0E B6 04 80 B6 05 80 37 0B 05 E4 04 05 60 05 E4 06 07 60 07 20 11 37 06 05 F6 01 04 7B 12 37 09 15 37 02 06 F6 01 49 F6 01 46 37 01 03 46 29 0D 46 29 01 8D 01 49 E4 20 1E E4 21 1F 37 01 EB F6 01 49 E6 28 C1 60 04 E6 12 01 8B E4,,,,,,,,,,,,
End,,,,,,,,,,,,
Key Move Code:,,,229,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
fFunctions,fEFC,fByte2,bButtons,bFunctions,fNotes,Device Combiner,,kFunctions,kBoundDev,kBoundKey,kShift,b$Functions
num 0,061,,0,21 - surround,,Protocol ID,Fixed Data,,,,,
num 1,060,,1,27 - VCR1,,,,,,,,
num 2,063,,2,24 - VCR2,,,,,,,,
num 3,191,,3,30 - VCR3,,,,,,,,
num 4,195,,4,26 - DVD/6CH,,,,,,,,
