Name:,Yamaha RX-V1300,,,,v8.18,,,,,,,CURRENT DATA
Devices:,NEC1,122,,,,,,,,,,
Manual:,,0 = 1-byte,LSB-COMP,88,NO,,,,,,,
Setup:,1704,99 = 15-2117 / 15-2116,15 - Amp,OBC,USE,00 A1 A1,1,,,,,
15-2117 / 15-2116 Device Upgrade/Key Move Code:,,,,,,,,,,,,
Upgrade Code 0 = B6 A8 (Amp/1704),,,,,,,,,,,,
5A 00 D6 D1 00 A1 A1 00 58 98 18 E8 68 A8 28 C8 00 A7 27 C7 47 0F 7C 67 FC 97,,,,,,,,,,,,
KeyMoves,,,,,,,,,,,,
 83 F3 B6 A8 87,,,,,,,,,,,,
End,,,,,,,,,,,,
Protocol Code:,,,,,,,,,,,,
Upgrade Protocol 0 = 00 5A (S3C8+),,,,,,,,,,,,
43 8B 31 8B 12 CF 44 08 08 01 18 01 06 01 18 03 39 D2 DC 11 94 08 B6 20 01 08 03 37 04 15 F6 01 46 FB 10 37 0B 07 E4 05 04 60 05 8B 0E B6 04 80 B6 05 80 37 0B 05 E4 04 05 60 05 E4 06 07 60 07 20 11 37 06 05 F6 01 04 7B 12 37 09 15 37 02 06 F6 01 49 F6 01 46 37 01 03 46 29 0D 46 29 01 8D 01 49 E4 20 1E E4 21 1F 37 01 EB F6 01 49 E6 28 C1 60 04 E6 12 01 8B E4,,,,,,,,,,,,
End,,,,,,,,,,,,
Key Move Code:,,,205,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
fFunctions,fOBC,fByte2,bButtons,bFunctions,fNotes,Device Combiner,,kFunctions,kBoundDev,kBoundKey,kShift,b$Functions
num 0,,,0,,,Protocol ID,Fixed Data,,,,,
num 1,229,,1,00 - num 1,,,,,,,,
num 2,230,,2,01 - num 2,,,,,,,,
num 3,231,,3,02 - num 3,,,,,,,,
num 4,232,,4,03 - num 4,,,,,,,,
num 5,233,,5,04 - num 5,,,,,,,,
num 6,234,,6,05 - num 6,,,,,,,,
num 7,235,,7,06 - num 7,,,,,,,,
num 8,236,,8,07 - num 8,,,,,,,,
num 9,,,9,,,,,,,,,
vol up,026,,vol up,08 - vol up,,,,,,,,
vol down,027,,vol down,09 - vol down,,,,,,,,
