Name:,MITSUBISHI M-AV3,,,,v7.11,,,,,,,CURRENT DATA
Devices:,Mitsubishi,119,,,,,,,,,,
Manual:,,0 = 1-byte,LSB-COMP,88,NO,,,,,,,
Setup,0132,01 = 15-1994,05 - Tuner,EFC,USE,,,,,,,
Device Upgrade Code:,,,,Protocol Code:,,,,,,,,
Upgrade code 0 = 40 84 (Tuner/0132),,,,Upgrade protocol 0 = 00 14 (S3C8),,,,,,,,
14 1A 78 3C 5E C1 11 BB AB B3 AF B7 BF 53 33 23,,,,47 A9 11 8B 0E C5 41 08 08 00 96 01 B8 00 96 04,,,,,,,,
A7 A3 2B DF C7 CB DB D7 CF,,,,1A 68 E2 E6 0D 03 8D 01 33,,,,,,,,
End,,,,End,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,Key Move Code:,,,229,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
fFunctions,fEFC,fByte2,bButtons,bFunctions,fNotes,Device Combiner,,kmFunctions,kBoundDev,kBoundKey,kShift,b$-Functions
num 0,057,,0,00 - num 0,,Protocol ID,Fixed Data,,,,,
num 1,181,,1,01 - num 1,,,,,,,,
num 2,053,,2,02 - num 2,,,,,,,,
num 3,117,,3,03 - num 3,,,,,,,,
num 4,245,,4,04 - num 4,,,,,,,,
num 5,213,,5,05 - num 5,,,,,,,,
num 6,085,,6,06 - num 6,,,,,,,,
num 7,149,,7,07 - num 7,,,,,,,,
num 8,021,,8,08 - num 8,,,,,,,,
num 9,185,,9,09 - num 9,,,,,,,,
Vol UP,215,,vol up,10 - Vol UP,,,,,,,,
Vol DOWN,087,,vol down,11 - Vol DOWN,,,,,,,,
MUTE,151,,mute,12 - MUTE,,,,,,,,
Channel UP,055,,channel up,13 - Channel UP,,,,,,,,
Channel DOWN,119,,channel down,14 - Channel DOWN,,,,,,,,
POWER,183,,power,15 - POWER,,,,,,,,
1s,027,,enter,32 - ENTER,,,,,,,,
2s,155,,tv/vcr,,,,,,,,,
3s,091,,last,,,,,,,,,
Power On,167,,menu,,,,,,,,,
Power Off,039,,program / guide,,,,,,,,,
(up arrow),,,up arrow,30 - Surround Vol UP,,,,,,,,
