Name:,JVC RM-SR518U remote control,,,,v8.30,,,,,,,CURRENT DATA
Devices:,JVC,163,,,,,,,,,,
Manual:,,0 = 1-byte,LSB-COMP,88,NO,,,,,,,
Setup:,1074,18 = 15-2104,05 - Tuner,EFC,USE,3A,1,,,,,
15-2104 Device Upgrade/Key Move Code:,,,,,,,,,,,,
Upgrade Code 0 = 34 32 (Tuner/1074) JVC RM-SR518U remote control (KM v8.30),,,,,,,,,,,,
34 00 F0 00 1E 81 3A 43 2F 77 B7 03 9F 27 83 6F EF 87 07 C7 67 E7 17 CD 4D E5 65 3D,,,,,,,,,,,,
KeyMoves,,,,,,,,,,,,
 25 F3 34 32 03«tape»¦26 F3 34 32 77«VCR» ¦2A F3 34 32 C3«phono»  ¦2B F3 34 32 3D«video: default 0074 code is 119»¦2C F3 34 32 2F«FM/AM»  ¦2D F3 34 32 43«CD»  ,,,,,,,,,,,,
End,,,,,,,,,,,,
Protocol Code:,,,,,,,,,,,,
Upgrade Protocol 0 = 00 34 (S3C8+) JVC (KM v8.30),,,,,,,,,,,,
43 8B 11 8B 19 C5 C9 80 20 08 08 01 07 00 F4 01 07 03 03 73 50 10 7C 08 2A 00 00 00 5A 95 20 0D 20 0D 8D 01 46,,,,,,,,,,,,
End,,,,,,,,,,,,
Key Move Code:,,,224,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
fFunctions,fEFC,fByte2,bButtons,bFunctions,fNotes,Device Combiner,,kFunctions,kBoundDev,kBoundKey,kShift,b$Functions
num 0,024,,0,00 - num 0,,Protocol ID,Fixed Data,,,,,
num 1,059,,1,01 - num 1,,,,,,,,
num 2,121,,2,02 - num 2,,,,,,,,
num 3,119,,3,03 - num 3,,,,,,,,
num 4,026,,4,04 - num 4,,,,,,,,
num 5,182,,5,05 - num 5,,,,,,,,
num 6,251,,6,06 - num 6,,,,,,,,
num 7,022,,7,07 - num 7,7/P see notes,,,,,,,
num 8,057,,8,08 - num 8,,,,,,,,
num 9,053,,9,09 - num 9,,,,,,,,
vol up,246,,vol up,10 - vol up,,,,,,,,
vol down,250,,vol down,11 - vol down,,,,,,,,
mute,244,,mute,12 - mute,,,,,,,,
channel up,249,,channel up,13 - channel up,,,,,,,,
channel down,245,,channel down,14 - channel down,,,,,,,,
power,122,,power,15 - power,Audio power button,,,,,,,
menu,,,enter,,,,,,,,,
program/guide,,,tv/vcr,,,,,,,,,
display/info,,,last,,,,,,,,,
exit,,,menu,,,,,,,,,
up arrow,,,guide,,,,,,,,,
down arrow,,,up arrow,,,,,,,,,
left arrow,,,down arrow,,,,,,,,,
right arrow,,,left arrow,,,,,,,,,
select,,,right arrow,,,,,,,,,
enter,,,select,,,,,,,,,
tv/vcr,,,sleep,,,,,,,,,
last/prev ch,,,pip on/off,,,,,,,,,
sleep,,,info,,,,,,,,,
play,036,,pip swap,,,,,,,,,
pause,040,,pip move,,,,,,,,,
rewind,229,,play,16 - play,,,,,,,,
fast fwd,233,,pause,17 - pause,,,,,,,,
stop,171,,rewind,18 - rewind,,,,,,,,
record,,,fast fwd,19 - fast fwd,,,,,,,,
f.fwd/next track,,,stop,20 - stop,,,,,,,,
f.rew/prev track,,,record,,,,,,,,,
+100,,,exit,,,,,,,,,
pip on/off,,,surround,,,,,,,,,
pip swap,,,input,,,,,,,,,
pip move,,,+100,,,,,,,,,
pip freeze,,,fav/scan,,,,,,,,,
phono,020,,device button,,,,,,,,,
video,171,,next track,,default 0074 code is 119,,,,,,,
FM/AM,059,,prev track,,,,,,,,,
CD,024,,shift-left,,,,,,,,,
tape,026,,shift-right,,,,,,,,,
VCR,121,,pip freeze,,,,,,,,,
TV power,122,,slow,,,,,,,,,
VCR Power,059,,eject,,,,,,,,,
TV,117,,slow+,,,,,,,,,
CD-DISC,,,slow-,,see notes,,,,,,,
num 10,070,,x2,,,,,,,,,
num +10,074,,center,,,,,,,,,
surr on/off,184,,rear,,center+ W level control,,,,,,,
surr mode,229,,phantom1,,center- W level control,,,,,,,
surr test,114,,phantom2,,rear+ W level control,,,,,,,
surr delay,037,,phantom3,,rear- W level control,,,,,,,
surr level control,,,phantom4,,see notes,,,,,,,
center+,237,,discreteON,,,,,,,,,
center-,241,,discreteOFF,,,,,,,,,
rear+,038,,phantom7,,,,,,,,,
rear-,042,,phantom8,,,,,,,,,
,,,phantom9,,,,,,,,,
,,,phantom10,,,,,,,,,
,,,setup,,,,,,,,,
,,,light,,,,,,,,,
,,,theater,,,,,,,,,
,,,music,25 - tape,,,,,,,,
,,,movie,26 - VCR,,,,,,,,
,,,sport,,,,,,,,,
,,,news,,,,,,,,,
,,,1s,21 - phono,,,,,,,,
,,,2s,22 - video,,,,,,,,
,,,3s,23 - FM/AM,,,,,,,,
,,,4s,24 - CD,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
