Name:,Airboard - Make_AND_Break_keys,,,,v8.31,,,,,,,CURRENT DATA
Devices:,Manual Settings,,,,,,,,,,,
Manual:,,0 = 1-byte,LSB,88,NO,,,,,,,
Setup:,2000,99 = 15-2117 / 15-2116,01 - Cable,OBC,USE,,1,,,,,
15-2117 / 15-2116 Device Upgrade Code:,,,,,,,,,,,,
Upgrade Code 0 = 6F D0 (Cable/2000) Airboard - Make_AND_Break_keys (KM v8.31),,,,,,,,,,,,
90 00 41 CA BA 00,,,,,,,,,,,,
End,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
Protocol Code: (Upgrade Req'd),,,,,,,,,,,,
Upgrade Protocol 0 = 01 90 (S3C8+) Custom Protocol for Cable/2000 Airboard - Make_AND_Break_keys (KM v8.31),,,,,,,,,,,,
42 89 01 8B 12 84 04 08 08 00 00 01 90 01 6F 00 20 03 48 01 6F 00 20 F6 01 46 B6 03 1F F6 01 46 B6 03 1E F6 01 46 B6 03 1F 8D 01 46,,,,,,,,,,,,
End,,,,,,,,,,,,
Key Move Code:,,,205,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
fFunctions,fOBC,fByte2,bButtons,bFunctions,fNotes,Device Combiner,,kFunctions,kBoundDev,kBoundKey,kShift,b$Functions
0 / ),216,,0,,,Protocol ID,Fixed Data,,,,,
1 / !,209,,1,,,,,,,,,
2 / @,208,,2,,,,,,,,,
3 / #,215,,3,,,,,,,,,
4 / $,214,,4,,,,,,,,,
5 / %,213,,5,,,,,,,,,
6 / ^,212,,6,,,,,,,,,
7 / &,219,,7,,,,,,,,,
8 / *,218,,8,,,,,,,,,
9 / (,217,,9,,,,,,,,,
