Name:,OppoDigital OPDV971H,,,,v8.32,,,,,,,CURRENT DATA
Devices:,NEC1,73,,,,,,,,,,
Manual:,,0 = 1-byte,LSB-COMP,88,NO,,,,,,,
Setup:,1073,24 = URC-881x / 801x / 601x,06 - DVD,EFC,USE,00 6D 6D,1,,,,,
URC-881x / 801x / 601x Device Upgrade/Key Move Code:,,,,,,,,,,,,
Upgrade Code 0 = 14 31 (DVD/1073) OppoDigital OPDV971H (KM v8.32),,,,,,,,,,,,
5A 00 FE FE FE E1 00 6D 6D ED DD 5D 9D 9F 1F 7D 97 FD 55 F7 DF 6D FF 2F A7 8D 0D 6F D5 B7 35 3F 57 0F 17 2D AF 95 AD BF 8F BD 37 15 4F,,,,,,,,,,,,
KeyMoves,,,,,,,,,,,,
 22 F3 14 31 27«eject»  ¦3B F3 14 31 B5«zoom»¦20 F3 14 31 CD«angle»  ¦3C F3 14 31 4D«go to»  ¦25 F3 14 31 7F«sound field»  ¦26 F3 14 31 77«equalization» ¦27 F3 14 31 3D«sound meter (psm)»  ¦28 F3 14 31 75«audio»  ¦A8 F3 14 31 1D«subtitle»  ,,,,,,,,,,,,
End,,,,,,,,,,,,
Protocol Code:,,,,,,,,,,,,
Upgrade Protocol 0 = 00 5A (S3C8+) NEC1 (KM v8.32),,,,,,,,,,,,
43 8B 31 8B 12 CF 44 08 08 01 18 01 06 01 18 03 39 D2 DC 11 94 08 B6 20 01 08 03 37 04 15 F6 01 46 FB 10 37 0B 07 E4 05 04 60 05 8B 0E B6 04 80 B6 05 80 37 0B 05 E4 04 05 60 05 E4 06 07 60 07 20 11 37 06 05 F6 01 04 7B 12 37 09 15 37 02 06 F6 01 49 F6 01 46 37 01 03 46 29 0D 46 29 01 8D 01 49 E4 20 1E E4 21 1F 37 01 EB F6 01 49 E6 28 C1 60 04 E6 12 01 8B E4,,,,,,,,,,,,
End,,,,,,,,,,,,
Key Move Code:,,,220,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
fFunctions,fEFC,fByte2,bButtons,bFunctions,fNotes,Device Combiner,,kFunctions,kBoundDev,kBoundKey,kShift,b$Functions
num 0,037,,0,00 - num 0,,Protocol ID,Fixed Data,,,,,
num 1,164,,1,01 - num 1,,,,,,,,
num 2,168,,2,02 - num 2,,,,,,,,
num 3,166,,3,03 - num 3,,,,,,,,
num 4,182,,4,04 - num 4,,,,,,,,
num 5,186,,5,05 - num 5,,,,,,,,
num 6,169,,6,06 - num 6,,,,,,,,
num 7,118,,7,07 - num 7,,,,,,,,
num 8,165,,8,08 - num 8,,,,,,,,
num 9,104,,9,09 - num 9,,,,,,,,
vol up,117,,vol up,10 - vol up,,,,,,,,
vol down,180,,vol down,11 - vol down,,,,,,,,
mute,041,,mute,12 - mute,,,,,,,,
key up,181,,channel up,13 - key up,,,,,,,,
key down,059,,channel down,14 - key down,,,,,,,,
power,247,,power,15 - power,,,,,,,,
menu,107,,enter,35 - +10,,,,,,,,
display/info,183,,tv/vid,36 - dvi,,,,,,,,
exit,042,,prev,43 - clear,,,,,,,,
up arrow,039,,menu,16 - menu,,,,,,,,
down arrow,038,,guide,48 - setup,,,,,,,,
left arrow,119,,up arrow,19 - up arrow,,,,,,,,
right arrow,043,,down arrow,20 - down arrow,,,,,,,,
select,055,,left arrow,21 - left arrow,,,,,,,,
slow,058,,right arrow,22 - right arrow,,,,,,,,
repeat,053,,select,23 - select,,,,,,,,
A-B,249,,sleep,40 - eject,,,,,,,,
PAL<->NTSC<->AUTO,245,,pip,46 - zoom,<normally set to auto>,,,,,,,
play,120,,info,17 - display/info,,,,,,,,
pause,187,,swap,45 - angle,,,,,,,,
rewind,122,,move,42 - go to,,,,,,,,
fast fwd,057,,play,28 - play,,,,,,,,
stop,102,,pause,29 - pause,,,,,,,,
skip fwd,106,,rewind,30 - rewind,,,,,,,,
skip back,056,,fwd,31 - fast fwd,,,,,,,,
+10,054,,stop,32 - stop,,,,,,,,
dvi,123,,record,24 - slow,,,,,,,,
keyboard,184,,exit,18 - exit,,,,,,,,
sound field,185,,surround,,,,,,,,,
equalization,121,,input,,,,,,,,,
eject,251,,+100,,,,,,,,,
subtitle,170,,fav,,,,,,,,,
go to,040,,device button,,,,,,,,,
clear,167,,f fwd,33 - skip fwd,,,,,,,,
audio,105,,f rew,34 - skip back,,,,,,,,
angle,036,,shift-left,,,,,,,,,
zoom,103,,shift-right,,,,,,,,,
title,101,,pip freeze,,return to title menu,,,,,,,
setup,100,,slow,,,,,,,,,
sound meter (psm),171,,eject,,,,,,,,,
,,,slow+,,,,,,,,,
,,,slow-,,,,,,,,,
,,,x2,,,,,,,,,
,,,center,,,,,,,,,
,,,rear,,,,,,,,,
,,,phantom1,,,,,,,,,
,,,phantom2,,,,,,,,,
,,,phantom3,,,,,,,,,
,,,phantom4,,,,,,,,,
,,,phantom5,,,,,,,,,
,,,phantom6,,,,,,,,,
,,,phantom7,,,,,,,,,
,,,phantom8,,,,,,,,,
,,,phantom9,,,,,,,,,
,,,phantom10,,,,,,,,,
,,,setup,,,,,,,,,
,,,light,,,,,,,,,
,,,home theater,,,,,,,,,
,,,M1,,,,,,,,,
,,,M2,,,,,,,,,
