Name:,Gradiente DVD-K30,,,,v9.19,,,,,,,,CURRENT DATA
Devices:,Aiwa,102,,,,,,,,,,,
Manual:,,0 = 1-byte,LSB-COMP,D8,NO,,,,,,,,
Setup:,0573,99 = URC-6131 PVR,06 - DVD,OBC,USE,66 00,1,No,,,,,
URC-6131 PVR Device Upgrade Code:,,,,,,,,,,,,,
Upgrade Code 0 = 22 3D (DVD/0573) Gradiente DVD-K30 (KM v9.19),,,,,,,,,,,,,
5E 00 BE EE FE FE E1 66 00 01 81 41 C1 21 A1 61 E1 11 91 85 F9 89 05 05 39 79 45 31 F1 29 25 E9 19 59 99 D1 E5 A9 09 D9 85 F9 55 71 49 C9 65 B9,,,,,,,,,,,,,
End,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
Protocol Code:,,,,,,,,,,,,,
Upgrade Protocol 0 = 00 5E (S3C8+) Aiwa (KM v9.19),,,,,,,,,,,,,
3D 91 21 8B 13 E6 44 08 08 01 12 03 3C 01 12 01 0B D2 37 11 7E 08 C3 05 08 04 37 01 06 F6 01 46 E6 28 C0 46 29 01 8D 01 46,,,,,,,,,,,,,
End,,,,,,,,,,,,,
Key Move Code:,,,226,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
fFunctions,fOBC,fByte2,bButtons,bFunctions,fNotes,Device Combiner,,kFunctions,kBoundDev,kBoundKey,kShift,b$Functions,bBtnCd
0,128,,0,00 - 0,,Protocol ID,Fixed Data,,,,,,1F
1,129,,1,01 - 1,,,,,,,,,15
2,130,,2,02 - 2,,,,,,,,,16
3,131,,3,03 - 3,,,,,,,,,17
4,132,,4,04 - 4,,,,,,,,,19
5,133,,5,05 - 5,,,,,,,,,1A
6,134,,6,06 - 6,,,,,,,,,1B
7,135,,7,07 - 7,,,,,,,,,1C
8,136,,8,08 - 8,,,,,,,,,1D
9,137,,9,09 - 9,,,,,,,,,1E
SETUP,139,,vol up,,,,,,,,,,04
OPEN/CLOSE,140,,vol down,,,,,,,,,,05
AUDIO,142,,mute,,,,,,,,,,08
DISPLAY,143,,channel up,30 - Track_Forwards,,,,,,,,,06
SUBTITLE,144,,channel down,28 - Track_Back,,,,,,,,,07
DVD POWER,145,,power,15 - DVD POWER,,,,,,,,,03
ANGLE,146,,enter,24 - enter,,,,,,,,,12
TOP MENU,147,,tv/vid,,,,,,,,,,13
MENU,148,,prev,19 - return,,,,,,,,,23
RETURN,149,,menu,18 - MENU,,,,,,,,,21
Up_Arrow,151,,guide,10 - SETUP,,,,,,,,,14
Down_Arrow,152,,up arrow,20 - Up_Arrow,,,,,,,,,31
Play,153,,down arrow,21 - Down_Arrow,,,,,,,,,32
Reverse_Play,154,,left arrow,23 - Reverse_Play,,,,,,,,,33
ENTER,155,,right arrow,22 - Play,,,,,,,,,34
Scan_Back,156,,select,34 - MODE,,,,,,,,,35
REPEAT,157,,angle/sleep,16 - angle,,,,,,,,,26
Scan_Forward,158,,pip,,,,,,,,,,2F
Track_Back,159,,info,13 - DISPLAY,,,,,,,,,18
PLAY/PAUSE,160,,swap,,,,,,,,,,20
Track_Forwards,161,,move,,,,,,,,,,30
STOP,162,,play,29 - play/pause,,,,,,,,,0C
CLEAR,164,,pause (yellow),29 - play/pause,,,,,,,,,0F
STEP,166,,rewind,25 - Scan_Back,,,,,,,,,0B
MODE,167,,fast fwd,27 - Scan_Forward,,,,,,,,,0D
KARAOKE,168,,stop,31 - stop,,,,,,,,,0E
BOOKMARK,169,,record,11 - open/close,,,,,,,,,10
ZOOM,170,,exit,32 - CLEAR,,,,,,,,,24
3D SOUND,171,,,,,,,,,,,,
VOLUME CON,172,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,next track,30 - Track_Forwards,,,,,,,,,2B
,,,prev track,28 - Track_Back,,,,,,,,,2A
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,slow,37 - ZOOM,,,,,,,,,2E
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,phantom1,,,,,,,,,,3D
,,,phantom2,,,,,,,,,,3E
,,,phantom3,,,,,,,,,,3F
,,,phantom4,,,,,,,,,,40
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,setup,,,,,,,,,,02
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,subtitle,14 - subtitle,,,,,,,,,25
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,PVR menu (blue),17 - TOP MENU,,,,,,,,,36
,,,replay,26 - REPEAT,,,,,,,,,27
,,,advance,33 - STEP,,,,,,,,,29
,,,,,,,,,,,,,
,,,thumbs up (green),,,,,,,,,,2C
,,,thumbs down (red),,,,,,,,,,2D
,,,audio/CC,12 - audio,,,,,,,,,37
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
Line Notes:,,,,,,,,,,,,,
The codes used here are mostly the same as the Samsung,,,,,,,,,,,,,
master file that also uses Aiwa 102.,,,,,,,,,,,,,
,,,,,,,,,,,,,
UEI setup code: DVD/0573,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,EOF Marker - DO NOT DELETE
