Name:,ILO DVD Recorder HD04,,,,v8.31,,,,,,,CURRENT DATA
Devices:,JVC,239,,,,,,,,,,
Manual:,,0 = 1-byte,LSB-COMP,88,NO,,,,,,,
Setup:,1636,99 = URC-9960 (OFA Kameleon),16 - PVR,OBC,USE,08,1,,,,,
URC-9960 (OFA Kameleon) Device Upgrade Code:,,,,,,,,,,,,
Upgrade Code 0 = 56 64 (PVR/1636) ILO DVD Recorder HD04 (KM v8.31),,,,,,,,,,,,
34 00 FE FE EE F9 08 69 CE 72 FD 3D D9 39 E9 1B 99 00 00 DD 19 24 B9 01 B4 CD EC BA 4C 09 89 74 F2 4D 62 F4 34 52 7C F1 54 91 F9 C7,,,,,,,,,,,,
End,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
Protocol Code:,,,,,,,,,,,,
Upgrade Protocol 0 = 00 34 (S3C8+) JVC (KM v8.31),,,,,,,,,,,,
43 8B 11 8B 19 C5 C9 80 20 08 08 01 07 00 F4 01 07 03 03 73 50 10 7C 08 2A 00 00 00 5A 95 20 0D 20 0D 8D 01 46,,,,,,,,,,,,
End,,,,,,,,,,,,
Key Move Code:,,,220,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
fFunctions,fOBC,fByte2,bButtons,bFunctions,fNotes,Device Combiner,,kFunctions,kBoundDev,kBoundKey,kShift,b$Functions
num 0,105,,0,00 - num 0,,Protocol ID,Fixed Data,,,,,
num 1,140,,1,01 - num 1,,,,,,,,
num 2,177,,2,02 - num 2,,,,,,,,
num 3,064,,3,03 - num 3,,,,,,,,
num 4,067,,4,04 - num 4,,,,,,,,
num 5,100,,5,05 - num 5,,,,,,,,
num 6,099,,6,06 - num 6,,,,,,,,
num 7,104,,7,07 - num 7,,,,,,,,
num 8,039,,8,08 - num 8,,,,,,,,
num 9,102,,9,09 - num 9,,,,,,,,
,,,vol up,,,,,,,,,
,,,vol down,,,,,,,,,
mute,068,,mute,10 - mute,,,,,,,,
channel up,103,,channel up,11 - channel up,,,,,,,,
channel down,219,,channel down,12 - channel down,,,,,,,,
power,098,,power,13 - power,,,,,,,,
menu,111,,enter,21 - Tools,,,,,,,,
program/guide,211,,input,34 - Source,,,,,,,,
display/info,181,,last,23 - Navigate,,,,,,,,
,,,menu,14 - menu,,,,,,,,
up arrow,110,,guide,15 - program/guide,,,,,,,,
down arrow,209,,up arrow,17 - up arrow,,,,,,,,
left arrow,176,,down arrow,18 - down arrow,,,,,,,,
right arrow,077,,left arrow,19 - left arrow,,,,,,,,
Tools,185,,right arrow,20 - right arrow,,,,,,,,
enter,208,,ok,22 - enter,,,,,,,,
,,,sleep,,,,,,,,,
Navigate,193,,pip on/off,,,,,,,,,
,,,info,16 - display/info,,,,,,,,
play,127,,pip swap,,,,,,,,,
pause,162,,pip move,,,,,,,,,
rewind,076,,play,24 - play,,,,,,,,
fast fwd,200,,pause,25 - pause,,,,,,,,
stop,210,,rewind,26 - rewind,,,,,,,,
record,205,,fast fwd,27 - fast fwd,,,,,,,,
f.fwd/next track,118,,stop,28 - stop,,,,,,,,
f.rew/prev track,213,,record,29 - record,,,,,,,,
Target,028,,exit,,,,,,,,,
On Screen Menu,096,,surround,,,,,,,,,
Source,112,,input.,,,,,,,,,
,,,+100,,,,,,,,,
,,,fav/scan,,,,,,,,,
,,,device button,,,,,,,,,
,,,skip fwd,30 - f.fwd/next track,,,,,,,,
,,,skip back,31 - f.rew/prev track,,,,,,,,
,,,live TV,33 - On Screen Menu,,,,,,,,
,,,replay,32 - Target,,,,,,,,
,,,pip freeze,,,,,,,,,
,,,slow,,,,,,,,,
,,,eject,,,,,,,,,
,,,slow+,,,,,,,,,
,,,slow-,,,,,,,,,
,,,x2,,,,,,,,,
,,,center,,,,,,,,,
,,,rear,,,,,,,,,
,,,phantom1,,,,,,,,,
,,,phantom2,,,,,,,,,
,,,phantom3,,,,,,,,,
,,,phantom4,,,,,,,,,
,,,phantom5,,,,,,,,,
,,,phantom6,,,,,,,,,
,,,phantom7,,,,,,,,,
,,,phantom8,,,,,,,,,
,,,phantom9,,,,,,,,,
,,,phantom10,,,,,,,,,
,,,setup,,,,,,,,,
,,,light,,,,,,,,,
,,,Home Theater,,,,,,,,,
,,,Macro 1,,,,,,,,,
,,,Macro 2,,,,,,,,,
,,,Macro 3,,,,,,,,,
,,,Macro 4,,,,,,,,,
,,,learn1,,,,,,,,,
,,,learn2,,,,,,,,,
,,,learn3,,,,,,,,,
,,,learn4,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
