Name:,Sungale 8500 DVD,,,,v7.53,,,,,,,CURRENT DATA
Devices:,NEC1,8,230,,,,,,,,,
Manual:,,0 = 1-byte,LSB-COMP,88,NO,,,,,,,
Setup:,1850,27 = URC-9910 / 8910,06 - DVD,EFC,USE,,,,,,,
URC-9910 / 8910 Device Upgrade Code:,,,,,,,,,,,,
Upgrade Code 0 = 27 3A (DVD/1850),,,,,,,,,,,,
5A 00 FE FE FE FD 20 EF 98 6D 6F 5F 7F 2D 1D 3D AD 9D BD 25 05 15 85 A5 CF AF AF C5 E5 BF 55 DF DD ED CD FD 1F 9F 4D 4F 3F 0D 9F 8D EF FF F5 D5,,,,,,,,,,,,
End,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
Protocol Code:,,,,,,,,,,,,
Upgrade Protocol 0 = 00 5A (S3C8+),,,,,,,,,,,,
43 8B 31 8B 12 CF 44 08 08 01 18 01 06 01 18 03 39 D2 DC 11 94 08 B6 20 01 08 03 37 04 15 F6 01 46 FB 10 37 0B 07 E4 05 04 60 05 8B 0E B6 04 80 B6 05 80 37 0B 05 E4 04 05 60 05 E4 06 07 60 07 20 11 37 06 05 F6 01 04 7B 12 37 09 15 37 02 06 F6 01 49 F6 01 46 37 01 03 46 29 0D 46 29 01 8D 01 49 E4 20 1E E4 21 1F 37 01 EB F6 01 49 E6 28 C1 60 04 E6 12 01 8B E4,,,,,,,,,,,,
End,,,,,,,,,,,,
Key Move Code:,,,198,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
fFunctions,fEFC,fByte2,bButtons,bFunctions,fNotes,Device Combiner,,kFunctions,kBoundDev,kBoundKey,kShift,b$Functions
num 0,041,,0,00 - num 0,,Protocol ID,Fixed Data,,,,,
num 1,057,,1,01 - num 1,,,,,,,,
num 2,184,,2,02 - num 2,,,,,,,,
num 3,185,,3,03 - num 3,,,,,,,,
num 4,043,,4,04 - num 4,,,,,,,,
num 5,170,,5,05 - num 5,,,,,,,,
num 6,171,,6,06 - num 6,,,,,,,,
num 7,039,,7,07 - num 7,,,,,,,,
num 8,166,,8,08 - num 8,,,,,,,,
num 9,167,,9,09 - num 9,,,,,,,,
vol up,235,,vol up,10 - vol up,,,,,,,,
vol down,234,,vol down,11 - vol down,,,,,,,,
mute,106,,mute,12 - mute,,,,,,,,
audio channel,230,,channel up,13 - audio channel,,,,,,,,
audio,231,,channel down,14 - audio,,,,,,,,
power,052,,power,15 - power,,,,,,,,
enter,182,,enter,16 - enter,,,,,,,,
PS/IS,040,,tv/vid,17 - PS/IS,,,,,,,,
karaoke,187,,prev,18 - karaoke,,,,,,,,
menu,180,,menu,19 - menu,,,,,,,,
setup menu,042,,guide,20 - setup menu,,,,,,,,
up arrow,164,,up arrow,21 - up arrow,,,,,,,,
down arrow,037,,down arrow,22 - down arrow,,,,,,,,
left arrow,036,,left arrow,23 - left arrow,,,,,,,,
right arrow,165,,right arrow,24 - right arrow,,,,,,,,
select,182,,select,25 - select,,,,,,,,
sleep,,,sleep,,,,,,,,,
PBC,038,,pip,26 - PBC,,,,,,,,
display,056,,info,27 - display,,,,,,,,
title,053,,swap,28 - title,,,,,,,,
open/close,181,,move,29 - open/close,,,,,,,,
play,055,,play,30 - play,,,,,,,,
pause,055,,pause,31 - pause,,,,,,,,
rewind,228,,rewind,32 - rewind,,,,,,,,
fast fwd,229,,fwd,33 - fast fwd,,,,,,,,
stop,183,,stop,34 - stop,,,,,,,,
repeat,104,,record,35 - repeat,,,,,,,,
return,186,,exit,36 - return,,,,,,,,
surround,,,surround,,,,,,,,,
input toggle,,,input,,,,,,,,,
+100,,,+100,,,,,,,,,
fav/scan,,,fav/scan,,,,,,,,,
device button,,,device button,,,,,,,,,
next track,101,,f fwd,37 - next track,,,,,,,,
