Name:,Matsui_DVD_225,,,,v8.23,,,,,,,CURRENT DATA
Devices:,NEC1,4,,,,,,,,,,
Manual:,,0 = 1-byte,LSB-COMP,88,NO,,,,,,,
Setup:,0225,06 = URC-7560 / 7562,06 - DVD,EFC,USE,00 DF DF,1,,,,,
URC-7560 / 7562 Device Upgrade Code:,,,,,,,,,,,,
Upgrade Code 0 = 20 E1 (DVD/0225) Matsui_DVD_225 (KM v8.23),,,,,,,,,,,,
5A 00 FE 7C F9 00 DF DF A7 77 8F 0F 57 B7 37 67 97 17 C5 65 47 D5 45 CF 75 B5 FF EF AF 65 C5 47 07 F7 D7 4D 1F,,,,,,,,,,,,
End,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
Protocol Code:,,,,,,,,,,,,
Upgrade Protocol 0 = 00 5A (S3C8+) NEC1 (KM v8.23),,,,,,,,,,,,
43 8B 31 8B 12 CF 44 08 08 01 18 01 06 01 18 03 39 D2 DC 11 94 08 B6 20 01 08 03 37 04 15 F6 01 46 FB 10 37 0B 07 E4 05 04 60 05 8B 0E B6 04 80 B6 05 80 37 0B 05 E4 04 05 60 05 E4 06 07 60 07 20 11 37 06 05 F6 01 04 7B 12 37 09 15 37 02 06 F6 01 49 F6 01 46 37 01 03 46 29 0D 46 29 01 8D 01 49 E4 20 1E E4 21 1F 37 01 EB F6 01 49 E6 28 C1 60 04 E6 12 01 8B E4,,,,,,,,,,,,
End,,,,,,,,,,,,
Key Move Code:,,,224,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
fFunctions,fEFC,fByte2,bButtons,bFunctions,fNotes,Device Combiner,,kFunctions,kBoundDev,kBoundKey,kShift,b$Functions
num 0,247,,0,00 - num 0,,Protocol ID,Fixed Data,num 0,,,,
num 1,121,,1,01 - num 1,,,,num 1,,,,
num 2,054,,2,02 - num 2,,,,num 2,,,,
num 3,058,,3,03 - num 3,,,,num 3,,,,
num 4,120,,4,04 - num 4,,,,num 4,,,,
num 5,119,,5,05 - num 5,,,,num 5,,,,
num 6,123,,6,06 - num 6,,,,num 6,,,,
num 7,249,,7,07 - num 7,,,,num 7,,,,
num 8,118,,8,08 - num 8,,,,num 8,,,,
num 9,122,,9,09 - num 9,,,,num 9,,,,
vol up,053,,vol up,18 - right arrow,,,,power,,,,
vol down,055,,vol down,17 - left arrow,,,,menu,,,,
mute,040,,mute,19 - select,,,,up arrow,,,,
channel up,,,channel up,15 - up arrow,,,,down arrow,,,,
channel down,,,channel down,16 - down arrow,,,,left arrow,,,,
power,052,,power,13 - power,,,,right arrow,,,,
menu,181,,auto,,,,,select,,,,
program/guide,,,tv/vcr,,,,,pause,,,,
display/info,,,prev ch,,,,,rewind,,,,
exit,,,menu,14 - menu,,,,fast fwd,,,,
up arrow,100,,guide,,,,,stop,,,,
down arrow,232,,up arrow,10 - vol up,,,,rewind,,,,
left arrow,233,,down arrow,11 - vol down,,,,fast fwd,,,,
right arrow,228,,left arrow,17 - left arrow,,,,stop,,,,
select,248,,right arrow,18 - right arrow,,,,shuffle,,,,
enter,,,enter,19 - select,,,,program,,,,
tv/vcr,,,sleep,,,,,clear,,,,
last/prev ch,,,pip on/off,,,,,goto,,,,
sleep,,,display,,,,,kodak/te,,,,
play,,,pip swap,,,,,resume,,,,
pause,186,,pip move,,,,,TV mode,,,,
rewind,117,,play,,,,,display,,,,
fast fwd,116,,pause,20 - pause,,,,slow,,,,
stop,250,,rewind,21 - rewind,,,,step,,,,
record,,,fast fwd,22 - fast fwd,,,,p/n,,,,
f.fwd/next track,,,stop,23 - stop,,,,zoom,,,,
f.rew/prev track,,,record,12 - mute,,,,setup,,,,
+100,,,exit,,,,,audio,,,,
pip on/off,,,surround,,,,,subtitles,,,,
pip swap,,,av,30 - TV mode,,,,angle,,,,
pip move,,,+10,38 - subtitles,,,,title,,,,
pip freeze,,,fav/scan,,,,,,,,,
shuffle,057,,device button,,,,,,,,,
program,102,,next track,,,,,,,,,
clear,187,,sp/lp,,,,,,,,,
goto,180,,shift-left,,,,,,,,,
kodak/te,185,,shift-right,,,,,,,,,
resume,184,,a,,,,,,,,,
