Name:,Cyber Home CH-DVD 500 DVD Player,,,,v7.05,,,,,,,CURRENT DATA
Devices:,NEC1,114,205,,,,,,,,,
Manual:,,0 = 1-byte,LSB-COMP,88,NO,,,,,,,
Setup,1111,99 = 15-2117 / 15-2116,06 - DVD,EFC,USE,,,,,,,
Device Upgrade/Key Move Code:,,,FALSE,Protocol Code:,,,,,,,,
Upgrade code 0 = 24 57 (DVD/1111),,,,Upgrade protocol 0 = 00 5A (S3C8+),,,,,,,,
5A 00 FE FE FD 20 B1 4C 6D 37 F7 77 0F CF 4F 2F,,,,43 8B 31 8B 12 CF 44 08 08 01 18 01 06 01 18 03,,,,,,,,
EF 6F FD E5 1F 67 AA 8F 9F 87 07 ED 65 BF DD 47,,,,39 D2 DC 11 94 08 B6 20 01 08 03 37 04 15 F6 01,,,,,,,,
C7 ED C5 57 F5 75 C5 DF,,,,46 FB 10 37 0B 07 E4 05 04 60 05 8B 0E B6 04 80,,,,,,,,
KeyMoves,,,,B6 05 80 37 0B 05 E4 04 05 60 05 E4 06 07 60 07,,,,,,,,
38 F3 24 57 B7 30 F3 24 57 27 25 F3 24 57 17 27,,,,20 11 37 06 05 F6 01 04 7B 12 37 09 15 37 02 06,,,,,,,,
F3 24 57 97 26 F3 24 57 D5 10 F3 24 57 A7 2F F3,,,,F6 01 49 F6 01 46 37 01 03 46 29 0D 46 29 01 8D,,,,,,,,
24 57 4D 28 F3 24 57 3F,,,,01 49 E4 20 1E E4 21 1F 37 01 EB F6 01 49 E6 28,,,,,,,,
End,,,,C1 60 04 E6 12 01 8B E4,,,,,,,,
,,,,End,,,,Key Move Code:,,,205,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
Functions,EFC,byte2,Buttons,Functions,Notes,Device Combiner,,kmFunctions,Bound Device,Bound Key,Shift,$-Functions
num 0,041,,0,00 - num 0,,Protocol ID,Fixed Data,,,,,
num 1,123,,1,01 - num 1,,,,,,,,
num 2,117,,2,02 - num 2,,,,,,,,
num 3,121,,3,03 - num 3,,,,,,,,
num 4,058,,4,04 - num 4,,,,,,,,
num 5,052,,5,05 - num 5,,,,,,,,
num 6,056,,6,06 - num 6,,,,,,,,
num 7,059,,7,07 - num 7,,,,,,,,
num 8,053,,8,08 - num 8,,,,,,,,
num 9,057,,9,09 - num 9,,,,,,,,
vol up,165,,vol up,10 - vol up,Title,,,,,,,
vol down,229,,vol down,11 - vol down,Subtitle,,,,,,,
mute,186,,mute,12 - mute,,,,,,,,
channel up,249,,channel up,13 - channel up,>>|,,,,,,,
channel down,095,,channel down,14 - channel down,|<<,,,,,,,
power,054,,power,15 - power,,,,,,,,
enter,228,,enter,16 - enter,,,,,,,,
tv/vcr,180,,tv/video,17 - tv/vcr,A-B,,,,,,,
last (prev ch),119,,last,18 - last (prev ch),Goto,,,,,,,
menu,183,,menu,19 - menu,,,,,,,,
program guide,120,,guide,20 - program guide,Prog,,,,,,,
up arrow,164,,up arrow,21 - up arrow,,,,,,,,
down arrow,248,,down arrow,22 - down arrow,,,,,,,,
left arrow,244,,left arrow,23 - left arrow,,,,,,,,
right arrow,037,,right arrow,24 - right arrow,,,,,,,,
select,228,,select,25 - select,Enter,,,,,,,
sleep,251,,sleep,26 - sleep,Slow,,,,,,,
pip on/off,122,,pip,27 - pip on/off,Zoom,,,,,,,
display,101,,info,28 - display,Info,,,,,,,
pip swap,118,,swap,29 - pip swap,Audio,,,,,,,
pip move,100,,move,30 - pip move,Angle,,,,,,,
play,182,,play,31 - play,,,,,,,,
pause,233,,pause,32 - pause,,,,,,,,
rewind,250,,rewind,33 - rewind,,,,,,,,
fast fwd,037,,fast fwd,34 - fast fwd,,,,,,,,
stop,246,,stop,35 - stop,,,,,,,,
record,247,,record,36 - record,Open/Close,,,,,,,
exit,105,,exit,37 - exit,C,,,,,,,
surround,,,surround,surround,,,,,,,,
input toggle,180,,input,input toggle,A-B,,,,,,,
+100,040,,+100,39 - +100,10,,,,,,,
device button,,,fav/scan,fav/scan,,,,,,,,
shift-up,104,,device button,device button,Bookmark,,,,,,,
shift-down,055,,shift-up,shift-up,Return,,,,,,,
shift-left,184,,shift-down,shift-down,Effect,,,,,,,
shift-right,168,,shift-left,shift-left,Intro,,,,,,,
pip freeze,187,,shift-right,shift-right,1/All,,,,,,,
slow,251,,freeze,44 - pip freeze,,,,,,,,
eject,247,,slow,slow,Open/Close,,,,,,,
slow+,,,eject,eject,,,,,,,,
slow-,,,slow+,slow+,,,,,,,,
X2,,,slow-,slow-,,,,,,,,
center,,,X2,X2,,,,,,,,
rear,,,center,center,,,,,,,,
Phantom1,,,rear,rear,,,,,,,,
Phantom2,,,phantom1,Phantom1,,,,,,,,
fav/scan,,,phantom2,Phantom2,,,,,,,,
,,,phantom3,,,,,,,,,
,,,phantom4,,,,,,,,,
,,,phantom5,,,,,,,,,
,,,phantom6,,,,,,,,,
,,,phantom7,,,,,,,,,
,,,phantom8,,,,,,,,,
,,,phantom9,,,,,,,,,
,,,phantom10,,,,,,,,,
,,,setup,,,,,,,,,
,,,light,,,,,,,,,
,,,my system,,,,,,,,,
,,,macro1,,,,,,,,,
,,,macro2,,,,,,,,,
,,,macro3,,,,,,,,,
,,,macro4,,,,,,,,,
,,,learn1,,,,,,,,,
,,,learn2,,,,,,,,,
,,,learn3,,,,,,,,,
,,,learn4,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
Line Notes:,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,EOF Marker - DO NOT DELETE,
