Name:,Nova DVD,,,,v8.31,,,,,,,CURRENT DATA
Devices:,NEC1,0,,,,,,,,,,
Manual:,,0 = 1-byte,LSB-COMP,88,NO,,,,,,,
Setup:,2001,99 = URC-6131 PVR,06 - DVD,OBC,USE,00 FF FF,1,,,,,
URC-6131 PVR Device Upgrade Code:,,,,,,,,,,,,
Upgrade Code 0 = 27 D1 (DVD/2001) Nova DVD (KM v8.31),,,,,,,,,,,,
5A 00 EE DE FE FE A9 00 FF FF ED 47 07 4F 27 77 57 B7 65 EF BF 75 6F B5 35 5D 7F 8F A7 AF 5F 17 85 3F 1F 87 E7 0F D7 DD 3F 15 AD B5 35 F5 9D 7D 1D 9F 67,,,,,,,,,,,,
End,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
Protocol Code:,,,,,,,,,,,,
Upgrade Protocol 0 = 00 5A (S3C8+) NEC1 (KM v8.31),,,,,,,,,,,,
43 8B 31 8B 12 CF 44 08 08 01 18 01 06 01 18 03 39 D2 DC 11 94 08 B6 20 01 08 03 37 04 15 F6 01 46 FB 10 37 0B 07 E4 05 04 60 05 8B 0E B6 04 80 B6 05 80 37 0B 05 E4 04 05 60 05 E4 06 07 60 07 20 11 37 06 05 F6 01 04 7B 12 37 09 15 37 02 06 F6 01 49 F6 01 46 37 01 03 46 29 0D 46 29 01 8D 01 49 E4 20 1E E4 21 1F 37 01 EB F6 01 49 E6 28 C1 60 04 E6 12 01 8B E4,,,,,,,,,,,,
End,,,,,,,,,,,,
Key Move Code:,,,226,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
fFunctions,fOBC,fByte2,bButtons,bFunctions,fNotes,Device Combiner,,kFunctions,kBoundDev,kBoundKey,kShift,b$Functions
0,072,,0,00 - 0,,Protocol ID,Fixed Data,,,,,
1,029,,1,01 - 1,,,,,,,,
2,031,,2,02 - 2,,,,,,,,
3,013,,3,03 - 3,,,,,,,,
4,027,,4,04 - 4,,,,,,,,
5,017,,5,05 - 5,,,,,,,,
6,021,,6,06 - 6,,,,,,,,
7,018,,7,07 - 7,,,,,,,,
8,089,,8,08 - 8,,,,,,,,
9,008,,9,09 - 9,,,,,,,,
10,074,,vol up,38 - vol+,,,,,,,,
|<<,083,,vol down,37 - vol-,,,,,,,,
>>|,082,,mute,20 - mute,,,,,,,,
a-b,005,,channel up,12 - >>|,,,,,,,,
angle,065,,channel down,11 - |<<,,,,,,,,
audio,070,,power,,,,,,,,,
down,030,,enter,10 - 10,,,,,,,,
ffwd,026,,tv/vid,13 - a-b,,,,,,,,
go to,085,,prev,28 - return,,,,,,,,
left,024,,menu,35 - title,,,,,,,,
mute,009,,guide,25 - pbc,,,,,,,,
ok,068,,up arrow,36 - up,,,,,,,,
osd,023,,down arrow,16 - down,,,,,,,,
p/n,064,,left arrow,19 - left,,,,,,,,
pause,001,,right arrow,30 - right,,,,,,,,
pbc,020,,select,21 - ok,,,,,,,,
play,069,,angle/sleep,14 - angle,,,,,,,,
repeat,006,,pip,,,,,,,,,
return,003,,info,22 - osd,,,,,,,,
rew,014,,swap,,,,,,,,,
right,015,,move,,,,,,,,,
setup,071,,play,26 - play,,,,,,,,
slow,080,,pause,24 - pause,,,,,,,,
stop,010,,rewind,29 - rew,,,,,,,,
subt,087,,fast fwd,17 - ffwd,,,,,,,,
title,094,,stop,33 - stop,,,,,,,,
up,007,,record,,,,,,,,,
vol-,081,,exit,28 - return,,,,,,,,
vol+,002,,surround,,,,,,,,,
zoom,025,,audio/CC,15 - audio,,,,,,,,
,,,+100,,,,,,,,,
,,,fav/scan,,,,,,,,,
,,,device button,,,,,,,,,
,,,advance,,,,,,,,,
,,,replay,27 - repeat,,,,,,,,
,,,next track,12 - >>|,,,,,,,,
,,,prev track,11 - |<<,,,,,,,,
,,,PVR menu,31 - setup,,,,,,,,
,,,subtitle,34 - subt,,,,,,,,
,,,slow,32 - slow,,,,,,,,
,,,thumbs up,,,,,,,,,
,,,thumbs down,39 - zoom,,,,,,,,
,,,x2,,,,,,,,,
,,,center,,,,,,,,,
,,,rear,,,,,,,,,
,,,phantom1,,,,,,,,,
,,,phantom2,,,,,,,,,
,,,phantom3,,,,,,,,,
,,,phantom4,,,,,,,,,
,,,phantom5,,,,,,,,,
,,,phantom6,,,,,,,,,
,,,phantom7,,,,,,,,,
,,,phantom8,,,,,,,,,
,,,phantom9,,,,,,,,,
,,,phantom10,,,,,,,,,
,,,setup,,,,,,,,,
,,,light,,,,,,,,,
,,,theater,,,,,,,,,
,,,macro1,,,,,,,,,
,,,macro2,,,,,,,,,
,,,macro3,,,,,,,,,
,,,macro4,,,,,,,,,
,,,learn1,,,,,,,,,
,,,learn2,,,,,,,,,
,,,learn3,,,,,,,,,
,,,learn4,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
Line Notes:,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,EOF Marker - DO NOT DELETE,
