Name:,keymap-master Device Upgrade,,,,v8.32,,,,,,,CURRENT DATA
Devices:,NEC1,8,230,,,,,,,,,
Manual:,,0 = 1-byte,LSB-COMP,88,NO,,,,,,,
Setup:,1876,01 = 15-1994,06 - DVD,EFC,USE,20 EF 98,1,,,,,
15-1994 Device Upgrade/Key Move Code:,,,,,,,,,,,,
Upgrade Code 0 = 27 54 (DVD/1876) keymap-master Device Upgrade (KM v8.32),,,,,,,,,,,,
5A 00 FE FE FE F9 20 EF 98 4D BD 7D FD 9D 5D DD AD 6D ED F5 75 66 37 07 3D 65 2D 87 B7 45 D7 97 47 77 57 95 CD 35 A5 A7 E7 D5 27 17 F7 C7 C5,,,,,,,,,,,,
KeyMoves,,,,,,,,,,,,
 30 F3 27 54 1D«Eject»  ¦3A F3 27 54 B4«ssl» ¦3B F3 27 54 34«consumer html»¦3C F3 27 54 15«a-b» ¦3D F3 27 54 B5«reload» ¦24 F3 27 54 D4«frame forward»¦A9 F3 27 54 05«Title»  ¦8F F3 27 54 E5«Pause-: SlowMo back»¦AB F3 27 54 8D«Clear»  ,,,,,,,,,,,,
End,,,,,,,,,,,,
Protocol Code:,,,,,,,,,,,,
Upgrade Protocol 0 = 00 5A (S3C8) NEC1 (KM v8.32),,,,,,,,,,,,
43 8B 31 8B 12 CF 44 08 08 01 18 01 06 01 18 03 39 D2 DC 11 94 08 B6 20 01 08 03 37 04 15 F6 01 33 FB 10 37 0B 07 E4 05 04 60 05 8B 0E B6 04 80 B6 05 80 37 0B 05 E4 04 05 60 05 E4 06 07 60 07 20 11 37 06 05 F6 01 04 7B 12 37 09 15 37 02 06 F6 01 36 F6 01 33 37 01 03 46 29 0D 46 29 01 8D 01 36 E4 20 1E E4 21 1F 37 01 EB F6 01 36 E6 28 C1 60 04 E6 12 01 8B E4,,,,,,,,,,,,
End,,,,,,,,,,,,
Key Move Code:,,,229,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
fFunctions,fEFC,fByte2,bButtons,bFunctions,fNotes,Device Combiner,,kFunctions,kBoundDev,kBoundKey,kShift,b$Functions
num 0,040,,0,00 - num 0,,Protocol ID,Fixed Data,,,,,
num 1,167,,1,01 - num 1,,,,,,,,
num 2,169,,2,02 - num 2,,,,,,,,
num 3,165,,3,03 - num 3,,,,,,,,
num 4,166,,4,04 - num 4,,,,,,,,
num 5,168,,5,05 - num 5,,,,,,,,
num 6,164,,6,06 - num 6,,,,,,,,
num 7,039,,7,07 - num 7,,,,,,,,
num 8,041,,8,08 - num 8,,,,,,,,
num 9,037,,9,09 - num 9,,,,,,,,
vol up,101,,vol up,10 - vol up,,,,,,,,
vol down,105,,vol down,11 - vol down,,,,,,,,
mute,001,,mute,12 - mute,,,,,,,,
channel up,123,,channel up,13 - channel up,Skip next,,,,,,,
channel down,250,,channel down,14 - channel down,Skip previous,,,,,,,
power,171,,power,15 - power,,,,,,,,
menu,119,,enter,25 - enter,,,,,,,,
program/guide,232,,tv/vcr,26 - tv/vcr,Subtitle,,,,,,,
display/info,107,,last,27 - last/prev ch,,,,,,,,
exit,228,,menu,16 - menu,Home,,,,,,,40 - Title
up arrow,116,,program / guide,17 - program/guide,,,,,,,,
down arrow,118,,up arrow,20 - up arrow,,,,,,,,
left arrow,248,,down arrow,21 - down arrow,,,,,,,,
right arrow,121,,left arrow,22 - left arrow,,,,,,,,
select,120,,right arrow,23 - right arrow,,,,,,,,
enter,233,,select,24 - select,Zoom,,,,,,,
tv/vcr,043,,sleep,28 - sleep,Video output mode,,,,,,,
last/prev ch,246,,pip,37 - pip on/off,Back,,,,,,,
sleep,102,,display,18 - display/info,Search,,,,,,,
play,245,,swap,38 - pip swap,,,,,,,,
pause,100,,move,39 - pip move,SlowMo FFWD,,,,,,,
