Name:,terapin TT-2200 DVD player,,,,v8.31,,,,,,,CURRENT DATA
Devices:,NEC1,4,,,,,,,,,,
Manual:,,0 = 1-byte,LSB-COMP,88,NO,,,,,,,
Setup:,0380,99 = 15-2117 / 15-2116,06 - DVD,EFC,USE,00 DF DF,1,,,,,
15-2117 / 15-2116 Device Upgrade/Key Move Code:,,,,,,,,,,,,
Upgrade Code 0 = 21 7C (DVD/0380) terapin TT-2200 DVD player (KM v8.31),,,,,,,,,,,,
5A 00 BE FE F1 00 DF DF 35 4F 67 27 77 57 17 B7 65 2D 3F 87 D7 8F BF 0F AF BD 85 9F DD 1D FD 1F 5F ED 15 ,,,,,,,,,,,,
KeyMoves,,,,,,,,,,,,
 25 F3 21 7C 9F«subtitle»,,,,,,,,,,,,
End,,,,,,,,,,,,
Protocol Code:,,,,,,,,,,,,
Upgrade Protocol 0 = 00 5A (S3C8+) NEC1 (KM v8.31),,,,,,,,,,,,
43 8B 31 8B 12 CF 44 08 08 01 18 01 06 01 18 03 39 D2 DC 11 94 08 B6 20 01 08 03 37 04 15 F6 01 46 FB 10 37 0B 07 E4 05 04 60 05 8B 0E B6 04 80 B6 05 80 37 0B 05 E4 04 05 60 05 E4 06 07 60 07 20 11 37 06 05 F6 01 04 7B 12 37 09 15 37 02 06 F6 01 49 F6 01 46 37 01 03 46 29 0D 46 29 01 8D 01 49 E4 20 1E E4 21 1F 37 01 EB F6 01 49 E6 28 C1 60 04 E6 12 01 8B E4,,,,,,,,,,,,
End,,,,,,,,,,,,
Key Move Code:,,,205,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
fFunctions,fEFC,fByte2,bButtons,bFunctions,fNotes,Device Combiner,,kFunctions,kBoundDev,kBoundKey,kShift,b$Functions
num 0,118,,0,00 - num 0,,Protocol ID,Fixed Data,,,,,
num 1,055,,1,01 - num 1,,,,,,,,
num 2,057,,2,02 - num 2,,,,,,,,
num 3,053,,3,03 - num 3,,,,,,,,
num 4,054,,4,04 - num 4,,,,,,,,
num 5,056,,5,05 - num 5,,,,,,,,
num 6,052,,6,06 - num 6,,,,,,,,
num 7,119,,7,07 - num 7,,,,,,,,
num 8,121,,8,08 - num 8,,,,,,,,
num 9,117,,9,09 - num 9,,,,,,,,
vol up,,,vol up,,,,,,,,,
vol down,,,vol down,,,,,,,,,
mute,,,mute,,,,,,,,,
channel up,,,channel up,25 - f.fwd/next track,,,,,,,,
channel down,,,channel down,26 - f.rew/prev track,,,,,,,,
power,183,,power,10 - power,,,,,,,,
menu,167,,enter,,,,,,,,,
setup,247,,tv/video,,,,,,,,,
display,245,,last,,,,,,,,,
eject,181,,menu,11 - menu,,,,,,,,
up arrow,248,,guide,12 - setup,,,,,,,,
down arrow,230,,up arrow,15 - up arrow,,,,,,,,
left arrow,246,,down arrow,16 - down arrow,,,,,,,,
right arrow,244,,left arrow,17 - left arrow,,,,,,,,
select,231,,right arrow,18 - right arrow,,,,,,,,
enter,,,select,19 - select,,,,,,,,
tv/vcr,,,sleep,,,,,,,,,
last/prev ch,,,pip,27 - subtitle,,,,,,,,
sleep,,,info,13 - display,,,,,,,,
play,168,,swap,,,,,,,,,
pause,164,,move,,,,,,,,,
rewind,037,,play,20 - play,,,,,,,,
fast fwd,041,,pause,21 - pause,,,,,,,,
stop,186,,rewind,22 - rewind,,,,,,,,
record,,,fast fwd,23 - fast fwd,,,,,,,,
f.fwd/next track,040,,stop,24 - stop,,,,,,,,
f.rew/prev track,036,,record,,,,,,,,,
+100,,,exit,14 - eject,,,,,,,,
subtitle,182,,surround,,,,,,,,,
pip swap,,,input,,,,,,,,,
pip move,,,+100,,,,,,,,,
pip freeze,,,fav/scan,,,,,,,,,
,,,device button,,,,,,,,,
,,,next track,,,,,,,,,
,,,prev track,,,,,,,,,
,,,shift-left,,,,,,,,,
,,,shift-right,,,,,,,,,
,,,freeze,,,,,,,,,
,,,slow,,,,,,,,,
,,,eject,,,,,,,,,
,,,slow+,,,,,,,,,
,,,slow-,,,,,,,,,
,,,x2,,,,,,,,,
,,,center,,,,,,,,,
,,,rear,,,,,,,,,
