Name:,LG RH-7800,,,,v9.00,,,,,,,CURRENT DATA
Devices:,NECx1,45,45,,,,,,,,,
Manual:,,0 = 1-byte,LSB-COMP,88,NO,,,,,,,
Setup:,0591,01 = 15-1994,06 - DVD,OBC,USE,30 4B 4B,1,,,,,
15-1994 Device Upgrade/Key Move Code:,,,,,,,,,,,,
Upgrade Code 0 = 22 4F (DVD/0591) LG RH-7800 (KM v9.00),,,,,,,,,,,,
5A 00 BE FE FE F9 30 4B 4B DD 23 C3 43 83 03 FD 7D BD 3D D3 53 F3 5D 55 35 2D AD 1D ED 65 A5 E5 D9 75 A3 E9 9D 73 E3 76 06 63 15 93,,,,,,,,,,,,
KeyMoves,,,,,,,,,,,,
 22 F3 22 4F 0D«Audio»  ¦23 F3 22 4F F5«Subtitle»  ¦24 F3 22 4F CD«Angle»  ¦A9 F3 22 4F 95«Setup»  ¦AB F3 22 4F 5D«Exit»,,,,,,,,,,,,
End,,,,,,,,,,,,
Protocol Code:,,,,,,,,,,,,
Upgrade Protocol 0 = 00 5A (S3C8) NECx1 (KM v9.00),,,,,,,,,,,,
43 8B 31 8B 12 CF 44 08 08 01 18 01 06 01 18 03 39 D2 DC 11 94 08 B6 20 01 08 03 37 04 15 F6 01 33 FB 10 37 0B 07 E4 05 04 60 05 8B 0E B6 04 80 B6 05 80 37 0B 05 E4 04 05 60 05 E4 06 07 60 07 20 11 37 06 05 F6 01 04 7B 12 37 09 15 37 02 06 F6 01 36 F6 01 33 37 01 03 46 29 0D 46 29 01 8D 01 36 E4 20 1E E4 21 1F 37 01 EB F6 01 36 E6 28 C1 60 04 E6 12 01 8B E4,,,,,,,,,,,,
End,,,,,,,,,,,,
Key Move Code:,,,229,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
fFunctions,fOBC,fByte2,bButtons,bFunctions,fNotes,Device Combiner,,kFunctions,kBoundDev,kBoundKey,kShift,b$Functions
num 0,068,,0,00 - num 0,,Protocol ID,Fixed Data,,,,,
num 1,059,,1,01 - num 1,,,,,,,,
num 2,060,,2,02 - num 2,,,,,,,,
num 3,061,,3,03 - num 3,,,,,,,,
num 4,062,,4,04 - num 4,,,,,,,,
num 5,063,,5,05 - num 5,,,,,,,,
num 6,064,,6,06 - num 6,,,,,,,,
num 7,065,,7,07 - num 7,,,,,,,,
num 8,066,,8,08 - num 8,,,,,,,,
num 9,067,,9,09 - num 9,,,,,,,,
power,048,,vol up,,,,,,,,,
select/enter,088,,vol down,,,,,,,,,
Menu,075,,mute,,,,,,,,,
Display,058,,channel up,21 - Skip/Scan >>|,,,,,,,,
UP arrow,071,,channel down,22 - Skip/Scan |<<,,,,,,,,
DOWN arrow,072,,power,10 - power,,,,,,,,
LEFT arrow,089,,enter,18 - Return/TV input,,,,,,,,
RIGHT arrow,090,,tv/vcr,41 - A-B repeat,,,,,,,,
Return/TV input,069,,last,40 - Repeat,,,,,,,,
Play,049,,menu,12 - Menu,,,,,,,,35 - Setup
Stop,057,,program / guide,26 - Title/Info,,,,,,,,
Skip/Scan >>|,052,,up arrow,14 - up arrow,,,,,,,,
Skip/Scan |<<,053,,down arrow,15 - down arrow,,,,,,,,
Pause,056,,left arrow,16 - left arrow,,,,,,,,
Eject,054,,right arrow,17 - right arrow,,,,,,,,
Random,081,,select,11 - select/enter,,,,,,,,
Title/Info,074,,sleep,48 - Zoom,,,,,,,,
Fwd 4x,155,,pip,25 - Random,key must be held down,,,,,,,
Rew 4x,149,,display,13 - Display,key must be held down,,,,,,,
Fwd 100x,159,,swap,50 - Upconversion,key must be held down,,,,,,,
Rew 100x,145,,move,43 - Clear,key must be held down,,,,,,,
Fwd 2x,153,,play,19 - play,key must be held down,,,,,,,
Rew 2x,150,,pause,23 - Pause,key must be held down,,,,,,,
Fwd 16x,157,,rewind,30 - Rew 100x,key must be held down,,,,,,,
Rew 16x,146,,fast fwd,29 - Fwd 100x,key must be held down,,,,,,,
Setup,086,,stop,20 - Stop,,,,,,,,
Exit,069,,record,39 - Program,,,,,,,,
Subtitle,080,,exit,24 - Eject,,,,,,,,36 - Exit
Audio,079,,surround,,,,,,,,,
Program,087,,input,,,,,,,,,
Repeat,083,,+100,,,,,,,,,
A-B repeat,085,,fav/scan,,,,,,,,,
Angle,076,,device button,,,,,,,,,
Clear,070,,next track,,,,,,,,,
Marker,097,,prev track,,,,,,,,,
Marker-search,098,,shift-left,,,,,,,,,
Repeat -10,102,,shift-right,,,,,,,,,
Repeat Learning,092,,pip freeze,,,,,,,,,
Zoom,100,,slow,,,,,,,,,
Sound-mode,099,,eject,,,,,,,,,
Upconversion,104,,slow+,,,,,,,,,
Skip Fwd 2x,051,,slow-,,one key press,,,,,,,
Skip Rev 2x,050,,x2,,one key press,,,,,,,
Slow Fwd 1/16x,055,,center,,,,,,,,,
Slow Rev 1/16x,096,,rear,,,,,,,,,
Colour Bar,224,,phantom1,,put colorbar on screen,,,,,,,
Mp1,222,,phantom2,,do what?,,,,,,,
,,,phantom3,,,,,,,,,
,,,phantom4,,,,,,,,,
home,103,,discreteON,,,,,,,,,
av,176,,discreteOFF,,,,,,,,,
I.skip,181,,phantom7,,,,,,,,,
record,182,,phantom8,,,,,,,,,
timer record,183,,phantom9,,,,,,,,,
record mode,184,,phantom10,,,,,,,,,
time shift,185,,setup,,,,,,,,,
thumbnail,186,,light,,,,,,,,,
chapter add,187,,theater,,,,,,,,,
show view,188,,macro1,,,,,,,,,
tv/dvd,190,,macro2,,,,,,,,,
TECHINCAL INFORMATIONS,223,,macro3,,"show f/w, reset all incl region to 1",,,,,,,
CPRM DATA READ/SAVE,224,,macro4,,Warning!,,,,,,,
TECHNICAL MENU,225,,1s,,Warning!,,,,,,,
INTERLACE SCAN/PROGRESSIVE SCAN,226,,2s,38 - Audio,Warning!,,,,,,,
DVD MODE,241,,3s,37 - Subtitle,,,,,,,,
HDD MODE,242,,4s,42 - Angle,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
Line Notes:,,,,,,,,,,,,,
Original Remote Control is LG 6711R1P071A,,,,,,,,,,,,,
,,,,,,,,,,,,,
All functions of the original remote + ,,,,,,,,,,,,,
some undocumented functions!,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,EOF Marker - DO NOT DELETE,
