Name:,LG FL-R888K - Karaoke/VCD,,,,v8.21,,,,,,,CURRENT DATA
Devices:,NECx1,46,46,,,,,,,,,
Manual:,,0 = 1-byte,LSB-COMP,88,NO,,,,,,,
Setup:,2001,24 = URC-881x / 801x / 601x,06 - DVD,OBC,USE,30 8B 8B,1,,,,,
URC-881x / 801x / 601x Device Upgrade Code:,,,,,,,,,,,,
Upgrade Code 0 = 17 D1 (DVD/2001),,,,,,,,,,,,
5A 06 7E FE FE E1 30 8B 8B B3 33 C7 7B 7B AF 07 17 D7 E7 A7 97 F7 0F AB 57 67 FB 77 87 6B 27 E5 2B B7 37,,,,,,,,,,,,
End,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
Protocol Code:,,,,,,,,,,,,
Upgrade Protocol 0 = 00 5A (S3C8+),,,,,,,,,,,,
43 8B 31 8B 12 CF 44 08 08 01 18 01 06 01 18 03 39 D2 DC 11 94 08 B6 20 01 08 03 37 04 15 F6 01 46 FB 10 37 0B 07 E4 05 04 60 05 8B 0E B6 04 80 B6 05 80 37 0B 05 E4 04 05 60 05 E4 06 07 60 07 20 11 37 06 05 F6 01 04 7B 12 37 09 15 37 02 06 F6 01 49 F6 01 46 37 01 03 46 29 0D 46 29 01 8D 01 49 E4 20 1E E4 21 1F 37 01 EB F6 01 49 E6 28 C1 60 04 E6 12 01 8B E4,,,,,,,,,,,,
End,,,,,,,,,,,,
Key Move Code:,,,220,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
fFunctions,fOBC,fByte2,bButtons,bFunctions,fNotes,Device Combiner,,kFunctions,kBoundDev,kBoundKey,kShift,b$Functions
num 0,000,,0,00 - num 0,,Protocol ID,Fixed Data,,,,,
num 1,001,,1,01 - num 1,,,,,,,,
num 2,002,,2,02 - num 2,,,,,,,,
num 3,003,,3,03 - num 3,,,,,,,,
num 4,004,,4,04 - num 4,,,,,,,,
num 5,005,,5,05 - num 5,,,,,,,,
num 6,006,,6,06 - num 6,,,,,,,,
num 7,007,,7,07 - num 7,,,,,,,,
num 8,008,,8,08 - num 8,,,,,,,,
num 9,009,,9,09 - num 9,,,,,,,,
Male,050,,vol up,10 - Male,"FL-R900K only, not for FL-R888K",,,,,,,
Female,051,,vol down,11 - Female,"FL-R900K only, not for FL-R888K",,,,,,,
Cancel,028,,mute,12 - Cancel,,,,,,,,
,,,channel up,33 - Remain,,,,,,,,
,,,channel down,33 - Remain,,,,,,,,
power,010,,power,13 - power,,,,,,,,
menu,022,,enter,23 - Program,,,,,,,,
Karaoke/VCD,043,,tv/vid,15 - Karaoke/VCD,,,,,,,,
PBC (playback control),024,,prev,24 - Intro,,,,,,,,
exit (Return),023,,menu,14 - menu,,,,,,,,
Sharp (#),030,,guide,16 - PBC (playback control),,,,,,,,
Flat (b),031,,up arrow,18 - Sharp (#),,,,,,,,
Tempo -,026,,down arrow,19 - Flat (b),,,,,,,,
Tempo +,025,,left arrow,20 - Tempo -,,,,,,,,
Disk select (Disk Skip),032,,right arrow,21 - Tempo +,,,,,,,,
Program,027,,select,22 - Disk select (Disk Skip),,,,,,,,
L. Sce,,,sleep,,,,,,,,,
MDSS,,,pip,,,,,,,,,
Intro,088,,info,30 - Left/Right Stereo,"FL-R900K only, not for FL-R888K",,,,,,,
play,015,,swap,,,,,,,,,
pause,016,,move,,,,,,,,,
OSD,,,play,25 - play,,,,,,,,
Digest,,,pause,26 - pause,,,,,,,,
stop,017,,rewind,32 - Repeat,,,,,,,,
