Name:,Philips DVDR985 DVD recorder,,,,v7.32,,,,,,,CURRENT DATA
Devices:,RC-6,48,,,,,,,,,,
Manual:,,0 = 1-byte,LSB-COMP,88,NO,,,,,,,
Setup,0985,27 = URC-9910 / 8910,06 - DVD,OBC,USE,,,,,,,
Device Upgrade/Key Move Code:,,,,Protocol Code:,,,,,,,,
Upgrade code 0 = 23 D9 (DVD/0985),,,,Upgrade protocol 0 = 00 58 (S3C8+),,,,,,,,
58 12 3E FE FE FD 80 30 1E 1F 0C 2C 30 29 28 31,,,,35 A5 21 8B 13 CE 05 08 08 00 DE 00 00 00 00 00,,,,,,,,
37 54 58 59 5A 5B 41 5C EE 0F CF 83 C8 13 3B 1D,,,,CC D0 52 05 35 01 A8 04 4C 03 C7 34 B0 C5 B0 C6,,,,,,,,
20 21,,,,0C 04 1C 55 2C C0 90 C3 FB 02 B2 12 E0 C2 E0 C2,,,,,,,,
KeyMoves,,,,0A F4 0C 06 02 05 5E D7 01 60 C6 EB E3 A6 C5 06,,,,,,,,
30 F3 23 D9 FE 2B F3 23 D9 2A 39 F3 23 D9 13 2F,,,,6B 05 4E C7 34 8B D7 E6 07 C0 76 00 01 EB 03 E6,,,,,,,,
F3 23 D9 FE 25 F3 23 D9 F7 26 F3 23 D9 85 27 F3,,,,07 30 E6 10 05 E6 11 04 E6 01 03 8D 01 46,,,,,,,,
23 D9 4B 28 F3 23 D9 4E,,,,End,,,,,,,,
End,,,,,,,,,,,,
,,,,,,,,Key Move Code:,,,198,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
fFunctions,fOBC,fByte2,bButtons,bFunctions,fNotes,Device Combiner,,kmFunctions,kBoundDev,kBoundKey,kShift,b$-Functions
num 0,000,,0,00 - num 0,0,Protocol ID,Fixed Data,,,,,
num 1,001,,1,01 - num 1,1,,,,,,,
num 2,002,,2,02 - num 2,2,,,,,,,
num 3,003,,3,03 - num 3,3,,,,,,,
num 4,004,,4,04 - num 4,4,,,,,,,
num 5,005,,5,05 - num 5,5,,,,,,,
num 6,006,,6,06 - num 6,6,,,,,,,
num 7,007,,7,07 - num 7,7,,,,,,,
num 8,008,,8,08 - num 8,8,,,,,,,
num 9,009,,9,09 - num 9,9,,,,,,,
vol up,,,vol up,,,,,,,,,
vol down,,,vol down,,,,,,,,,
mute,,,mute,,,,,,,,,
channel up,030,,channel up,10 - channel up,channel up,,,,,,,
channel down,031,,channel down,11 - channel down,channel down,,,,,,,
power,012,,power,12 - power,power,,,,,,,
enter,200,,enter,13 - enter,t/c (title chapter),,,,,,,
Monitor,238,,tv/vid,14 - Monitor,monitor,,,,,,,
Edit (FSS),207,,prev,15 - Edit (FSS),FSS (edit),,,,,,,
Disc,084,,menu,16 - Disc,disc,,,,,,,
Return,131,,guide,17 - Return,return,,,,,,,
up arrow,088,,up arrow,18 - up arrow,up arrow,,,,,,,
down arrow,089,,down arrow,19 - down arrow,down arrow,,,,,,,
left arrow,090,,left arrow,20 - left arrow,left arrow,,,,,,,
right arrow,091,,right arrow,21 - right arrow,right arrow,,,,,,,
Ok (Select),092,,select,22 - Ok (Select),OK (select),,,,,,,
sleep,,,sleep,37 - Timer,,,,,,,,
select (Record Quality),148,,pip,33 - Dim,record mode (quality),,,,,,,
System,015,,info,24 - System,system,,,,,,,
Subtitle,075,,swap,44 - Repeat A-B,subtitle select,,,,,,,
Audio Select,078,,move,43 - Repeat,audio track,,,,,,,
play,044,,play,27 - play,play,,,,,,,
pause,048,,pause,28 - pause,pause,,,,,,,
rewind,041,,rewind,29 - rewind,scan back,,,,,,,
fast fwd,040,,fwd,30 - fast fwd,scan forward,,,,,,,
stop,049,,stop,31 - stop,stop,,,,,,,
record,055,,record,32 - record,record,,,,,,,
Dim,019,,exit,36 - Clear,dim,,,,,,,
surround,,,surround,,,,,,,,,
input toggle,,,input,,,,,,,,,
+100,,,+100,,,,,,,,,
fav/scan,,,fav/scan,,,,,,,,,
device button,,,device button,,,,,,,,,
Chapter Forward,032,,f fwd,34 - Chapter Forward,chapter forward,,,,,,,
Chapter Back,033,,f rew,35 - Chapter Back,chapter back,,,,,,,
shift-left,,,com/skip,42 - Scan,,,,,,,,
shift-right,,,shift-right,,,,,,,,,
pip freeze,,,pip freeze,,,,,,,,,
slow,,,slow,,,,,,,,,
eject,,,eject,,,,,,,,,
slow+,,,slow+,,,,,,,,,
slow-,,,slow-,,,,,,,,,
X2,,,X2,,,,,,,,,
center,,,center,,,,,,,,,
rear,,,rear,,,,,,,,,
Clear,065,,phantom1,,,,,,,,,
Timer,254,,phantom2,,,,,,,,,
Slow,034,,phantom3,,,,,,,,,
Title/Chapter,200,,phantom4,,,,,,,,,
Zoom,247,,phantom5,,,,,,,,,
Angle,133,,phantom6,,,,,,,,,
Scan,042,,phantom7,,,,,,,,,
Repeat,029,,phantom8,,,,,,,,,
Repeat A-B,059,,phantom9,,,,,,,,,
,,,phantom10,,,,,,,,,
,,,setup,,,,,,,,,
,,,light,33 - Dim,,,,,,,,
,,,home theater,,,,,,,,,
,,,M1,,,,,,,,,
,,,M2,,,,,,,,,
,,,M3,37 - Timer,,,,,,,,
,,,macro4,,,,,,,,,
,,,L1,40 - Zoom,,,,,,,,
,,,L2,41 - Angle,,,,,,,,
,,,L3,25 - Subtitle,,,,,,,,
,,,L4,26 - Audio Select,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
