Name:,Zenith DVB318 DVD player,,,,v8.25,,,,,,,CURRENT DATA
Devices:,NECx1,45,45,,,,,,,,,
Manual:,,0 = 1-byte,LSB-COMP,88,NO,,,,,,,
Setup:,0741,99 = URC-6131 PVR,06 - DVD,EFC,USE,30 4B 4B,1,,,,,
URC-6131 PVR Device Upgrade Code:,,,,,,,,,,,,
Upgrade Code 0 = 22 E5 (DVD/0741) Zenith DVB318 DVD player (KM v8.25),,,,,,,,,,,,
5A 00 BE EE FC FE E1 30 4B 4B DD 23 C3 43 83 03 FD 7D BD 3D D3 53 F3 73 E3 B3 33 63 93 A3 2D 5D 1D ED 65 A5 95 E5 F5 8D D3 53 13 0D CD AD 6D 99,,,,,,,,,,,,
End,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
Protocol Code:,,,,,,,,,,,,
Upgrade Protocol 0 = 00 5A (S3C8+) NECx1 (KM v8.25),,,,,,,,,,,,
43 8B 31 8B 12 CF 44 08 08 01 18 01 06 01 18 03 39 D2 DC 11 94 08 B6 20 01 08 03 37 04 15 F6 01 46 FB 10 37 0B 07 E4 05 04 60 05 8B 0E B6 04 80 B6 05 80 37 0B 05 E4 04 05 60 05 E4 06 07 60 07 20 11 37 06 05 F6 01 04 7B 12 37 09 15 37 02 06 F6 01 49 F6 01 46 37 01 03 46 29 0D 46 29 01 8D 01 49 E4 20 1E E4 21 1F 37 01 EB F6 01 49 E6 28 C1 60 04 E6 12 01 8B E4,,,,,,,,,,,,
End,,,,,,,,,,,,
Key Move Code:,,,226,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
fFunctions,fEFC,fByte2,bButtons,bFunctions,fNotes,Device Combiner,,kFunctions,kBoundDev,kBoundKey,kShift,b$Functions
num 0,164,,0,00 - num 0,,Protocol ID,Fixed Data,,,,,
num 1,027,,1,01 - num 1,,,,,,,,
num 2,020,,2,02 - num 2,,,,,,,,
num 3,024,,3,03 - num 3,,,,,,,,
num 4,022,,4,04 - num 4,,,,,,,,
num 5,026,,5,05 - num 5,,,,,,,,
num 6,165,,6,06 - num 6,,,,,,,,
num 7,169,,7,07 - num 7,,,,,,,,
num 8,167,,8,08 - num 8,,,,,,,,
num 9,171,,9,09 - num 9,,,,,,,,
+10,038,,vol up,,,,,,,,,
A-B,104,,vol down,,,,,,,,,
Angle,036,,mute,,,,,,,,,
Arrow Down,037,,channel up,39 - Skip Forward,,,,,,,,
Arrow Left,233,,channel down,40 - Skip Reverse,,,,,,,,
Arrow Right,231,,power,28 - Power,,,,,,,,
Arrow Up,170,,enter,10 - +10,,,,,,,,
Audio,042,,tv/vid,,,,,,,,,
C,166,,prev,,,,,,,,,
Display,023,,menu,24 - Menu,,,,,,,,
Test Pattern,205,,guide,38 - Setup,Displays Color Bar Test Pattern,,,,,,,
Instant Replay,198,,up arrow,16 - Arrow UP,10 seconds replay,,,,,,,
Marker,201,,down arrow,13 - Arrow DOWN,,,,,,,,
Marker Search,199,,left arrow,14 - Arrow LEFT,,,,,,,,
Menu,043,,right arrow,15 - Arrow RIGHT,,,,,,,,
Open/Close,150,,select,37 - Select,,,,,,,,
Pause,021,,angle/sleep,12 - Angle,,,,,,,,
Play,153,,pip,,,,,,,,,
Power,149,,info,19 - Display,,,,,,,,
Program,106,,swap,,,,,,,,,
Random,105,,move,,,,,,,,,
Repeat,107,,play,27 - Play,,,,,,,,
Resume,041,,pause,26 - Pause,,,,,,,,
Return,168,,rewind,36 - Search Reverse,,,,,,,,
Search Forward,155,,fast fwd,34 - Search Forward,,,,,,,,
Search Mode,234,,stop,42 - Stop,,,,,,,,
Search Reverse,151,,record,25 - Open/Close,,,,,,,,
Select,229,,exit,33 - Return,,,,,,,,
Setup,102,,surround,,,,,,,,,
Skip Forward,148,,audio/CC,17 - Audio,,,,,,,,
Skip Reverse,152,,+100,,,,,,,,,
Slow,154,,fav/scan,,,,,,,,,
Stop,025,,device button,,,,,,,,,
Subtitle,101,,advance,32 - Resume,,,,,,,,
Subtitle On/Off,100,,replay,21 - Instant Replay,,,,,,,,
Title,039,,next track,39 - Skip Forward,,,,,,,,
Upconversion,069,,prev track,40 - Skip Reverse,(Disk must be stopped),,,,,,,
Zoom Feature,196,,PVR menu,45 - Title,,,,,,,,
,,,subtitle,43 - Subtitle,,,,,,,,
,,,slow,41 - Slow,,,,,,,,
,,,thumbs up,,,,,,,,,
,,,thumbs down,,,,,,,,,
,,,x2,,,,,,,,,
,,,center,,,,,,,,,
,,,rear,,,,,,,,,
,,,phantom1,,,,,,,,,
,,,phantom2,,,,,,,,,
,,,phantom3,,,,,,,,,
,,,phantom4,,,,,,,,,
,,,phantom5,,,,,,,,,
,,,phantom6,,,,,,,,,
,,,phantom7,,,,,,,,,
,,,phantom8,,,,,,,,,
,,,phantom9,,,,,,,,,
,,,phantom10,,,,,,,,,
,,,setup,,,,,,,,,
,,,light,,,,,,,,,
,,,theater,,,,,,,,,
,,,macro1,,,,,,,,,
,,,macro2,,,,,,,,,
,,,macro3,,,,,,,,,
,,,macro4,,,,,,,,,
,,,learn1,,,,,,,,,
,,,learn2,,,,,,,,,
,,,learn3,,,,,,,,,
,,,learn4,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
Line Notes:,,,,,,,,,,,,,
"This is official UEL setup code DVD/0741, but the EFCs can also",,,,,,,,,,,,,
be used with DVD/0591 as it uses the same device codes and,,,,,,,,,,,,,
protocol.,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,EOF Marker - DO NOT DELETE,
