Name:,SVA DVD Player 1105,,,,v8.33,,,,,,,CURRENT DATA
Devices:,NEC1,0,0,,,,,,,,,
Manual:,,0 = 1-byte,LSB-COMP,88,NO,,,,,,,
Setup:,1105,24 = URC-881x / 801x / 601x,06 - DVD,EFC,USE,20 FF FF,1,,,,,
URC-881x / 801x / 601x Device Upgrade Code:,,,,,,,,,,,,
Upgrade Code 0 = 14 51 (DVD/1105) SVA DVD Player 1105 (KM v8.33),,,,,,,,,,,,
5A 00 BA FA FE E1 20 FF FF A7 77 8F 0F 57 B7 37 67 97 17 C7 E7 CF 45 D7 27 65 FF 1F 47 F7 C5 DF 07 D5 8D DF 75 75 D7 F7,,,,,,,,,,,,
End,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
Protocol Code:,,,,,,,,,,,,
Upgrade Protocol 0 = 00 5A (S3C8+) NEC1 (KM v8.33),,,,,,,,,,,,
43 8B 31 8B 12 CF 44 08 08 01 18 01 06 01 18 03 39 D2 DC 11 94 08 B6 20 01 08 03 37 04 15 F6 01 46 FB 10 37 0B 07 E4 05 04 60 05 8B 0E B6 04 80 B6 05 80 37 0B 05 E4 04 05 60 05 E4 06 07 60 07 20 11 37 06 05 F6 01 04 7B 12 37 09 15 37 02 06 F6 01 49 F6 01 46 37 01 03 46 29 0D 46 29 01 8D 01 49 E4 20 1E E4 21 1F 37 01 EB F6 01 49 E6 28 C1 60 04 E6 12 01 8B E4,,,,,,,,,,,,
End,,,,,,,,,,,,
Key Move Code:,,,220,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
fFunctions,fEFC,fByte2,bButtons,bFunctions,fNotes,Device Combiner,,kFunctions,kBoundDev,kBoundKey,kShift,b$Functions
num 0,247,,0,00 - num 0,,Protocol ID,Fixed Data,,,,,
num 1,121,,1,01 - num 1,,,,,,,,
num 2,054,,2,02 - num 2,,,,,,,,
num 3,058,,3,03 - num 3,,,,,,,,
num 4,120,,4,04 - num 4,,,,,,,,
num 5,119,,5,05 - num 5,,,,,,,,
num 6,123,,6,06 - num 6,,,,,,,,
num 7,249,,7,07 - num 7,,,,,,,,
num 8,118,,8,08 - num 8,,,,,,,,
num 9,122,,9,09 - num 9,,,,,,,,
vol up,,,vol up,,,,,,,,,
vol down,,,vol down,,,,,,,,,
mute,,,mute,,,,,,,,,
skip up chapter,244,,channel up,10 - skip up chapter,,,,,,,,
skip back chapter,245,,channel down,11 - skip back chapter,,,,,,,,
power,052,,power,12 - power,,,,,,,,
menu,181,,enter,21 - enter,,,,,,,,
setup,251,,tv/vid,22 - audio (language),,,,,,,,
display,038,,prev,22 - audio (language),,,,,,,,
exit,,,menu,13 - menu,,,,,,,,
up arrow,100,,guide,14 - setup,,,,,,,,
down arrow,232,,up arrow,16 - up arrow,,,,,,,,
left arrow,233,,down arrow,17 - down arrow,,,,,,,,
right arrow,228,,left arrow,18 - left arrow,,,,,,,,
select,180,,right arrow,19 - right arrow,,,,,,,,
enter,180,,select,20 - select,,,,,,,,
tv/vcr,,,sleep,,,,,,,,,
audio (language),105,,pip,,,,,,,,,
sleep,,,info,15 - display,,,,,,,,
play,248,,swap,,,,,,,,,
pause,186,,move,,,,,,,,,
rewind,117,,play,23 - play,,,,,,,,
fast fwd,116,,pause,24 - pause,,,,,,,,
stop,250,,rewind,25 - rewind,,,,,,,,
record,,,fwd,26 - fast fwd,,,,,,,,
f.fwd/next track,,,stop,27 - stop,,,,,,,,
f.rew/prev track,,,record,,,,,,,,,
+100,,,exit,,,,,,,,,
pip on/off,,,surround,,,,,,,,,
pip swap,,,input,,,,,,,,,
pip move,,,+100,,,,,,,,,
pip freeze,,,fav,,,,,,,,,
,,,device button,,,,,,,,,
,,,f fwd,26 - fast fwd,,,,,,,,
,,,f rew,25 - rewind,,,,,,,,
,,,shift-left,,,,,,,,,
,,,shift-right,,,,,,,,,
,,,pip freeze,,,,,,,,,
,,,slow,,,,,,,,,
,,,eject,,,,,,,,,
,,,slow+,,,,,,,,,
,,,slow-,,,,,,,,,
,,,x2,,,,,,,,,
,,,center,,,,,,,,,
,,,rear,,,,,,,,,
,,,phantom1,,,,,,,,,
,,,phantom2,,,,,,,,,
,,,phantom3,,,,,,,,,
,,,phantom4,,,,,,,,,
