Name:,CyberHome CH-300,,,,v7.41a,,,,,,,CURRENT DATA
Devices:,NEC1,114,205,,,,,,,,,
Manual:,,0 = 1-byte,LSB-COMP,88,NO,,,,,,,
Setup,1998,99 = URC-6131 PVR Extender,06 - DVD,EFC,USE,,,,,,,
Device Upgrade/Key Move Code:,,,,Protocol Code:,,,,,,,,
Upgrade code 0 = 27 CE (DVD/1998),,,,Upgrade protocol 0 = 00 5A (S3C8+),,,,,,,,
5A 00 FE CE FE FE F9 20 B1 4C 6D 37 F7 77 0F CF,,,,43 8B 31 8B 12 CF 44 08 08 01 18 01 06 01 18 03,,,,,,,,
4F 2F EF 6F 00 00 57 67 E7 8F 65 87 07 45 9F 5F,,,,39 D2 DC 11 94 08 B6 20 01 08 03 37 04 15 F6 01,,,,,,,,
BF 75 DD 47 C7 ED F5 C5 AF D5 4D 67 E7 27 E5 55,,,,46 FB 10 37 0B 07 E4 05 04 60 05 8B 0E B6 04 80,,,,,,,,
7D B7 5D 3F FD,,,,B6 05 80 37 0B 05 E4 04 05 60 05 E4 06 07 60 07,,,,,,,,
KeyMoves,,,,20 11 37 06 05 F6 01 04 7B 12 37 09 15 37 02 06,,,,,,,,
2F F3 27 CE DF 20 F3 27 CE 97 30 F3 27 CE 17 8E,,,,F6 01 49 F6 01 46 37 01 03 46 29 0D 46 29 01 8D,,,,,,,,
F3 27 CE A7,,,,01 49 E4 20 1E E4 21 1F 37 01 EB F6 01 49 E6 28,,,,,,,,
End,,,,C1 60 04 E6 12 01 8B E4,,,,,,,,
,,,,End,,,,Key Move Code:,,,220,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
fFunctions,fEFC,fByte2,bButtons,bFunctions,fNotes,Device Combiner,,kmFunctions,kBoundDev,kBoundKey,kShift,b$-Functions
num 0,041,,0,00 - num 0,,Protocol ID,Fixed Data,,,,,
num 1,123,,1,01 - num 1,,,,,,,,
num 2,117,,2,02 - num 2,,,,,,,,
num 3,121,,3,03 - num 3,,,,,,,,
num 4,058,,4,04 - num 4,,,,,,,,
num 5,052,,5,05 - num 5,,,,,,,,
num 6,056,,6,06 - num 6,,,,,,,,
num 7,059,,7,07 - num 7,,,,,,,,
num 8,053,,8,08 - num 8,,,,,,,,
num 9,057,,9,09 - num 9,,,,,,,,
repeat 1/all,122,,vol up,,,,,,,,,
repeat a/b,118,,vol down,,,,,,,,,
mute,120,,mute,12 - mute,,,,,,,,
effect,168,,channel up,41 - next track,,,,,,,,
intro,168,,channel down,42 - prev track,,,,,,,,
power,054,,power,15 - power,,,,,,,,
enter,228,,enter,40 - +10,,,,,,,,
bookmark,187,,tv/vid,,,,,,,,,
return,055,,prev,18 - return,,,,,,,,
menu,183,,menu,19 - menu,,,,,,,,
Program,101,,guide,20 - Program,,,,,,,,
up arrow,164,,up arrow,21 - up arrow,,,,,,,,
down arrow,248,,down arrow,22 - down arrow,,,,,,,,
left arrow,244,,left arrow,23 - left arrow,,,,,,,,
right arrow,037,,right arrow,24 - right arrow,,,,,,,,
setup,169,,select,16 - enter,,,,,,,,
eject,247,,angle/sleep,39 - angle,,,,,,,,
zoom,180,,pip,27 - zoom,,,,,,,,
display,184,,info,28 - display,,,,,,,,
title,165,,swap,11 - repeat a/b,,,,,,,,
subtitle,100,,move,10 - repeat 1/all,,,,,,,,
play,233,,play,31 - play,,,,,,,,
pause,246,,pause,32 - pause,,,,,,,,
rewind,250,,rewind,33 - rewind,,,,,,,,
fast fwd,232,,fast fwd,34 - fast fwd,,,,,,,,
stop,182,,stop,35 - stop,,,,,,,,26 - eject
goto,119,,record,,,,,,,,,
c - exit,105,,exit,37 - c - exit,,,,,,,,
audio,229,,surround,,,,,,,,,
angle,104,,audio/CC,38 - audio,,,,,,,,
+10,040,,+100,,,,,,,,,
next track,249,,fav/scan,,,,,,,,,
prev track,245,,device button,,,,,,,,,
slow,251,,advance,36 - goto,,,,,,,,
,,,replay,13 - effect,,,,,,,,
,,,next track,41 - next track,,,,,,,,
,,,prev track,42 - prev track,,,,,,,,
,,,PVR menu,25 - setup,,,,,,,,
,,,subtitle,30 - subtitle,,,,,,,,
,,,slow,43 - slow,,,,,,,,
,,,thumbs up,17 - bookmark,,,,,,,,
,,,thumbs down,29 - title,,,,,,,,
,,,x2,,,,,,,,,
,,,center,,,,,,,,,
,,,rear,,,,,,,,,
,,,phantom1,,,,,,,,,
,,,phantom2,,,,,,,,,
,,,phantom3,,,,,,,,,
,,,phantom4,,,,,,,,,
,,,phantom5,,,,,,,,,
,,,phantom6,,,,,,,,,
,,,phantom7,,,,,,,,,
,,,phantom8,,,,,,,,,
,,,phantom9,,,,,,,,,
,,,phantom10,,,,,,,,,
,,,setup,,,,,,,,,
,,,light,,,,,,,,,
,,,theater,,,,,,,,,
,,,macro1,,,,,,,,,
,,,macro2,,,,,,,,,
,,,macro3,,,,,,,,,
,,,macro4,,,,,,,,,
,,,learn1,,,,,,,,,
,,,learn2,,,,,,,,,
,,,learn3,,,,,,,,,
,,,learn4,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
Line Notes:,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,EOF Marker - DO NOT DELETE,
