Name:,Daewoo DVD5800,,,,v9.19,,,,,,,,CURRENT DATA
Devices:,NEC1,128,,,,,,,,,,,
Manual:,,0 = 1-byte,0 = 1-byte,88,NO,,,,,,,,
Setup:,0572,18 = 15-2104,06 - DVD,OBC,USE,00 FE FE,1,No,,,,,
15-2104 Device Upgrade Code:,,,,,,,,,,,,,
Upgrade Code 0 = 22 3C (DVD/0572) Daewoo DVD5800 (KM v9.19),,,,,,,,,,,,,
5A 00 BE FE FE E1 00 FE FE 7D EF 6F AF F7 77 B7 E7 67 A7 1F 5F FF 37 1D C7 0F 4F 2F 3D 3F 27 37 BF 9F 6D 6D CF 7F ED 97 FD 87,,,,,,,,,,,,,
End,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
Protocol Code:,,,,,,,,,,,,,
Upgrade Protocol 0 = 00 5A (S3C8+) NEC1 (KM v9.19),,,,,,,,,,,,,
43 8B 31 8B 12 CF 44 08 08 01 18 01 06 01 18 03 39 D2 DC 11 94 08 B6 20 01 08 03 37 04 15 F6 01 46 FB 10 37 0B 07 E4 05 04 60 05 8B 0E B6 04 80 B6 05 80 37 0B 05 E4 04 05 60 05 E4 06 07 60 07 20 11 37 06 05 F6 01 04 7B 12 37 09 15 37 02 06 F6 01 49 F6 01 46 37 01 03 46 29 0D 46 29 01 8D 01 49 E4 20 1E E4 21 1F 37 01 EB F6 01 49 E6 28 C1 60 04 E6 12 01 8B E4,,,,,,,,,,,,,
End,,,,,,,,,,,,,
Key Move Code:,,,224,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
fFunctions,fOBC,fByte2,bButtons,bFunctions,fNotes,Device Combiner,,kFunctions,kBoundDev,kBoundKey,kShift,b$Functions,bBtnCd
num 0,065,,0,00 - num 0,,Protocol ID,Fixed Data,,,,,,1F
num 1,008,,1,01 - num 1,,,,,,,,,15
num 2,009,,2,02 - num 2,,,,,,,,,16
num 3,010,,3,03 - num 3,,,,,,,,,17
num 4,016,,4,04 - num 4,,,,,,,,,19
num 5,017,,5,05 - num 5,,,,,,,,,1A
num 6,018,,6,06 - num 6,,,,,,,,,1B
num 7,024,,7,07 - num 7,,,,,,,,,1C
num 8,025,,8,08 - num 8,,,,,,,,,1D
num 9,026,,9,09 - num 9,,,,,,,,,1E
next,007,,vol up,,,,,,,,,,04
previous,005,,vol down,,,,,,,,,,05
power,000,,mute,,,,,,,,,,08
A-B,071,,channel up,10 - next,,,,,,,,,06
prog,028,,channel down,11 - previous,,,,,,,,,07
menu,015,,power,12 - power,,,,,,,,,03
setup,013,,enter,21 - select,,,,,,,,,12
up arrow,011,,tv/vcr,13 - A-B,,,,,,,,,18
down arrow,067,,last,14 - prog,,,,,,,,,13
left arrow,003,,menu,15 - menu,,,,,,,,,2F
right arrow,027,,guide,16 - setup,,,,,,,,,22
select,019,,up arrow,17 - up arrow,,,,,,,,,31
open/close,002,,down arrow,18 - down arrow,,,,,,,,,32
display,006,,left arrow,19 - left arrow,,,,,,,,,33
play / pause,073,,right arrow,20 - right arrow,,,,,,,,,34
rewind,012,,select,21 - select,,,,,,,,,2E
fast fwd,001,,sleep,22 - open/close,,,,,,,,,30
stop,072,,,,,,,,,,,,
subtitles,022,,info,23 - display,,,,,,,,,23
clear,064,,,,,,,,,,,,
zoom,030,,,,,,,,,,,,
,,,play,24 - play / pause,,,,,,,,,0C
,,,pause,24 - play / pause,,,,,,,,,0F
,,,rewind,25 - rewind,,,,,,,,,0B
,,,fast fwd,26 - fast fwd,,,,,,,,,0D
,,,stop,27 - stop,,,,,,,,,0E
,,,record,28 - subtitles,,,,,,,,,10
,,,exit,29 - clear,,,,,,,,,24
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,+100,30 - zoom,,,,,,,,,20
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,10 - next,,,,,,,,,
,,,,11 - previous,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,22 - open/close,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,phantom1,,,,,,,,,,3A
,,,phantom2,,,,,,,,,,3B
,,,phantom3,,,,,,,,,,3C
,,,phantom4,,,,,,,,,,3D
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,setup,,,,,,,,,,02
,,,light,,,,,,,,,,35
,,,theater,,,,,,,,,,36
,,,music,,,,,,,,,,25
,,,movie,,,,,,,,,,26
,,,sport,,,,,,,,,,27
,,,news,,,,,,,,,,28
,,,1s,,,,,,,,,,2A
,,,2s,,,,,,,,,,2B
,,,3s,,,,,,,,,,2C
,,,4s,,,,,,,,,,2D
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,28 - subtitles,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,discreteON,,,,,,,,,,3E
,,,discreteOFF,,,,,,,,,,3F
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
