Name:,Fisher DVD S-1100,,,,v9.19,,,,,,,,CURRENT DATA
Devices:,NEC1,60,196,,,,,,,,,,
Manual:,,0 = 1-byte,LSB-COMP,88,NO,,,,,,,,
Setup:,0670,02 = URC-7800 / 6800,06 - DVD,EFC,USE,20 C3 DC,1,No,,,,,
URC-7800 / 6800 Device Upgrade Code:,,,,,,,,,,,,,
Upgrade Code 0 = 22 9E (DVD/0670) Fisher DVD S-1100 (KM v9.19),,,,,,,,,,,,,
5A 00 BE C2 C0 F1 20 C3 DC A7 77 B7 37 D7 57 97 17 E7 67 7B BB FF 9B 07 3B 87 FB 1F AF 0F 2F CF 4F 8F,,,,,,,,,,,,,
End,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
Protocol Code:,,,,,,,,,,,,,
Upgrade Protocol 0 = 00 5A (S3C8) NEC1 (KM v9.19),,,,,,,,,,,,,
43 8B 31 8B 12 CF 44 08 08 01 18 01 06 01 18 03 39 D2 DC 11 94 08 B6 20 01 08 03 37 04 15 F6 01 33 FB 10 37 0B 07 E4 05 04 60 05 8B 0E B6 04 80 B6 05 80 37 0B 05 E4 04 05 60 05 E4 06 07 60 07 20 11 37 06 05 F6 01 04 7B 12 37 09 15 37 02 06 F6 01 36 F6 01 33 37 01 03 46 29 0D 46 29 01 8D 01 36 E4 20 1E E4 21 1F 37 01 EB F6 01 36 E6 28 C1 60 04 E6 12 01 8B E4,,,,,,,,,,,,,
End,,,,,,,,,,,,,
Key Move Code:,,,230,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
fFunctions,fEFC,fByte2,bButtons,bFunctions,fNotes,Device Combiner,,kFunctions,kBoundDev,kBoundKey,kShift,b$Functions,bBtnCd
num 0,247,,0,00 - num 0,,Protocol ID,Fixed Data,,,,,,1F
num 1,121,,1,01 - num 1,,,,,,,,,15
num 2,119,,2,02 - num 2,,,,,,,,,16
num 3,123,,3,03 - num 3,,,,,,,,,17
num 4,116,,4,04 - num 4,,,,,,,,,19
num 5,120,,5,05 - num 5,,,,,,,,,1A
num 6,118,,6,06 - num 6,,,,,,,,,1B
num 7,122,,7,07 - num 7,,,,,,,,,1C
num 8,245,,8,08 - num 8,,,,,,,,,1D
num 9,249,,9,09 - num 9,,,,,,,,,1E
channel up,217,,vol up,,,,,,,,,,04
channel down,215,,vol down,,,,,,,,,,05
power,181,,mute,,,,,,,,,,08
menu,186,,channel up,10 - channel up,,,,,,,,,06
up arrow,059,,channel down,11 - channel down,,,,,,,,,07
down arrow,052,,power,12 - power,,,,,,,,,03
left arrow,056,,enter,,,,,,,,,,12
right arrow,054,,tv/vcr,,,,,,,,,,20
select,058,,prev ch,,,,,,,,,,13
play,250,,menu,13 - menu,,,,,,,,,23
pause,213,,prog/guide,,,,,,,,,,2E
rewind,214,,up arrow,14 - up arrow,,,,,,,,,31
fast fwd,219,,down arrow,15 - down arrow,,,,,,,,,32
stop,246,,left arrow,16 - left arrow,,,,,,,,,33
surround,055,,right arrow,17 - right arrow,,,,,,,,,34
,,,select,18 - select,,,,,,,,,28
,,,sleep,,,,,,,,,,18
,,,pip on/off,,,,,,,,,,2B
,,,display,,,,,,,,,,29
,,,pip swap,,,,,,,,,,2C
,,,pip move,,,,,,,,,,2D
,,,play,19 - play,,,,,,,,,0C
,,,pause,20 - pause,,,,,,,,,0F
,,,rewind,21 - rewind,,,,,,,,,0B
,,,fast fwd,22 - fast fwd,,,,,,,,,0D
,,,stop,23 - stop,,,,,,,,,0E
