Name:,Sony DVD Remote RMT-D175A,,,,v9.13,,,,,,,CURRENT DATA,
Devices:,Sony20,26,73,1,,,,,,,,,
Manual:,,0 = 1-byte,LSB-COMP,87,NO,,,,,,,,
Setup:,0175,27 = URC-9910 / 8910 / UEI HTPro,06 - DVD,EFC,USE,58 92 80,1,No,,,,,
URC-9910 / 8910 / UEI HTPro Device Upgrade Code:,,,,,,,,,,,,,
Upgrade Code 0 = 20 AF (DVD/0175) Sony DVD Remote RMT-D175A (KM v9.13),,,,,,,,,,,,,
DE 08 5E FE FE FD 58 92 80 48 C8 C6 A8 4C 9C 44 C4 1C 26 D8 9E 5E DE 3E 70 D0 A4 2A F0 58 14 9E A6 0A 8C 0C,,,,,,,,,,,,,
End,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
Protocol Code:,,,,,,,,,,,,,
Upgrade Protocol 0 = 00 DE (S3C8+) Sony20 (KM v9.13),,,,,,,,,,,,,
3A 8A 31 8B 14 F6 15 05 07 02 58 01 18 01 2C 01 18 57 D0 04 B0 01 18 08 03 76 06 01 6B 06 E6 28 F5 E6 01 02 8D 01 46,,,,,,,,,,,,,
End,,,,,,,,,,,,,
Key Move Code:,,,198,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
fFunctions,fEFC,fByte2,bButtons,bFunctions,fNotes,Device Combiner,,kFunctions,kBoundDev,kBoundKey,kShift,b$Functions,bBtnCd
num 0,142,,0,00 - num 0,,Protocol ID,Fixed Data,,,,,,1F
num 1,018,,1,01 - num 1,,,,,,,,,15
num 2,014,,2,02 - num 2,,,,,,,,,16
num 3,016,,3,03 - num 3,,,,,,,,,17
num 4,012,,4,04 - num 4,,,,,,,,,19
num 5,019,,5,05 - num 5,,,,,,,,,1A
num 6,015,,6,06 - num 6,,,,,,,,,1B
num 7,017,,7,07 - num 7,,,,,,,,,1C
num 8,013,,8,08 - num 8,,,,,,,,,1D
num 9,146,,9,09 - num 9,,,,,,,,,1E
vol up,080,1,vol up,10 - vol up,Sony12 Device 1,,,,,,,,04
vol down,076,1,vol down,11 - vol down,Sony12 Device 1,,,,,,,,05
tv power,071,1,mute,41 - subtitle,Sony12 Device 1 possibly EFC 079,,,,,,,,08
power,079,,channel up,,,,,,,,,,06
tv/video,239,1,channel down,,Sony12 Device 1,,,,,,,,07
top menu,208,,power,13 - power,,,,,,,,,03
menu,204,,enter,18 - time/text,,,,,,,,,18
clear,141,,tv/vid,14 - tv/video,,,,,,,,,20
time/text,114,,prev,17 - clear,,,,,,,,,38
picture navi,098,,menu,16 - menu,,,,,,,,,14
up arrow,190,,guide,15 - top menu,,,,,,,,,36
down arrow,192,,up arrow,20 - up arrow,,,,,,,,,31
left arrow,188,,down arrow,21 - down arrow,,,,,,,,,32
right arrow,195,,left arrow,22 - left arrow,,,,,,,,,33
enter,140,,right arrow,23 - right arrow,,,,,,,,,34
open/close,081,,select,24 - enter,,,,,,,,,35
return,145,,sleep,,,,,,,,,,30
prev,050,,pip,34 - zoom,,,,,,,,,3A
replay,227,,info,43 - display,,,,,,,,,13
advance,083,,swap,42 - angle,,,,,,,,,3C
next,046,,move,19 - picture navi,,,,,,,,,3B
