Name:,Pioneer DVD Recorder DVR-520HS,,,,v8.29,,,,,,,CURRENT DATA
Devices:,Pioneer MIX,171,175,42,44,,,,,,,
Manual:,,0 = 1-byte,LSB-COMP,88,NO,,,,,,,
Setup:,0631,99 = URC-6131 PVR,06 - DVD,OBC,USE,2A AB 0A CB,2,,,,,
URC-6131 PVR Device Upgrade Code:,,,,,,,,,,,,
Upgrade Code 0 = 22 77 (DVD/0631) Pioneer DVD Recorder DVR-520HS (KM v8.29),,,,,,,,,,,,
7E 00 BE FE FE FE F9 2A AB 0A CB FA 03 7A 03 BA 03 3A 03 DA 03 5A 03 9A 03 1A 03 EA 03 6A 03 89 01 09 01 C2 03 BB 00 3B 00 C1 03 A1 03 FB 00 EB 00 8A 01 38 03 62 03 58 03 B0 03 30 03 39 03 D9 03 0A 01 08 03 D0 03 93 03 79 01 9B 00 1B 00 32 03 82 03 52 03 D2 03 DB 00 5B 00 69 01 7B 00,,,,,,,,,,,,
End,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
Protocol Code:,,,,,,,,,,,,
Upgrade Protocol 0 = 00 7E (S3C8+) Pioneer MIX (KM v8.29),,,,,,,,,,,,
40 84 62 8B 12 A5 44 08 08 01 12 00 F5 01 12 03 0C 31 76 10 A6 08 3A 08 0A C0 C0 56 C0 0B 87 10 04 19 04 76 0A 01 EB 06 46 29 01 8D 01 46 A6 0D 02 EB 03 E6 0D 05 B0 01 E6 10 01 F6 01 46 E6 01 05 E6 10 06 F6 01 46 F6 01 0A 7B EA AF,,,,,,,,,,,,
End,,,,,,,,,,,,
Key Move Code:,,,0,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
fFunctions,fOBC,fByte2,bButtons,bFunctions,fNotes,Device Combiner,,kFunctions,kBoundDev,kBoundKey,kShift,b$Functions
0,160,3,0,00 - 0,,Protocol ID,Fixed Data,,,,,
1,161,3,1,01 - 1,,,,,,,,
2,162,3,2,02 - 2,,,,,,,,
3,163,3,3,03 - 3,,,,,,,,
4,164,3,4,04 - 4,,,,,,,,
5,165,3,5,05 - 5,,,,,,,,
6,166,3,6,06 - 6,,,,,,,,
7,167,3,7,07 - 7,,,,,,,,
8,168,3,8,08 - 8,,,,,,,,
9,169,3,9,09 - 9,,,,,,,,
-/--,097,1,vol up,,,,,,,,,
Angle,181,3,vol down,,,,,,,,,
Audio,190,3,mute,,,,,,,,,
C.Mark,167,1,channel up,15 - CH+,,,,,,,,
CH-,111,1,channel down,14 - CH-,,,,,,,,
CH+,110,1,power,37 - Power Toggle,,,,,,,,
Clear,229,3,enter,10 - -/--,,,,,,,,
CM skip,173,1,tv/vid,27 - Input Sel,,,,,,,,
D Navi,109,1,prev,43 - Return,,,,,,,,
Display,227,3,menu,29 - menu,,,,,,,,
Down Arrow,243,3,guide,36 - Playlist,,,,,,,,
DVD,101,1,up arrow,57 - Up Arrow,,,,,,,,
Easy,058,1,down arrow,20 - Down Arrow,,,,,,,,
Edit,164,1,left arrow,28 - Left Arrow,,,,,,,,
Eject,182,3,right arrow,44 - Right Arrow,,,,,,,,
Erase,165,1,select,32 - ok,,,,,,,,
HDD,100,1,angle/sleep,11 - Angle,,,,,,,,
Input Sel,174,1,pip,,,,,,,,,
Left Arrow,099,3,info,19 - Display,,,,,,,,
Menu,185,3,swap,,,,,,,,,
Nav Mark,166,1,move,,,,,,,,,
Off,187,3,play,35 - play,,,,,,,,
ok,239,3,pause,34 - pause,,,,,,,,
On,186,3,rewind,47 - Scan Back2,,,,,,,,
Pause,035,0,fast fwd,49 - Scan Forward2,,,,,,,,
Play,034,0,stop,54 - stop,,,,,,,,
Playlist,175,1,record,40 - record,,,,,,,,
Power Toggle,188,3,exit,16 - Clear,,,,,,,,
Program,236,3,surround,,,,,,,,,
Recod Mode,105,1,audio/CC,12 - Audio,,,,,,,,
Record,040,0,+100,,,,,,,,,
Record Stop,033,0,fav/scan,,,,,,,,,
Repeat AB,232,3,device button,,,,,,,,,
Return,244,3,advance,48 - Scan Forward1,,,,,,,,
Right Arrow,100,3,replay,46 - Scan Back1,,,,,,,,
Rpt,228,3,next track,53 - Skip Forwards,,,,,,,,
Scan Back1,037,0,prev track,52 - Skip Back,,,,,,,,
Scan Back2,124,3,PVR menu,56 - Top Menu,,,,,,,,
Scan Forward1,036,0,subtitle,55 - Subtitle,,,,,,,,
Scan Forward2,122,3,slow,50 - Search,,,,,,,,
Search,179,3,thumbs up,39 - Recod Mode,,,,,,,,
Setup Menu,176,3,thumbs down,41 - Record Stop,,,,,,,,
Skip Back,039,0,x2,,,,,,,,,
Skip Forwards,038,0,center,,,,,,,,,
Stop,032,0,rear,,,,,,,,,
Subtitle,054,3,phantom1,,,,,,,,,
Top Menu,180,3,phantom2,,,,,,,,,
Up Arrow,242,3,phantom3,,,,,,,,,
VCR Plus,102,1,phantom4,,,,,,,,,
,,,phantom5,,,,,,,,,
,,,phantom6,,,,,,,,,
,,,phantom7,,,,,,,,,
,,,phantom8,,,,,,,,,
,,,phantom9,,,,,,,,,
,,,phantom10,,,,,,,,,
,,,setup,,,,,,,,,
,,,light,,,,,,,,,
,,,theater,,,,,,,,,
,,,macro1,,,,,,,,,
,,,macro2,,,,,,,,,
,,,macro3,,,,,,,,,
,,,macro4,,,,,,,,,
,,,learn1,,,,,,,,,
,,,learn2,,,,,,,,,
,,,learn3,,,,,,,,,
,,,learn4,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
Line Notes:,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,EOF Marker - DO NOT DELETE,
