Name:,1110 JBL DVD 600 Cinema ProPack,,,,v6.03,,
Devices:,NEC1,130,114,,,,
Manual:,,0 = 1-byte,LSB-COMP,,NO,,
Setup,1127,05 = RCU810,06 - DVD,OBC,USE,,
,,,,,,,
RCU810 Device Upgrade Code (32 bytes):,,,,,,,
Upgrade code = 84 56 (DVD/1127),,,,,,,
5A 0F 3E FE F2 F9 20 BE B1 73 F3 BB 7B A3 5B 63,,,,,,,
23 DB 3B AB C9 9B 1B EB 6B 91 2B CB 8B 0B 4B D3,,,,,,,
End,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
Protocol Code:,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
Functions,OBC,byte2,Buttons,Functions,Notes,Device Combiner (max 16):,
Off,034,,0,24 - Num 0,,Protocol ID,Fixed Data
On,033,,1,14 - Num 1,,,
Status Banner,057,,2,15 - Num 2,,,
Open Drawer,032,,3,16 - Num 3,,,
Select Language,053,,4,17 - Num 4,,,
Title Select,035,,5,18 - Num 5,,,
Up,038,,6,19 - Num 6,,,
Disk/Player Menu,036,,7,20 - Num 7,,,
Left,040,,8,21 - Num 8,,,
Set/Play/Pause,042,,9,23 - Num 9,,,
Right,041,,vol up,,,,
Select Subtitiles,051,,vol down,,,,
Down,039,,mute,,,,
Return,037,,channel up,43 - Next Chapter,,,
Num 1,097,,channel down,42 - Previous Chapter,,,
Num 2,098,,on/off,00 - Off,,,
Num 3,099,,enter,32 - Scan Slow Reverse,,,
Num 4,100,,tv/vcr,28 - Scan Slow Forward,,,
Num 5,101,,goback,13 - Return,,,
Num 6,102,,menu,07 - Disk/Player Menu,,,
Num 7,103,,guide,05 - Title Select,,,
Num 8,104,,up arrow,06 - Up,,,
Camera Angle,054,,down arrow,12 - Down,,,
Num 9,105,,left arrow,08 - Left,,,
Num 0,096,,right arrow,10 - Right,,,
Single Frame Forward,061,,select,09 - Set/Play/Pause,,,
Program Play Sequence,106,,sleep,,,,
Clear,108,,pip on/off,,,,
Scan Slow Forward,059,,info,02 - Status Banner,,,
Single Frame Reverse,060,,pip swap,,,,
Random Playback,109,,pip move,,,,
Disk Skip,118,,play,38 - Play,,,
Scan Slow Reverse,058,,pause,41 - Pause,,,
CD/Program Check,107,,rewind,37 - Scan Fast Reverse,,,
Subtitles ON/OFF,052,,fast fwd,39 - Scan Fast Forward,,,
Repeat Program,110,,stop,40 - Stop,,,
Repeat Begin Mark / End Mark,111,,record,34 - Subtitles ON/OFF,,,
Scan Fast Reverse,046,,clear,27 - Clear,,,
Play,043,,surround,,,,
Scan Fast Forward,047,,input,31 - Disk Skip,,,
Stop,045,,+100,,,,
Pause,044,,,,,,
Previous Chapter,048,,device button,01 - On,,,
Next Chapter,049,,shift-up,,,,
On Screen Library,079,,shift-down,,version II only,,
,,,shift-left,,,,
,,,shift-right,,,,
,,,pip freeze,,,,
,,,slow,,,,
,,,eject,,,,
,,,slow+,,,,
,,,slow-,,,,
,,,X2,,,,
,,,center,,,,
,,,rear,,,,
,,,Phantom1,,,,
,,,Phantom2,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
Line Notes:,,,,Free-form Notes:,,,
,,,,JBL DVD 600 DVD player - part of JBL Cinema ProPack 600 Home Theather System. Should work with both versions I and II of the system.,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,EOF Marker - DO NOT DELETE
