Name:,AMW-S99,,,,v9.04,,,,,,,CURRENT DATA
Devices:,Device Combiner,32,,,,,,,,,,
Manual:,,0 = 1-byte,LSB-COMP,88,NO,,,,,,,
Setup:,1500,24 = URC-881x / 801x / 601x,06 - DVD,EFC,USE,00 00,2,No,,,,
URC-881x / 801x / 601x Device Upgrade Code:,,,,,,,,,,,,
Upgrade Code 0 = 1D DC (DVD/1500) AMW-S99 (KM v9.04),,,,,,,,,,,,
44 00 DE 7E F8 61 00 00 00 6D 00 37 00 F7 00 77 00 0F 00 CF 00 4F 00 2F 00 EF 00 6F 00 0D 00 2D 00 75 00 8F 00 47 00 AF 00 E7 00 C7 00 BD 00 87 00 C5 00 A7 00 27 00 ED 00 C5 00 45 00 DD 00 E5 40 E7 40 27,,,,,,,,,,,,
End,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
Protocol Code: (Upgrade Req'd),,,,,,,,,,,,
Upgrade Protocol 0 = 01 44 (S3C8+) Device Combiner (KM v9.04),,,,,,,,,,,,
00 00 22 08 06 96 10 04 90 05 6B 03 E4 05 0D 38 04 2C FF E7 62 45 E7 32 44 E3 42 E3 52 1C 03 E3 72 D7 17 1E A2 36 3B F7 97 01 FF 06 D9 02 56 7E BF C6 CA 01 00 C6 C2 17 32 70 C3 70 C2 C6 DA 10 DB 1F 10 76 46 4B 00 5A 00 FB FB,,,,,,,,,,,,
End,,,,,,,,,,,,
Key Move Code:,,,220,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
fFunctions,fNo,fByte2,bButtons,bFunctions,fNotes,Device Combiner,,kFunctions,kBoundDev,kBoundKey,kShift,b$Functions
num 0,041,0,0,00 - num 0,,Protocol ID,Fixed Data,,,,,
num 1,123,0,1,01 - num 1,,00 5A,00 FB FB,,,,,
num 2,117,0,2,02 - num 2,,,,,,,,
num 3,121,0,3,03 - num 3,,,,,,,,
num 4,058,0,4,04 - num 4,,,,,,,,
num 5,052,0,5,05 - num 5,,,,,,,,
num 6,056,0,6,06 - num 6,,,,,,,,
num 7,059,0,7,07 - num 7,,,,,,,,
num 8,053,0,8,08 - num 8,,,,,,,,
num 9,057,0,9,09 - num 9,,,,,,,,
vol up,042,0,vol up,10 - vol up,,,,,,,,
vol down,043,0,vol down,11 - vol down,,,,,,,,
mute,105,0,mute,12 - mute,,,,,,,,
zoom,055,0,channel up,,,,,,,,,
title,165,0,channel down,,,,,,,,,
power,054,0,power,15 - power,,,,,,,,
menu,167,0,enter,,DVD Menu,,,,,,,
setup,183,0,tv/vid,,System Setup Menu,,,,,,,
search,101,0,prev,,,,,,,,,
exit,055,0,menu,16 - menu,,,,,,,,
up arrow,164,0,guide,,,,,,,,,
down arrow,248,0,up arrow,20 - up arrow,,,,,,,,
left arrow,244,0,down arrow,21 - down arrow,,,,,,,,
right arrow,037,0,left arrow,22 - left arrow,,,,,,,,
select,228,0,right arrow,23 - right arrow,same as PLAY,,,,,,,
display,229,0,select,24 - select,,,,,,,,
subtitle,119,0,sleep,,,,,,,,,
angle,100,0,pip,,,,,,,,,
language,118,0,info,25 - display,,,,,,,,
play,228,0,swap,,,,,,,,,
pause,246,0,move,,,,,,,,,
rewind,251,0,play,29 - play,,,,,,,,
fast fwd,245,0,pause,30 - pause,,,,,,,,
stop,232,0,rewind,31 - rewind,,,,,,,,
slow,250,0,fwd,32 - fast fwd,,,,,,,,
f.fwd/next track,245,0 4,stop,33 - stop,holds FWD for 1 sec,,,,,,,
f.rew/prev track,251,0 4,record,42 - eject,holds RWD for 1 sec,,,,,,,
+10,040,0,exit,19 - exit,,,,,,,,
resume,182,0,surround,,exits DVD menu,,,,,,,
PBC,036,0,input,,Playback Control - program selected chapter,,,,,,,
repeat,249,0,+100,,"""1/All"" on original remote - cycle for repeat options",,,,,,,
repeat A-B,233,0,fav,,repeat between 2 intervals - set beginning & end w/ button - press to clear,,,,,,,
eject,247,0,device button,,,,,,,,,
program,104,0,f fwd,35 - f.fwd/next track,active only w/ PBC off,,,,,,,
3D,171,0,f rew,36 - f.rew/prev track,surround and EQ options,,,,,,,
vocal assist,170,0,shift-left,,"left, right, or stereo output",,,,,,,
video,122,0,shift-right,,video output modes,,,,,,,
NTSC/PAL,116,0,pip freeze,,,,,,,,,
TV Picture,120,0,slow,,Mild - Memory - Standard - Dynamic,,,,,,,
,,,eject,,,,,,,,,
,,,slow+,,,,,,,,,
,,,slow-,,,,,,,,,
,,,x2,,,,,,,,,
,,,center,,,,,,,,,
,,,rear,,,,,,,,,
,,,phantom1,,,,,,,,,
,,,phantom2,,,,,,,,,
,,,phantom3,,,,,,,,,
,,,phantom4,,,,,,,,,
,,,phantom5,,,,,,,,,
,,,phantom6,,,,,,,,,
,,,phantom7,,,,,,,,,
,,,phantom8,,,,,,,,,
,,,phantom9,,,,,,,,,
,,,phantom10,,,,,,,,,
,,,setup,,,,,,,,,
,,,light,,,,,,,,,
,,,home theater,,,,,,,,,
,,,M1,,,,,,,,,
,,,M2,,,,,,,,,
,,,M3,,,,,,,,,
,,,M4,,,,,,,,,
,,,L1,,,,,,,,,
,,,L2,,,,,,,,,
,,,L3,,,,,,,,,
,,,L4,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
