Name:,Coby 224 DVD Player,,,,v9.18,,,,,,,,CURRENT DATA
Devices:,NEC1,,,,,,,,,,,,
Manual:,,0 = 1-byte,LSB-COMP,88,NO,,,,,,,,
Setup:,0224,27 = URC-9910 / 8910 / UEI HTPro,06 - DVD,EFC,USE,00 FF FF,1,No,,,,,
URC-9910 / 8910 / UEI HTPro Device Upgrade/Key Move Code:,,,,,,,,,,,,,
Upgrade Code 0 = 20 E0 (DVD/0224) Coby 224 DVD Player (KM v9.18),,,,,,,,,,,,,
5A 00 FE FE FE FD 00 FF FF 55 47 07 4F 27 77 57 B7 65 EF 75 A7 85 3F BF D7 35 8F AF AF B5 AD 17 1F 87 E7 0F 9D DD 7D 67 5F 6F DD 15 9F FD 5D 7F,,,,,,,,,,,,,
KeyMoves,,,,,,,,,,,,,
 30 F3 20 E0 ED«+100»¦2B F3 20 E0 1D«setup»  ,,,,,,,,,,,,,
End,,,,,,,,,,,,,
Protocol Code:,,,,,,,,,,,,,
Upgrade Protocol 0 = 00 5A (S3C8+) NEC1 (KM v9.18),,,,,,,,,,,,,
43 8B 31 8B 12 CF 44 08 08 01 18 01 06 01 18 03 39 D2 DC 11 94 08 B6 20 01 08 03 37 04 15 F6 01 46 FB 10 37 0B 07 E4 05 04 60 05 8B 0E B6 04 80 B6 05 80 37 0B 05 E4 04 05 60 05 E4 06 07 60 07 20 11 37 06 05 F6 01 04 7B 12 37 09 15 37 02 06 F6 01 49 F6 01 46 37 01 03 46 29 0D 46 29 01 8D 01 49 E4 20 1E E4 21 1F 37 01 EB F6 01 49 E6 28 C1 60 04 E6 12 01 8B E4,,,,,,,,,,,,,
End,,,,,,,,,,,,,
Key Move Code:,,,198,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
fFunctions,fEFC,fByte2,bButtons,bFunctions,fNotes,Device Combiner,,kFunctions,kBoundDev,kBoundKey,kShift,b$Functions,bBtnCd
standby,116,,0,08 - num 0,,Protocol ID,Fixed Data,,,,,,1F
angle,106,,1,09 - num 1,,,,,,,,,15
osd (on screen display),169,,2,10 - num 2,,,,,,,,,16
title,057,,3,11 - num 3,,,,,,,,,17
subtitle,249,,4,12 - num 4,,,,,,,,,19
menu/pbc,122,,5,13 - num 5,,,,,,,,,1A
audio,101,,6,14 - num 6,,,,,,,,,1B
clear,039,,7,15 - num 7,,,,,,,,,1C
num 0,104,,8,16 - num 8,,,,,,,,,1D
num 1,248,,9,17 - num 9,,,,,,,,,1E
num 2,250,,vol up,26 - volume +,,,,,,,,,04
num 3,056,,vol down,27 - volume -,,,,,,,,,05
num 4,251,,mute,19 - mute,,,,,,,,,08
num 5,121,,channel up,22 - a-b,,,,,,,,,06
num 6,120,,channel down,25 - pscan,,,,,,,,,07
num 7,119,,power,00 - standby,,,,,,,,,03
num 8,233,,enter,32 - enter,,,,,,,,,18
num 9,053,,tv/vid,02 - osd (on screen display),,,,,,,,,20
+100,037,,prev,21 - repeat,,,,,,,,,38
mute,230,,menu,05 - menu/pbc,,,,,,,,,14
program,182,,guide,03 - title,,,,,,,,,36
repeat,184,,up arrow,28 - up arrow,,,,,,,,,31
a-b,187,,down arrow,29 - down arrow,,,,,,,,,32
setup,170,,left arrow,30 - left arrow,,,,,,,,,33
zoom,165,,right arrow,31 - right arrow,,,,,,,,,34
pscan,183,,select,32 - enter,,,,,,,,,35
volume +,105,,sleep,18 - +100,,,,,,,,,30
volume -,247,,pip,01 - angle,,,,,,,,,3A
up arrow,186,,info,04 - subtitle,,,,,,,,,13
down arrow,246,,swap,20 - program,,,,,,,,,3C
left arrow,245,,move,24 - zoom,,,,,,,,,3B
right arrow,058,,play,35 - play/pause,,,,,,,,,0C
enter,164,,pause,34 - step,,,,,,,,,0F
slow,055,,rewind,33 - slow,,,,,,,,,0B
step,054,,fwd,33 - slow,,,,,,,,,0D
play/pause,107,,stop,36 - stop,,,,,,,,,0E
stop,103,,record,07 - clear,,,,,,,,,10
previous chapter,185,,exit,39 - open/close,,,,,,,,,37
next chapter,168,,,,,,,,,,,,
open/close,166,,,,,,,,,,,,
,,,,18 - +100,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,f fwd,38 - next chapter,,,,,,,,,2A
,,,f rew,37 - previous chapter,,,,,,,,,29
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,phantom1,,,,,,,,,,3D
,,,phantom2,,,,,,,,,,3E
,,,phantom3,,,,,,,,,,3F
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,setup,,,,,,,,,,02
,,,light,,,,,,,,,,39
,,,home theater,,,,,,,,,,24
,,,M1,,,,,,,,,,2D
,,,M2,,,,,,,,,,2E
,,,M3,,,,,,,,,,2F
,,,,,,,,,,,,,
,,,L1,,,,,,,,,,25
,,,L2,,,,,,,,,,26
,,,L3,,,,,,,,,,27
,,,L4,,,,,,,,,,28
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,com/skip,23 - setup,,,,,,,,,2B
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,24 - zoom,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
