Name:,Daewoo P480 DVD,,,,v8.28,,,,,,,CURRENT DATA
Devices:,NEC1,4,,,,,,,,,,
Manual:,,0 = 1-byte,LSB-COMP,88,NO,,,,,,,
Setup:,2004,99 = 15-2117 / 15-2116,06 - DVD,OBC,USE,00 DF DF,1,,,,,
15-2117 / 15-2116 Device Upgrade/Key Move Code:,,,,,,,,,,,,
Upgrade Code 0 = 27 D4 (DVD/2004) Daewoo P480 DVD (KM v8.28),,,,,,,,,,,,
5A 00 FE FE FD 00 DF DF A7 77 8F 0F 57 B7 37 67 97 17 C7 EF 7D AF E5 CF 5F 6F 6D BF 4D 2F D5 45 65 C5 47 B5 D7 75 07 7F,,,,,,,,,,,,
KeyMoves,,,,,,,,,,,,
 38 F3 27 D4 1F«last/prev ch: Repeat»  ¦25 F3 27 D4 F7«pip on/off: Subtitles» ¦27 F3 27 D4 DF«pip swap: Zoom»  ¦26 F3 27 D4 E7«pip move: Angle» ¦10 F3 27 D4 4F«record: Open/Close» ¦28 F3 27 D4 F5«pip freeze: Slow»,,,,,,,,,,,,
End,,,,,,,,,,,,
Protocol Code:,,,,,,,,,,,,
Upgrade Protocol 0 = 00 5A (S3C8+) NEC1 (KM v8.28),,,,,,,,,,,,
43 8B 31 8B 12 CF 44 08 08 01 18 01 06 01 18 03 39 D2 DC 11 94 08 B6 20 01 08 03 37 04 15 F6 01 46 FB 10 37 0B 07 E4 05 04 60 05 8B 0E B6 04 80 B6 05 80 37 0B 05 E4 04 05 60 05 E4 06 07 60 07 20 11 37 06 05 F6 01 04 7B 12 37 09 15 37 02 06 F6 01 49 F6 01 46 37 01 03 46 29 0D 46 29 01 8D 01 49 E4 20 1E E4 21 1F 37 01 EB F6 01 49 E6 28 C1 60 04 E6 12 01 8B E4,,,,,,,,,,,,
End,,,,,,,,,,,,
Key Move Code:,,,205,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
fFunctions,fOBC,fByte2,bButtons,bFunctions,fNotes,Device Combiner,,kFunctions,kBoundDev,kBoundKey,kShift,b$Functions
num 0,026,,0,00 - num 0,,Protocol ID,Fixed Data,,,,,
num 1,017,,1,01 - num 1,,,,,,,,
num 2,014,,2,02 - num 2,,,,,,,,
num 3,015,,3,03 - num 3,,,,,,,,
num 4,021,,4,04 - num 4,,,,,,,,
num 5,018,,5,05 - num 5,,,,,,,,
num 6,019,,6,06 - num 6,,,,,,,,
num 7,025,,7,07 - num 7,,,,,,,,
num 8,022,,8,08 - num 8,,,,,,,,
num 9,023,,9,09 - num 9,,,,,,,,
vol up,028,,vol up,10 - vol up,,,,,,,,
vol down,008,,vol down,11 - vol down,,,,,,,,
mute,065,,mute,12 - mute,,,,,,,,
channel up,,,channel up,34 - f.fwd/next track,,,,,,,,
channel down,,,channel down,35 - f.rew/prev track,,,,,,,,
power,012,,power,15 - power,,,,,,,,
menu,011,,enter,25 - enter,,,,,,,,
program/guide,082,,tv/video,26 - tv/vcr,Display,,,,,,,
display/info,020,,last,27 - last/prev ch,Audio,,,,,,,
exit,081,,menu,16 - menu,Clear,,,,,,,
up arrow,084,,guide,17 - program/guide,,,,,,,,
down arrow,093,,up arrow,20 - up arrow,,,,,,,,
left arrow,089,,down arrow,21 - down arrow,,,,,,,,
right arrow,092,,left arrow,22 - left arrow,,,,,,,,
select,029,,right arrow,23 - right arrow,Select/Play,,,,,,,
enter,031,,select,24 - select,Setup,,,,,,,
tv/vcr,001,,sleep,,TV Mode,,,,,,,
last/prev ch,007,,pip,36 - pip on/off,Repeat,,,,,,,
sleep,,,info,18 - display/info,,,,,,,,
play,005,,swap,37 - pip swap,Resume,,,,,,,
pause,077,,move,38 - pip move,Pause/Step,,,,,,,
rewind,073,,play,28 - play,,,,,,,,
fast fwd,002,,pause,29 - pause,,,,,,,,
stop,009,,rewind,30 - rewind,,,,,,,,
record,013,,fast fwd,31 - fast fwd,Open/Close,,,,,,,
f.fwd/next track,010,,stop,32 - stop,,,,,,,,
f.rew/prev track,088,,record,33 - record,,,,,,,,
+100,,,exit,19 - exit,,,,,,,,
pip on/off,016,,surround,,Subtitles,,,,,,,
