Name:,memorex dvd recorder MVDR2102,,,,v8.28,,,,,,,CURRENT DATA
Devices:,NEC1,1,,,,,,,,,,
Manual:,,0 = 1-byte,LSB-COMP,88,NO,,,,,,,
Setup:,1711,27 = URC-9910 / 8910 / UEI HTPro,06 - DVD,EFC,USE,00 7F 7F,1,,,,,
URC-9910 / 8910 / UEI HTPro Device Upgrade/Key Move Code:,,,,,,,,,,,,
Upgrade Code 0 = 26 AF (DVD/1711) memorex dvd recorder MVDR2102 (KM v8.28),,,,,,,,,,,,
5A 00 FE FE BA 7D 00 7F 7F CE 7E 3E 7C BE FE FC 4E 0E 4C DC 9E B6 0C 8E 16 2E 14 6E 2C 6C D4 9C 74 F4 F6 B4 36 DE 56 AE 76 96 D6 EC EE,,,,,,,,,,,,
KeyMoves,,,,,,,,,,,,
 30 F3 26 AF 1C«open/close»¦25 F3 26 AF BC«zoom»¦26 F3 26 AF 94«angle»  ¦27 F3 26 AF 8C«digest» ¦28 F3 26 AF 1E«bookmark»  ¦83 F3 26 AF 5C«power»  ,,,,,,,,,,,,
End,,,,,,,,,,,,
Protocol Code:,,,,,,,,,,,,
Upgrade Protocol 0 = 00 5A (S3C8+) NEC1 (KM v8.28),,,,,,,,,,,,
43 8B 31 8B 12 CF 44 08 08 01 18 01 06 01 18 03 39 D2 DC 11 94 08 B6 20 01 08 03 37 04 15 F6 01 46 FB 10 37 0B 07 E4 05 04 60 05 8B 0E B6 04 80 B6 05 80 37 0B 05 E4 04 05 60 05 E4 06 07 60 07 20 11 37 06 05 F6 01 04 7B 12 37 09 15 37 02 06 F6 01 49 F6 01 46 37 01 03 46 29 0D 46 29 01 8D 01 49 E4 20 1E E4 21 1F 37 01 EB F6 01 49 E6 28 C1 60 04 E6 12 01 8B E4,,,,,,,,,,,,
End,,,,,,,,,,,,
Key Move Code:,,,198,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
fFunctions,fEFC,fByte2,bButtons,bFunctions,fNotes,Device Combiner,,kFunctions,kBoundDev,kBoundKey,kShift,b$Functions
num 0,060,,0,00 - num 0,,Protocol ID,Fixed Data,,,,,
num 1,193,,1,01 - num 1,,,,,,,,
num 2,195,,2,02 - num 2,,,,,,,,
num 3,177,,3,03 - num 3,,,,,,,,
num 4,191,,4,04 - num 4,,,,,,,,
num 5,189,,5,05 - num 5,,,,,,,,
num 6,173,,6,06 - num 6,,,,,,,,
num 7,064,,7,07 - num 7,,,,,,,,
num 8,066,,8,08 - num 8,,,,,,,,
num 9,048,,9,09 - num 9,,,,,,,,
repeat,044,,vol up,19 - MTS/audio,,,,,,,,
A-B,192,,vol down,47 - subtitle,,,,,,,,
mute,127,,mute,12 - mute,,,,,,,,
channel up,050,,channel up,13 - channel up,,,,,,,,
channel down,062,,channel down,14 - channel down,,,,,,,,
power,176,,power,38 - timer mode,,,,,,,,15 - power
menu,174,,enter,,,,,,,,,
program,179,,tv/vid,24 - PBC/title,,,,,,,,
display/info,128,,prev,,,,,,,,,
MTS/audio,172,,menu,16 - menu,,,,,,,,
up arrow,113,,guide,28 - setup,,,,,,,,
down arrow,109,,up arrow,20 - up arrow,,,,,,,,
left arrow,125,,down arrow,21 - down arrow,,,,,,,,
right arrow,111,,left arrow,22 - left arrow,,,,,,,,
PBC/title,188,,right arrow,23 - right arrow,,,,,,,,
enter,131,,select,25 - enter,,,,,,,,
disc edit,047,,sleep,39 - open/close,,,,,,,,
disc oper,115,,pip,40 - I/P interlace progress,,,,,,,,
setup,063,,info,18 - display/info,,,,,,,,
play,067,,swap,41 - source,,,,,,,,
pause,114,,move,37 - hq/slp speed,,,,,,,,
reverse,065,,play,29 - play,,,,,,,,
fast fwd,051,,pause,30 - pause,,,,,,,,
stop,049,,rewind,31 - reverse,,,,,,,,
record,108,,fwd,32 - fast fwd,,,,,,,,
f/next track,045,,stop,33 - stop,,,,,,,,
f./prev track,061,,record,34 - record,,,,,,,,
hq/slp speed,124,,exit,,,,,,,,,
timer mode,130,,surround,,,,,,,,,
open/close,178,,input,,,,,,,,,
I/P interlace progress,129,,+100,,,,,,,,,
source,126,,fav/scan,,,,,,,,,
timer progr,112,,device button,,,,,,,,,
zoom,175,,f fwd,35 - f/next track,,,,,,,,
digest,046,,f rew,36 - f./prev track,,,,,,,,
bookmark,194,,com/skip,,,,,,,,,
angle,110,,shift-right,,,,,,,,,
subtitle,190,,pip freeze,,,,,,,,,
,,,slow,,,,,,,,,
