Name:,Prima DVD,,,,v8.29,,,,,,,CURRENT DATA
Devices:,RC-5,0,,,,,,,,,,
Manual:,,0 = 1-byte,LSB-COMP,86,NO,,,,,,,
Setup:,1016,99 = URC-6131 PVR,06 - DVD,EFC,USE,1F 1F 1F,1,,,,,
URC-6131 PVR Device Upgrade Code:,,,,,,,,,,,,
Upgrade Code 0 = 23 F8 (DVD/1016) Prima DVD (KM v8.29),,,,,,,,,,,,
E8 05 7E FE FE FE F9 1F 1F 1F BC B8 C8 7C 78 CC 38 8C 88 A4 90 B4 00 C0 3C 94 60 5C 6C 68 A8 70 74 40 D4 A4 88 AC 48 44 4C 98 54 1C 64,,,,,,,,,,,,
End,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
Protocol Code:,,,,,,,,,,,,
Upgrade Protocol 0 = 00 E8 (S3C8+) RC-5 (KM v8.29),,,,,,,,,,,,
40 9A 31 8B 0F C5 81 10 08 06 01 C2 01 A4 01 C2 01 A4 DE 2C 08 06 56 C0 03 09 01 76 00 01 6B 09 87 10 03 B6 C1 20 97 10 03 8D 01 46,,,,,,,,,,,,
End,,,,,,,,,,,,
Key Move Code:,,,226,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
fFunctions,fEFC,fByte2,bButtons,bFunctions,fNotes,Device Combiner,,kFunctions,kBoundDev,kBoundKey,kShift,b$Functions
0,173,,0,00 - 0,,Protocol ID,Fixed Data,,,,,
1,205,,1,01 - 1,,,,,,,,
2,109,,2,02 - 2,,,,,,,,
3,141,,3,03 - 3,,,,,,,,
4,045,,4,04 - 4,,,,,,,,
5,077,,5,05 - 5,,,,,,,,
6,237,,6,06 - 6,,,,,,,,
7,013,,7,07 - 7,,,,,,,,
8,172,,8,08 - 8,,,,,,,,
9,204,,9,09 - 9,,,,,,,,
10,108,,vol up,42 - VOL+ / TV right,,,,,,,,
Angle,240,,vol down,41 - VOL - / TV left,,,,,,,,
Audio,080,,mute,24 - mute,,,,,,,,
CH- / TV down,209,,channel up,14 - CH+ / TV up,,,,,,,,
CH+ / TV up,177,,channel down,13 - CH- / TV down,,,,,,,,
Display,012,,power,28 - power,,,,,,,,
DVD Menu,179,,enter,10 - 10,,,,,,,,
Enter,145,,tv/vid,40 - TV/DVD,,,,,,,,
Forward / Next,239,,prev,19 - Last CH / Zoom,,,,,,,,
Last CH / Zoom,113,,menu,16 - DVD Menu,,,,,,,,
Menu Down,176,,guide,39 - TV Menu,,,,,,,,
Menu Left,049,,up arrow,23 - Menu Up,,,,,,,,
