Name:,BBK DVD player Device Upgrade,,,,v8.31,,,,,,,CURRENT DATA
Devices:,NEC1,73,,,,,,,,,,
Manual:,,0 = 1-byte,LSB-COMP,88,NO,,,,,,,
Setup:,1444,27 = URC-9910 / 8910 / UEI HTPro,06 - DVD,EFC,USE,00 6D 6D,1,,,,,
URC-9910 / 8910 / UEI HTPro Device Upgrade Code:,,,,,,,,,,,,
Upgrade Code 0 = 25 A4 (DVD/1444) BBK DVD player Device Upgrade (KM v8.31),,,,,,,,,,,,
5A 00 DE DE A8 0D 00 6D 6D CD 3D 97 95 BD D5 55 3F 4D 8D 8F F7 15 1F 5F 7F 6F 4F 57 9F 37 FD 2F DD 17 5D BF 77,,,,,,,,,,,,
End,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
Protocol Code:,,,,,,,,,,,,
Upgrade Protocol 0 = 00 5A (S3C8+) NEC1 (KM v8.31),,,,,,,,,,,,
43 8B 31 8B 12 CF 44 08 08 01 18 01 06 01 18 03 39 D2 DC 11 94 08 B6 20 01 08 03 37 04 15 F6 01 46 FB 10 37 0B 07 E4 05 04 60 05 8B 0E B6 04 80 B6 05 80 37 0B 05 E4 04 05 60 05 E4 06 07 60 07 20 11 37 06 05 F6 01 04 7B 12 37 09 15 37 02 06 F6 01 49 F6 01 46 37 01 03 46 29 0D 46 29 01 8D 01 49 E4 20 1E E4 21 1F 37 01 EB F6 01 49 E6 28 C1 60 04 E6 12 01 8B E4,,,,,,,,,,,,
End,,,,,,,,,,,,
Key Move Code:,,,198,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
fFunctions,fEFC,fByte2,bButtons,bFunctions,fNotes,Device Combiner,,kFunctions,kBoundDev,kBoundKey,kShift,b$Functions
num 0,036,,0,00 - num 0,,Protocol ID,Fixed Data,,,,,
num 1,171,,1,01 - num 1,,,,,,,,
num 2,118,,2,02 - num 2,,,,,,,,
num 3,102,,3,03 - num 3,,,,,,,,
num 4,167,,4,04 - num 4,,,,,,,,
num 5,100,,5,05 - num 5,,,,,,,,
num 6,104,,6,06 - num 6,,,,,,,,
num 7,187,,7,07 - num 7,,,,,,,,
num 8,040,,8,08 - num 8,,,,,,,,
num 9,038,,9,09 - num 9,,,,,,,,
vol up,054,,vol up,10 - vol up,,,,,,,,
vol down,117,,vol down,11 - vol down,,,,,,,,
mute,106,,mute,12 - mute,,,,,,,,
channel up,,,channel up,,,,,,,,,
channel down,,,channel down,,,,,,,,,
power,186,,power,13 - power,,,,,,,,
menu,182,,enter,,,,,,,,,
program/guide,,,tv/vid,,,,,,,,,
display/info,,,prev,,,,,,,,,
exit,,,menu,14 - menu,,,,,,,,
up arrow,123,,guide,,,,,,,,,
down arrow,165,,up arrow,15 - up arrow,,,,,,,,
left arrow,059,,down arrow,16 - down arrow,,,,,,,,
right arrow,164,,left arrow,17 - left arrow,,,,,,,,
select,122,,right arrow,18 - right arrow,,,,,,,,
enter,,,select,19 - select,,,,,,,,
tv/vcr,,,sleep,,,,,,,,,
last/prev ch,,,pip,,,,,,,,,
sleep,,,info,27 - OSD,,,,,,,,
play,184,,swap,,,,,,,,,
pause,185,,move,,,,,,,,,
rewind,057,,play,20 - play,,,,,,,,
fast fwd,056,,pause,21 - pause,,,,,,,,
stop,120,,rewind,22 - rewind,,,,,,,,
record,,,fwd,23 - fast fwd,,,,,,,,
f.fwd/next track,183,,stop,24 - stop,,,,,,,,
f.rew/prev track,121,,record,,,,,,,,,
+100,,,exit,,,,,,,,,
pip on/off,,,surround,,,,,,,,,
pip swap,,,input,,,,,,,,,
pip move,,,+100,,,,,,,,,
pip freeze,,,fav/scan,,,,,,,,,
OSD,168,,device button,,,,,,,,,
subtitle,166,,f fwd,25 - f.fwd/next track,,,,,,,,
eject,170,,f rew,26 - f.rew/prev track,,,,,,,,
goto,107,,com/skip,,,,,,,,,
audio,105,,shift-right,,,,,,,,,
angle,103,,pip freeze,,,,,,,,,
title,101,,slow,,,,,,,,,
setup,119,,eject,,,,,,,,,
digest,039,,slow+,,,,,,,,,
+10,169,,slow-,,,,,,,,,
resume,042,,x2,,,,,,,,,
p/n,041,,center,,,,,,,,,
zoom,043,,rear,,,,,,,,,
slow,053,,phantom1,,,,,,,,,
a-b,249,,phantom2,,,,,,,,,
repeat,245,,phantom3,,,,,,,,,
return,058,,phantom4,,,,,,,,,
key 'flat',181,,phantom5,,,,,,,,,
key 'sharp (#)',180,,phantom6,,,,,,,,,
,,,phantom7,,,,,,,,,
,,,phantom8,,,,,,,,,
,,,phantom9,,,,,,,,,
,,,phantom10,,,,,,,,,
,,,setup,,,,,,,,,
,,,light,,,,,,,,,
,,,home theater,,,,,,,,,
,,,M1,,,,,,,,,
,,,M2,,,,,,,,,
,,,M3,,,,,,,,,
,,,macro4,,,,,,,,,
,,,L1,,,,,,,,,
,,,L2,,,,,,,,,
,,,L3,,,,,,,,,
,,,L4,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
