Name:,buffalo keys,,,,v8.32,,,,,,,CURRENT DATA
Devices:,NEC1,85,234,,,,,,,,,
Manual:,,0 = 1-byte,LSB-COMP,88,NO,,,,,,,
Setup:,1357,24 = URC-881x / 801x / 601x,06 - DVD,OBC,USE,20 55 A8,1,,,,,
URC-881x / 801x / 601x Device Upgrade Code:,,,,,,,,,,,,
Upgrade Code 0 = 15 4D (DVD/1357) buffalo keys (KM v8.32),,,,,,,,,,,,
5A 00 FE FE FE E1 20 55 A8 AD FD 7D BD 3D DD 5D 9D 1D ED 00 00 87 3F 9F FF 57 55 75 67 97 7F 8F 6F 6D F5 17 D5 4F D7 95 A7 15 5F 35 B5,,,,,,,,,,,,
End,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
Protocol Code:,,,,,,,,,,,,
Upgrade Protocol 0 = 00 5A (S3C8+) NEC1 (KM v8.32),,,,,,,,,,,,
43 8B 31 8B 12 CF 44 08 08 01 18 01 06 01 18 03 39 D2 DC 11 94 08 B6 20 01 08 03 37 04 15 F6 01 46 FB 10 37 0B 07 E4 05 04 60 05 8B 0E B6 04 80 B6 05 80 37 0B 05 E4 04 05 60 05 E4 06 07 60 07 20 11 37 06 05 F6 01 04 7B 12 37 09 15 37 02 06 F6 01 49 F6 01 46 37 01 03 46 29 0D 46 29 01 8D 01 49 E4 20 1E E4 21 1F 37 01 EB F6 01 49 E6 28 C1 60 04 E6 12 01 8B E4,,,,,,,,,,,,
End,,,,,,,,,,,,
Key Move Code:,,,220,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
fFunctions,fOBC,fByte2,bButtons,bFunctions,fNotes,Device Combiner,,kFunctions,kBoundDev,kBoundKey,kShift,b$Functions
num 0,074,,0,00 - num 0,,Protocol ID,Fixed Data,,,,,
num 1,064,,1,01 - num 1,,,,,,,,
num 2,065,,2,02 - num 2,,,,,,,,
num 3,066,,3,03 - num 3,,,,,,,,
num 4,067,,4,04 - num 4,,,,,,,,
num 5,068,,5,05 - num 5,,,,,,,,
num 6,069,,6,06 - num 6,,,,,,,,
num 7,070,,7,07 - num 7,,,,,,,,
num 8,071,,8,08 - num 8,,,,,,,,
num 9,072,,9,09 - num 9,,,,,,,,
vol up,,,vol up,,,,,,,,,
vol down,,,vol down,,,,,,,,,
mute,030,,mute,10 - mute,,,,,,,,
channel up,003,,channel up,11 - channel up,subtitle,,,,,,,
channel down,006,,channel down,12 - channel down,audio,,,,,,,
power,000,,power,13 - power,,,,,,,,
menu,001,,enter,23 - enter,,,,,,,,
program/guide,025,,tv/vid,24 - tv/vcr,HOME,,,,,,,
display/info,086,,prev,25 - last/prev ch,,,,,,,,
exit,085,,menu,14 - menu,return,,,,,,,
up arrow,020,,guide,15 - program/guide,,,,,,,,
down arrow,021,,up arrow,18 - up arrow,,,,,,,,
left arrow,022,,down arrow,19 - down arrow,,,,,,,,
right arrow,023,,left arrow,20 - left arrow,,,,,,,,
select,084,,right arrow,21 - right arrow,,,,,,,,
enter,026,,select,22 - select,setup,,,,,,,
tv/vcr,005,,sleep,,zoom,,,,,,,
last/prev ch,087,,pip,,refresh,,,,,,,
sleep,,,info,16 - display/info,,,,,,,,
play,009,,swap,,,,,,,,,
pause,014,,move,,,,,,,,,
rewind,080,,play,26 - play,,,,,,,,
fast fwd,081,,pause,27 - pause,,,,,,,,
stop,013,,rewind,28 - rewind,,,,,,,,
record,073,,fwd,29 - fast fwd,slow,,,,,,,
f.fwd/next track,083,,stop,30 - stop,,,,,,,,
f.rew/prev track,082,,record,31 - record,,,,,,,,
+100,,,exit,17 - exit,,,,,,,,
pip on/off,,,surround,,,,,,,,,
pip swap,,,input,,,,,,,,,
pip move,,,+100,,,,,,,,,
pip freeze,,,fav,,,,,,,,,
,,,device button,,,,,,,,,
,,,f fwd,32 - f.fwd/next track,,,,,,,,
,,,f rew,33 - f.rew/prev track,,,,,,,,
,,,shift-left,,,,,,,,,
,,,shift-right,,,,,,,,,
,,,pip freeze,,,,,,,,,
,,,slow,,,,,,,,,
,,,eject,,,,,,,,,
,,,slow+,,,,,,,,,
,,,slow-,,,,,,,,,
,,,x2,,,,,,,,,
,,,center,,,,,,,,,
,,,rear,,,,,,,,,
,,,phantom1,,,,,,,,,
,,,phantom2,,,,,,,,,
,,,phantom3,,,,,,,,,
,,,phantom4,,,,,,,,,
,,,phantom5,,,,,,,,,
,,,phantom6,,,,,,,,,
,,,phantom7,,,,,,,,,
,,,phantom8,,,,,,,,,
,,,phantom9,,,,,,,,,
,,,phantom10,,,,,,,,,
,,,setup,,,,,,,,,
,,,light,,,,,,,,,
,,,home theater,,,,,,,,,
,,,M1,,,,,,,,,
,,,M2,,,,,,,,,
,,,M3,,,,,,,,,
,,,M4,,,,,,,,,
,,,L1,,,,,,,,,
,,,L2,,,,,,,,,
,,,L3,,,,,,,,,
,,,L4,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
