Name:,DVD -288 Yamakawa,,,,v8.22,,,,,,,CURRENT DATA
Devices:,NEC1,32,,,,,,,,,,
Manual:,,0 = 1-byte,LSB-COMP,88,NO,,,,,,,
Setup:,0857,02 = URC-7800 / 6800,06 - DVD,OBC,USE,00 FB FB,1,,,,,
URC-7800 / 6800 Device Upgrade/Key Move Code:,,,,,,,,,,,,
Upgrade Code 0 = 23 59 (DVD/0857) DVD -288 Yamakawa (KM v8.22),,,,,,,,,,,,
5A 00 DE FE 7E F1 00 FB FB 6D 37 F7 77 0F CF 4F 2F EF 6F 55 57 3F 8F 27 C5 E7 75 45 17 D7 AF CD 9F C5 E5 A7 FD D5 7D DD 47 C7 ED,,,,,,,,,,,,
KeyMoves,,,,,,,,,,,,
 18 F3 23 59 F5«search» ¦2C F3 23 59 4D«+100»¦02 F3 23 59 BF«setup»  ¦2F F3 23 59 B7«subtitle»  ¦30 F3 23 59 97«language»  ¦35 F3 23 59 87«zoom»¦36 F3 23 59 07«slow-»  ,,,,,,,,,,,,
End,,,,,,,,,,,,
Protocol Code:,,,,,,,,,,,,
Upgrade Protocol 0 = 00 5A (S3C8) NEC1 (KM v8.22),,,,,,,,,,,,
43 8B 31 8B 12 CF 44 08 08 01 18 01 06 01 18 03 39 D2 DC 11 94 08 B6 20 01 08 03 37 04 15 F6 01 33 FB 10 37 0B 07 E4 05 04 60 05 8B 0E B6 04 80 B6 05 80 37 0B 05 E4 04 05 60 05 E4 06 07 60 07 20 11 37 06 05 F6 01 04 7B 12 37 09 15 37 02 06 F6 01 36 F6 01 33 37 01 03 46 29 0D 46 29 01 8D 01 36 E4 20 1E E4 21 1F 37 01 EB F6 01 36 E6 28 C1 60 04 E6 12 01 8B E4,,,,,,,,,,,,
End,,,,,,,,,,,,
Key Move Code:,,,230,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
fFunctions,fOBC,fByte2,bButtons,bFunctions,fNotes,Device Combiner,,kFunctions,kBoundDev,kBoundKey,kShift,b$Functions
num 0,073,,0,00 - num 0,,Protocol ID,Fixed Data,,,,,
num 1,019,,1,01 - num 1,,,,,,,,
num 2,016,,2,02 - num 2,,,,,,,,
num 3,017,,3,03 - num 3,,,,,,,,
num 4,015,,4,04 - num 4,,,,,,,,
num 5,012,,5,05 - num 5,,,,,,,,
num 6,013,,6,06 - num 6,,,,,,,,
num 7,011,,7,07 - num 7,,,,,,,,
num 8,008,,8,08 - num 8,,,,,,,,
num 9,009,,9,09 - num 9,,,,,,,,
vol up,085,,vol up,10 - vol up,,,,,,,,
vol down,021,,vol down,11 - vol down,,,,,,,,
mute,003,,mute,12 - mute,,,,,,,,
channel up,,,channel up,,,,,,,,,
channel down,,,channel down,,,,,,,,,
power,014,,power,13 - power,,,,,,,,
enter,,,enter,41 - 1/all,,,,,,,,
PBC,076,,tv/vcr,14 - PBC,,,,,,,,
nothing,,,prev ch,37 - resume,,,,,,,,
menu,006,,menu,15 - menu,,,,,,,,
program guide,,,prog/guide,22 - program,,,,,,,,
up arrow,068,,up arrow,16 - up arrow,,,,,,,,
down arrow,029,,down arrow,17 - down arrow,,,,,,,,
left arrow,028,,left arrow,18 - left arrow,,,,,,,,
right arrow,072,,right arrow,19 - right arrow,,,,,,,,
select,092,,select,20 - select,,,,,,,,
sleep,,,sleep,30 - search,,,,,,,,
pip on/off,,,pip on/off,35 - title,,,,,,,,
display,088,,display,21 - display,,,,,,,,
pip swap,,,pip swap,31 - +100,,,,,,,,
program,065,,pip move,32 - angle,,,,,,,,
play,092,,play,23 - play,,,,,,,,
pause,093,,pause,24 - pause,,,,,,,,
rewind,027,,rewind,25 - rewind,,,,,,,,
fast fwd,024,,fast fwd,26 - fast fwd,,,,,,,,
stop,081,,stop,27 - stop,,,,,,,,
record,,,record,42 - a-b,,,,,,,,
exit or eject,026,,exit,28 - exit or eject,,,,,,,,
subtitle,018,,surround,,,,,,,,,
search,080,,input,,,,,resume,,,,
+100,077,,+100,,,,,,,,,
angle,084,,fav/scan,,,,,,,,,
language,022,,device button,,,,,,,,,
next track,,,next track,,,,,,,,,
prev track,,,prev track,,,,,,,,,
setup,002,,shift-left,,,,,,,,,
title,064,,shift-right,,,,,,,,,
skip,,,pip freeze,,,,,,,,,
zoom,030,,slow,,,,,,,,,
resume,010,,eject,,,,,,,,,
slow-,031,,slow+,,,,,,,,,
jump prev,025,,slow-,,,,,,,,,
jump next,089,,x2,,,,,,,,,
1/all,020,,center,,,,,,,,,
a-b,023,,rear,,,,,,,,,
,,,phantom1,,,,,,,,,
,,,phantom2,,,,,,,,,
,,,phantom3,,,,,,,,,
,,,phantom4,,,,,,,,,
,,,discreteON,,,,,,,,,
,,,discreteOFF,,,,,,,,,
,,,phantom7,,,,,,,,,
,,,phantom8,,,,,,,,,
,,,phantom9,,,,,,,,,
