Name:,AMW-v101,,,,v7.53,,,,,,,CURRENT DATA
Devices:,NEC1,32,,,,,,,,,,
Manual:,,0 = 1-byte,LSB-COMP,88,NO,,,,,,,
Setup:,1500,01 = 15-1994,06 - DVD,EFC,USE,,,,,,,
15-1994 Device Upgrade/Key Move Code:,,,,,,,,,,,,
Upgrade Code 0 = 25 DC (DVD/1500),,,,,,,,,,,,
5A 00 FA FE 7E F9 00 FB FB 4D 37 F7 77 0F CF 4F 2F EF 6F 55 57 75 E7 27 8F F5 9F BD BF DD 47 C7 ED C5 97 E5 FD B7 C5 87 67 65 45 4D AF,,,,,,,,,,,,
KeyMoves,,,,,,,,,,,,
 30 F3 25 DC A7,,,,,,,,,,,,
End,,,,,,,,,,,,
Protocol Code:,,,,,,,,,,,,
Upgrade Protocol 0 = 00 5A (S3C8),,,,,,,,,,,,
43 8B 31 8B 12 CF 44 08 08 01 18 01 06 01 18 03 39 D2 DC 11 94 08 B6 20 01 08 03 37 04 15 F6 01 33 FB 10 37 0B 07 E4 05 04 60 05 8B 0E B6 04 80 B6 05 80 37 0B 05 E4 04 05 60 05 E4 06 07 60 07 20 11 37 06 05 F6 01 04 7B 12 37 09 15 37 02 06 F6 01 36 F6 01 33 37 01 03 46 29 0D 46 29 01 8D 01 36 E4 20 1E E4 21 1F 37 01 EB F6 01 36 E6 28 C1 60 04 E6 12 01 8B E4,,,,,,,,,,,,
End,,,,,,,,,,,,
Key Move Code:,,,229,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
fFunctions,fEFC,fByte2,bButtons,bFunctions,fNotes,Device Combiner,,kFunctions,kBoundDev,kBoundKey,kShift,b$Functions
num 0,040,,0,00 - num 0,,Protocol ID,Fixed Data,,,,,
num 1,123,,1,01 - num 1,,,,,,,,
num 2,117,,2,02 - num 2,,,,,,,,
num 3,121,,3,03 - num 3,,,,,,,,
num 4,058,,4,04 - num 4,,,,,,,,
num 5,052,,5,05 - num 5,,,,,,,,
num 6,056,,6,06 - num 6,,,,,,,,
num 7,059,,7,07 - num 7,,,,,,,,
num 8,053,,8,08 - num 8,,,,,,,,
num 9,057,,9,09 - num 9,,,,,,,,
vol up,104,,vol up,10 - vol up,,,,,,,,
vol down,120,,vol down,11 - vol down,,,,,,,,
mute,105,,mute,12 - mute,,,,,,,,
channel up,245,,channel up,37 - next track,,,,,,,,
channel down,251,,channel down,38 - prev track,,,,,,,,
power,054,,power,15 - power,,,,,,,,
enter,228,,enter,36 - fav/scan,,,,,,,,
tv/vcr,,,tv/vcr,,,,,,,,,
last (prev ch),182,,last,17 - last (prev ch),,,,,,,,
menu,167,,menu,18 - menu,,,,,,,,
program guide,183,,program / guide,19 - program guide,,,,,,,,
up arrow,164,,up arrow,20 - up arrow,,,,,,,,
down arrow,248,,down arrow,21 - down arrow,,,,,,,,
left arrow,244,,left arrow,22 - left arrow,,,,,,,,
right arrow,037,,right arrow,23 - right arrow,,,,,,,,
select,228,,select,24 - select,,,,,,,,
sleep,,,sleep,,,,,,,,,
pip on/off,118,,pip,25 - pip on/off,,,,,,,,
display,229,,display,26 - display,,,,,,,,
pip swap,165,,swap,27 - pip swap,,,,,,,,
pip move,119,,move,28 - pip move,,,,,,,,
play,228,,play,29 - play,,,,,,,,
pause,246,,pause,30 - pause,,,,,,,,
rewind,249,,rewind,31 - rewind,,,,,,,,
fast fwd,233,,fast fwd,32 - fast fwd,,,,,,,,
stop,232,,stop,33 - stop,,,,,,,,
record,040,,record,34 - record,,,,,,,,
exit,055,,exit,35 - exit,,,,,,,,
surround,,,surround,39 - eject,,,,,,,,
input toggle,,,input,,,,,,,,,
+100,,,+100,,,,,,,,,
fav/scan,101,,fav/scan,,,,,,,,,
device button,,,device button,,,,,,,,,
next track,245,,next track,,,,,,,,,
prev track,251,,prev track,,,,,,,,,
shift-left,,,shift-left,,,,,,,,,
shift-right,,,shift-right,,,,,,,,,
pip freeze,,,pip freeze,,,,,,,,,
slow,,,slow,,,,,,,,,
eject,247,,eject,,,,,,,,,
slow+,,,slow+,,,,,,,,,
slow-,,,slow-,,,,,,,,,
x2,,,x2,,,,,,,,,
center,,,center,,,,,,,,,
rear,,,rear,,,,,,,,,
,,,phantom1,,,,,,,,,
,,,phantom2,,,,,,,,,
,,,phantom3,,,,,,,,,
,,,phantom4,,,,,,,,,
,,,discreteON,,,,,,,,,
,,,discreteOFF,,,,,,,,,
,,,phantom7,,,,,,,,,
,,,phantom8,,,,,,,,,
,,,phantom9,,,,,,,,,
,,,phantom10,,,,,,,,,
,,,setup,,,,,,,,,
,,,light,,,,,,,,,
,,,theater,,,,,,,,,
,,,macro1,,,,,,,,,
,,,macro2,,,,,,,,,
,,,macro3,,,,,,,,,
,,,macro4,,,,,,,,,
,,,1s,,,,,,,,,
,,,2s,,,,,,,,,
,,,3s,,,,,,,,,
