Name:,Pioneer DV-F727,,,,v7.58,,,,,,,CURRENT DATA
Devices:,Pioneer DVD,,,,,,,,,,,
Manual:,,0 = 1-byte,LSB-COMP,88,NO,,,,,,,
Setup:,1010,24 = URC-881x / 801x / 601x,06 - DVD,EFC,USE,,,,,,,
URC-881x / 801x / 601x Device Upgrade Code:,,,,,,,,,,,,
Upgrade Code 0 = 1B F2 (DVD/1010),,,,,,,,,,,,
7E 00 FE FA FA 61 3A 66 0A FA 7A BA 3A DA 5A 9A 1A EA 6A FB DB 82 29 49 C2 30 D0 A6 61 39 62 06 86 26 D9 08 E6 B0 38 F2 C6 46,,,,,,,,,,,,
End,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
Protocol Code:,,,,,,,,,,,,
Upgrade Protocol 0 = 01 7E (S3C8+),,,,,,,,,,,,
40 84 31 8B 12 E5 44 08 08 01 09 00 FA 01 09 03 16 C3 3C 10 A9 08 43 76 06 04 6B 06 46 29 01 8D 01 46 B0 01 68 06 E4 04 06 F6 01 46 E6 01 02 69 06 F6 01 46 F6 01 0A 7B E9 AF,,,,,,,,,,,,
End,,,,,,,,,,,,
Key Move Code:,,,220,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
fFunctions,fEFC,fByte2,bButtons,bFunctions,fNotes,Device Combiner,,kFunctions,kBoundDev,kBoundKey,kShift,b$Functions
power,028,,0,42 - num 0,,Protocol ID,Fixed Data,,,,,
open/close,158,,1,31 - num 1,,,,,,,,
display,211,,2,32 - num 2,,,,,,,,
audio,030,,3,33 - num 3,,,,,,,,
subtitle,150,,4,35 - num 4,,,,,,,,
angle,160,,5,36 - num 5,,,,,,,,
setup,157,,6,37 - num 6,,,,,,,,
menu,033,,7,39 - num 7,,,,,,,,
top menu,156,,8,40 - num 8,,,,,,,,
up,143,,9,41 - num 9,,,,,,,,
down,147,,vol up,19 - jog+,,,,,,,,
left,203,,vol down,18 - jog-,,,,,,,,
right,196,,mute,03 - audio,,,,,,,,
select,082,,channel up,17 - disc+,,,,,,,,
