Name:,JVC XV-FA900BK DVD,,,,v7.54,,,,,,,CURRENT DATA
Devices:,JVC,239,,,,,,,,,,
Manual:,,0 = 1-byte,LSB-COMP,88,NO,,,,,,,
Setup:,2003,05 = RCU810,06 - DVD,EFC,USE,,,,,,,
RCU810 Device Upgrade Code:,,,,,,,,,,,,
Upgrade Code 0 = 87 C2 (DVD/2003),,,,,,,,,,,,
34 0F 36 FE FE F9 08 F2 72 FD 89 54 FC 09 7C 62 D4 49 F4 74 B4 34 E1 0A 8A CD 4D F1 91 3D 2C,,,,,,,,,,,,
End,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
Protocol Code:,,,,,,,,,,,,
Upgrade Protocol 0 = 00 34 (S3C8+),,,,,,,,,,,,
43 8B 11 8B 19 C5 C9 80 20 08 08 01 07 00 F4 01 07 03 03 73 50 10 7C 08 2A 00 00 00 5A 95 20 0D 20 0D 8D 01 46,,,,,,,,,,,,
End,,,,,,,,,,,,
Key Move Code:,,,214,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
fFunctions,fEFC,fByte2,bButtons,bFunctions,fNotes,Device Combiner,,kFunctions,kBoundDev,kBoundKey,kShift,b$Functions
0,197,,0,00 - 0,,Protocol ID,Fixed Data,,,,,
1,201,,1,01 - 1,,,,,,,,
2,199,,2,02 - 2,,,,,,,,
3,203,,3,03 - 3,,,,,,,,
4,196,,4,04 - 4,,,,,,,,
5,200,,5,05 - 5,,,,,,,,
6,198,,6,06 - 6,,,,,,,,
7,202,,7,07 - 7,,,,,,,,
8,069,,8,08 - 8,,,,,,,,
9,073,,9,09 - 9,,,,,,,,
Page,243,,vol up,,,,,,,,,
Title/Group,078,,vol down,,,,,,,,,
Choice,010,,mute,,,,,,,,,
Open/Close,164,,channel up,37 - Chapter +/Next,,,,,,,,
Cancel,072,,channel down,36 - Chapter -/Previous,,,,,,,,
Power On/Off,165,,on/off,15 - Power On/Off,,,,,,,,
10,070,,enter,16 - 10,,,,,,,,
10+,074,,tv/vcr,17 - 10+,,,,,,,,
Return,112,,go back,18 - Return,,,,,,,,
Menu,177,,menu,19 - Menu,,,,,,,,
Digest,033,,guide,20 - Digest,,,,,,,,
Up Arrow,109,,up arrow,21 - Up Arrow,,,,,,,,
Down Arrow,113,,down arrow,22 - Down Arrow,,,,,,,,
Left Arrow,111,,left arrow,23 - Left Arrow,,,,,,,,
Right Arrow,115,,right arrow,24 - Right Arrow,,,,,,,,
Enter/Select,108,,select,25 - Enter/Select,,,,,,,,
3D Phonic,032,,sleep,,,,,,,,,
Zoom -,098,,pip on/off,27 - Zoom -,,,,,,,,
On Screen,173,,info,28 - On Screen,,,,,,,,
Zoom +,094,,pip swap,29 - Zoom +,,,,,,,,
VFP/Progressive Scan,030,,pip move,,,,,,,,,
Play/Select,036,,play,31 - Play/Select,,,,,,,,
Pause/Strobe,040,,pause,32 - Pause/Strobe,,,,,,,,
Rewind/Slow -,133,,rewind,33 - Rewind/Slow -,,,,,,,,
Fast Forward/Slow +,134,,fast fwd,34 - Fast Forward/Slow +,,,,,,,,
Stop/Clear,171,,stop,35 - Stop/Clear,,,,,,,,
Chapter -/Previous,161,,record,38 - Angle,Does not work - learn instead,,,,,,,
Chapter +/Next,157,,clear,14 - Cancel,Does not work - learn instead,,,,,,,
Angle,051,,surround,,,,,,,,,
Disk Select,005,,input,39 - Disk Select,,,,,,,,
Audio/fs/Rate,045,,+100,,,,,,,,,
Subtitle,048,,fav/scan,,,,,,,,,
Repeat,235,,device button,,,,,,,,,
,,,next track,,,,,,,,,
,,,prev track,,,,,,,,,
,,,shift-left,,,,,,,,,
,,,shift-right,,,,,,,,,
,,,pip freeze,,,,,,,,,
,,,slow,,,,,,,,,
,,,eject,,,,,,,,,
,,,slow+,,,,,,,,,
,,,slow-,,,,,,,,,
,,,x2,,,,,,,,,
,,,center,,,,,,,,,
,,,rear,,,,,,,,,
,,,phantom1,,,,,,,,,
,,,phantom2,,,,,,,,,
,,,phantom3,,,,,,,,,
,,,phantom4,,,,,,,,,
,,,phantom5,,,,,,,,,
,,,phantom6,,,,,,,,,
,,,phantom7,,,,,,,,,
,,,phantom8,,,,,,,,,
,,,phantom9,,,,,,,,,
,,,phantom10,,,,,,,,,
,,,setup,,,,,,,,,
,,,light,,,,,,,,,
,,,theater,,,,,,,,,
,,,M1,,,,,,,,,
,,,M2,,,,,,,,,
,,,M3,,,,,,,,,
,,,macro4,,,,,,,,,
,,,L1,,,,,,,,,
,,,L2,,,,,,,,,
,,,L3,,,,,,,,,
,,,learn4,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
