Name:,Go Video 2740 DVD,,,,v8.33,,,,,,,CURRENT DATA
Devices:,NEC1,8,230,,,,,,,,,
Manual:,,0 = 1-byte,LSB-COMP,88,NO,,,,,,,
Setup:,1740,24 = URC-881x / 801x / 601x,06 - DVD,EFC,USE,20 EF 98,1,,,,,
URC-881x / 801x / 601x Device Upgrade/Key Move Code:,,,,,,,,,,,,
Upgrade Code 0 = 16 CC (DVD/1740) Go Video 2740 DVD (KM v8.33),,,,,,,,,,,,
5A 00 FE FE FE E1 20 EF 98 3D 7F BF 3F 5F 9F 1F 6F FF 2F BD CD AD 97 E7 FD 77 EF 17 B5 F7 75 A7 C7 F5 57 B7 67 27 37 55 7D C5 9D ED 4F,,,,,,,,,,,,
KeyMoves,,,,,,,,,,,,
 3C F3 16 CC AF«Angle: Angle» ¦2C F3 16 CC 5D«Subtitle»  ¦2D F3 16 CC 1D«Audio»  ¦25 F3 16 CC E5«Network»¦26 F3 16 CC 25«Music»  ¦27 F3 16 CC 15«Movies» ¦28 F3 16 CC DD«Pictures»  ,,,,,,,,,,,,
End,,,,,,,,,,,,
Protocol Code:,,,,,,,,,,,,
Upgrade Protocol 0 = 00 5A (S3C8+) NEC1 (KM v8.33),,,,,,,,,,,,
43 8B 31 8B 12 CF 44 08 08 01 18 01 06 01 18 03 39 D2 DC 11 94 08 B6 20 01 08 03 37 04 15 F6 01 46 FB 10 37 0B 07 E4 05 04 60 05 8B 0E B6 04 80 B6 05 80 37 0B 05 E4 04 05 60 05 E4 06 07 60 07 20 11 37 06 05 F6 01 04 7B 12 37 09 15 37 02 06 F6 01 49 F6 01 46 37 01 03 46 29 0D 46 29 01 8D 01 49 E4 20 1E E4 21 1F 37 01 EB F6 01 49 E6 28 C1 60 04 E6 12 01 8B E4,,,,,,,,,,,,
End,,,,,,,,,,,,
Key Move Code:,,,220,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
fFunctions,fEFC,fByte2,bButtons,bFunctions,fNotes,Device Combiner,,kFunctions,kBoundDev,kBoundKey,kShift,b$Functions
num 0,171,,0,00 - num 0,0,Protocol ID,Fixed Data,,,,,
num 1,185,,1,01 - num 1,1,,,,,,,
num 2,183,,2,02 - num 2,2,,,,,,,
num 3,187,,3,03 - num 3,3,,,,,,,
num 4,184,,4,04 - num 4,4,,,,,,,
num 5,182,,5,05 - num 5,5,,,,,,,
num 6,186,,6,06 - num 6,6,,,,,,,
num 7,057,,7,07 - num 7,7,,,,,,,
num 8,181,,8,08 - num 8,8,,,,,,,
num 9,059,,9,09 - num 9,9,,,,,,,
vol up,167,,vol up,10 - vol up,Vol Up,,,,,,,
vol down,036,,vol down,11 - vol down,Vol Down,,,,,,,
mute,,,mute,44 - Zoom,,,,,,,,
Next,118,,channel up,12 - Next,Next,,,,,,,
Prev,245,,channel down,13 - Prev,Prev,,,,,,,
power,165,,power,14 - power,Power,,,,,,,
menu,105,,enter,41 - Enhance,Menu,,,,,,,
Setup,103,,tv/vid,24 - Repeat A-B,Setup,,,,,,,
display/info,104,,prev,40 - Play Mode,Display,,,,,,,
Clear,053,,menu,15 - menu,Clear,,,,,,,
up arrow,123,,guide,16 - Setup,Up,,,,,,,
down arrow,121,,up arrow,19 - up arrow,Down,,,,,,,
left arrow,117,,down arrow,20 - down arrow,Left,,,,,,,
right arrow,119,,left arrow,21 - left arrow,Right,,,,,,,
select,249,,right arrow,22 - right arrow,Select,,,,,,,
enter,,,select,23 - select,,,,,,,,
Repeat A-B,166,,sleep,,Repeat A-B,,,,,,,
last/prev ch,,,pip,,,,,,,,,
Angle,055,,info,17 - display/info,Angle,,,,,,,
play,244,,swap,,,,,,,,,
pause,247,,move,25 - Angle,Pause,,,,,,,
rewind,120,,play,26 - play,Rewind,,,,,,,
