Name:,Go Video D2730 DVD,,,,v8.19,,,,,,,CURRENT DATA
Devices:,NEC1,8,230,,,,,,,,,
Manual:,,0 = 1-byte,LSB-COMP,88,NO,,,,,,,
Setup:,1099,99 = URC-6131 PVR,06 - DVD,EFC,USE,20 EF 98,1,,,,,
URC-6131 PVR Device Upgrade Code:,,,,,,,,,,,,
Upgrade Code 0 = 24 4B (DVD/1099),,,,,,,,,,,,
5A 00 FE FE FE FE E1 20 EF 98 47 B7 77 F7 97 57 D7 A7 67 E7 E5 C5 C5 8F 0F 3F 2F AF 4F CF 6F FF B5 85 EF 87 BF 5F 9F 7F 05 2F 65 55 1F 8F 0F F5 D5 95 35 A5 DF,,,,,,,,,,,,
End,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
Protocol Code:,,,,,,,,,,,,
Upgrade Protocol 0 = 00 5A (S3C8+),,,,,,,,,,,,
43 8B 31 8B 12 CF 44 08 08 01 18 01 06 01 18 03 39 D2 DC 11 94 08 B6 20 01 08 03 37 04 15 F6 01 46 FB 10 37 0B 07 E4 05 04 60 05 8B 0E B6 04 80 B6 05 80 37 0B 05 E4 04 05 60 05 E4 06 07 60 07 20 11 37 06 05 F6 01 04 7B 12 37 09 15 37 02 06 F6 01 49 F6 01 46 37 01 03 46 29 0D 46 29 01 8D 01 49 E4 20 1E E4 21 1F 37 01 EB F6 01 49 E6 28 C1 60 04 E6 12 01 8B E4,,,,,,,,,,,,
End,,,,,,,,,,,,
Key Move Code:,,,226,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
fFunctions,fEFC,fByte2,bButtons,bFunctions,fNotes,Device Combiner,,kFunctions,kBoundDev,kBoundKey,kShift,b$Functions
num 0,248,,0,00 - num 0,,Protocol ID,Fixed Data,,,,,
num 1,119,,1,01 - num 1,,,,,,,,
num 2,121,,2,02 - num 2,,,,,,,,
num 3,117,,3,03 - num 3,,,,,,,,
num 4,118,,4,04 - num 4,,,,,,,,
num 5,120,,5,05 - num 5,,,,,,,,
num 6,116,,6,06 - num 6,,,,,,,,
num 7,247,,7,07 - num 7,,,,,,,,
num 8,249,,8,08 - num 8,,,,,,,,
num 9,245,,9,09 - num 9,,,,,,,,
Angle,102,,vol up,42 - Volume Up,,,,,,,,
Audio,100,,vol down,41 - Volume Down,,,,,,,,
Channel,232,,mute,41 - Volume Down,,,,,,,,
Clear,246,,channel up,23 - Next,,,,,,,,
Display,230,,channel down,28 - Previous,,,,,,,,
Enhance,235,,power,37 - Standby/On,,,,,,,,
Enter,186,,enter,16 - enter,,,,,,,,
Menu,053,,tv/vid,30 - Repeat A-B,,,,,,,,
Menu Down,184,,prev,29 - Progressive Scan,,,,,,,,
Menu Left,182,,menu,17 - menu,,,,,,,,
Menu Right,185,,guide,35 - Setup,,,,,,,,
Menu Up,183,,up arrow,21 - Menu Up,,,,,,,,
Network,244,,down arrow,18 - Menu Down,,,,,,,,
Next,054,,left arrow,19 - Menu Left,,,,,,,,
Open/Close,181,,right arrow,20 - Menu Right,,,,,,,,
Pause / Step,055,,select,26 - Play,,,,,,,,
Play,059,,angle/sleep,10 - Angle,,,,,,,,
Play Mode,105,,pip,,,,,,,,,
Previous,058,,info,14 - Display,,,,,,,,
Progressive Scan,233,,swap,,,,,,,,,
Repeat A-B,103,,move,,,,,,,,,
Return,180,,play,26 - play,,,,,,,,
Search,231,,pause,25 - Pause / Step,,,,,,,,
Search Forward,052,,rewind,34 - Search Reverse,,,,,,,,
Search Reverse,056,,fast fwd,33 - Search Forward,,,,,,,,
Setup,234,,stop,38 - stop,,,,,,,,
Slow,101,,record,24 - Open/Close,,,,,,,,
Standby/On,187,,exit,13 - Clear,,,,,,,,
Stop,057,,surround,,,,,,,,,
