Name:,Samsung BDP1600,,,,v9.20,,,,,,,,CURRENT DATA
Devices:,Samsung36,32,0,7,,,,,,,,,
Manual:,,0 = 1-byte,LSB-COMP,88,NO,,,,,,,,
Setup:,2002,99 = URC-7781,06 - DVD,EFC,USE,04 00 E0,1,No,,,,,
URC-7781 Device Upgrade/Key Move Code:,,,,,,,,,,,,,
Upgrade Code2 0 = 47 D2 (DVD/2002) Samsung BDP1600 (KM v9.20),,,,,,,,,,,,,
01 B5 00 FE FE FE FD 04 00 E0 D0 40 C0 20 A0 60 E0 10 90 50 00 00 64 38 D4 00 28 4C 48 A8 C8 E4 38 68 18 98 D8 58 80 E8 88 B0 A4 80 54 04 78 B8 F8,,,,,,,,,,,,,
KeyMoves,,,,,,,,,,,,,
 2D F0 04 47 D2 84 EE«A»¦2E F0 04 47 D2 44 F0«B»¦2F F0 04 47 D2 C4 EC«C»¦30 F0 04 47 D2 24 F3«D»,,,,,,,,,,,,,
End,,,,,,,,,,,,,
Protocol Code: (Upgrade Req'd),,,,,,,,,,,,,
Upgrade Protocol 0 = 01 B5 (HCS08) Samsung36 (KM v9.20),,,,,,,,,,,,,
20 15 22 48 31 8F 45 08 04 00 F9 02 E1 00 F9 00 F9 77 83 08 CE 08 C8 4E 63 64 33 64 B6 62 62 B7 62 AE 04 39 64 39 63 39 62 5B F8 3C A9 6E 11 7D CC FF 7A,,,,,,,,,,,,,
End,,,,,,,,,,,,,
Key Move Code:,,,851,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
fFunctions,fEFC,fByte2,bButtons,bFunctions,fNotes,Device Combiner,,kFunctions,kBoundDev,kBoundKey,kShift,b$Functions,bBtnCd
num 0,140,,0,00 - num 0,,Protocol ID,Fixed Data,,,,,,1F
num 1,016,,1,01 - num 1,,,,,,,,,15
num 2,012,,2,02 - num 2,,,,,,,,,16
num 3,019,,3,03 - num 3,,,,,,,,,17
num 4,015,,4,04 - num 4,,,,,,,,,19
num 5,017,,5,05 - num 5,,,,,,,,,1A
num 6,013,,6,06 - num 6,,,,,,,,,1B
num 7,146,,7,07 - num 7,,,,,,,,,1C
num 8,142,,8,08 - num 8,,,,,,,,,1D
num 9,144,,9,09 - num 9,,,,,,,,,1E
scene search,147,,vol up,,,,,,,,,,04
cancel,205,,vol down,,,,,,,,,,05
title menu,242,,mute,36 - subtitle,,,,,,,,,08
slow forward,082,,channel up,24 - select,,,,,,,,,06
slow reverse,141,,channel down,45 - exit,,,,,,,,,07
power,018,,power,15 - power,,,,,,,,,03
disc menu,207,,,,,,,,,,,,
menu,081,,,,,,,,,,,,
display/info,209,,,,,,,,,,,,
return,077,,menu,17 - menu,,,,,,,,,28
up arrow,210,,guide,16 - disc menu,,,,,,,,,21
down arrow,206,,up arrow,20 - up arrow,,,,,,,,,24
left arrow,204,,down arrow,21 - down arrow,,,,,,,,,25
right arrow,208,,left arrow,22 - left arrow,,,,,,,,,26
select,211,,right arrow,23 - right arrow,,,,,,,,,27
marker,110,,ok,24 - select,,,,,,,,,14
input select,145,,sleep,,,,,,,,,,83
repeat,237,,,,,,,,,,,,
play,083,,,,,,,,,,,,
