Name:,StreamZap Combo,,,,v9.07,,,,,,,CURRENT DATA
Devices:,Manual Settings,192,193,194,3C,,,,,,,
Manual:,01 23,0 = 1-byte,MSB-COMP,86,NO,,,,,,,
Setup:,2000,24 = URC-881x / 801x / 601x,03 - VCR,OBC,USE,3F 3E 3D 3C,1,No,,,,
URC-881x / 801x / 601x Device Upgrade Code:,,,,,,,,,,,,
Upgrade Code 0 = 1F D0 (VCR/2000) StreamZap Combo (KM v9.07),,,,,,,,,,,,
23 00 FE 7E F0 41 3F 3E 3D 3C FC F8 F9 FA FB E8 E4 E0 DC D8 C8 C0 D0 CC C4 D4 AC A4 84 B8 A8 9C A0 8C 88 B0 B4 98 BC 74,,,,,,,,,,,,
End,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
Protocol Code: (Upgrade Req'd),,,,,,,,,,,,
Upgrade Protocol 0 = 01 23 (S3C8+) Custom Protocol for VCR/2000 StreamZap Combo (KM v9.07),,,,,,,,,,,,
43 8C 41 8B 13 85 85 10 08 06 01 A6 01 92 01 A6 01 92 A3 34 01 A6 00 00 08 07 56 C0 03 87 10 03 19 03 08 00 27 0D 03 8D 01 46,,,,,,,,,,,,
End,,,,,,,,,,,,
Key Move Code:,,,220,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
fFunctions,fOBC,fByte2,bButtons,bFunctions,fNotes,Device Combiner,,kFunctions,kBoundDev,kBoundKey,kShift,b$Functions
num 0,000,,0,00 - num 0,,Protocol ID,Fixed Data,,,,,
num 1,001,0,1,01 - num 1,,,,,,,,
num 2,001,1,2,02 - num 2,,,,,,,,
num 3,001,2,3,03 - num 3,,,,,,,,
num 4,001,3,4,04 - num 4,,,,,,,,
num 5,005,,5,05 - num 5,,,,,,,,
