Name:,ps3 Bluetooth Adapter,,,,v9.21,,,,,,,,CURRENT DATA
Devices:,Manual Settings,11,,,,,,,,,,,
Manual:,00 66,0 = 1-byte,LSB-COMP,48,NO,,,,,,,,
Setup:,2000,01 = 15-1994,06 - DVD,OBC,USE,2F,1,No,,,,,
15-1994 Device Upgrade Code:,,,,,,,,,,,,,
Upgrade Code 0 = 27 D0 (DVD/2000) ps3 Bluetooth Adapter (KM v9.21),,,,,,,,,,,,,
66 00 98 3C 06 21 2F A5 B5 B2 A3 BF C0 B8 D1 C1 C2 41 A7 91 D6 D7 01 D3 21 11,,,,,,,,,,,,,
End,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
Protocol Code:,,,,,,,,,,,,,
Upgrade Protocol 0 = 00 66 (S3C8) Custom Protocol for DVD/2000 ps3 Bluetooth Adapter (KM v9.21),,,,,,,,,,,,,
42 89 11 8B 12 E5 44 04 08 00 C8 00 EB 00 C8 01 D6 A8 8E 07 C3 08 B1 F6 01 33 E4 19 29 C6 C0 01 21 F6 01 0D F6 01 0A FD FF 35 00 29 ED FF 1D E6 29 45 8D 01 33 AF,,,,,,,,,,,,,
End,,,,,,,,,,,,,
Key Move Code:,,,229,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
fFunctions,fOBC,fByte2,bButtons,bFunctions,fNotes,Device Combiner,,kFunctions,kBoundDev,kBoundKey,kShift,b$Functions,bBtnCd
Display,083,,0,23 - num 0,,Protocol ID,Fixed Data,,,,,,1F
Top Menu,180,,1,14 - num 1,,,,,,,,,15
Pop-Up,115,,2,15 - num 2,,,,,,,,,16
Return,186,,3,16 - num 3,,,,,,,,,17
Clear,154,,4,17 - num 4,,,,,,,,,19
Time,194,,5,18 - num 5,,,,,,,,,1A
Eject,244,,6,19 - num 6,,,,,,,,,1B
Audio,018,,7,20 - num 7,,,,,,,,,1C
Angle,220,,8,21 - num 8,,,,,,,,,1D
Subtitle,114,,9,22 - num 9,,,,,,,,,1E
Red,023,,vol up,,,,,,,,,,04
Green,091,,vol down,,,,,,,,,,05
Blue,087,,mute,,,,,,,,,,08
Yellow,027,,channel up,,,,,,,,,,06
num 1,082,,channel down,,,,,,,,,,07
num 2,178,,power,33 - ps,,,,,,,,,03
num 3,058,,enter,28 - enter,,,,,,,,,12
num 4,002,,tv/vcr,,,,,,,,,,18
num 5,252,,last,,,,,,,,,,13
num 6,226,,menu,,,,,,,,,,29
num 7,116,,program / guide,,,,,,,,,,28
num 8,124,,up arrow,24 - up,,,,,,,,,31
num 9,188,,down arrow,25 - down,,,,,,,,,32
num 0,090,,left arrow,26 - left,,,,,,,,,33
Up,118,,right arrow,27 - right,,,,,,,,,34
Down,148,,select,,,,,,,,,,35
Left,020,,sleep,,,,,,,,,,2C
Right,127,,pip,,,,,,,,,,2D
Enter,026,,display,,,,,,,,,,2A
Triangle,028,,swap,,,,,,,,,,2F
