Name:,HD Leeza,,,,v7.43,,,,,,,CURRENT DATA
Devices:,NEC1,130,19,,,,,,,,,
Manual:,,0 = 1-byte,LSB-COMP,88,NO,,,,,,,
Setup,2000,99 = 15-2117 / 15-2116,01 - Cable,OBC,USE,,,,,,,
Device Upgrade Code:,,,,Protocol Code:,,,,,,,,
Upgrade Code 0 = 67 D0 (Cable/2000),,,,Upgrade Protocol 0 = 00 5A (S3C8+),,,,,,,,
5A 00 01 20 BE 37,,,,43 8B 31 8B 12 CF 44 08 08 01 18 01 06 01 18 03,,,,,,,,
End,,,,39 D2 DC 11 94 08 B6 20 01 08 03 37 04 15 F6 01,,,,,,,,
,,,,46 FB 10 37 0B 07 E4 05 04 60 05 8B 0E B6 04 80,,,,,,,,
,,,,B6 05 80 37 0B 05 E4 04 05 60 05 E4 06 07 60 07,,,,,,,,
,,,,20 11 37 06 05 F6 01 04 7B 12 37 09 15 37 02 06,,,,,,,,
,,,,F6 01 49 F6 01 46 37 01 03 46 29 0D 46 29 01 8D,,,,,,,,
,,,,01 49 E4 20 1E E4 21 1F 37 01 EB F6 01 49 E6 28,,,,,,,,
,,,,C1 60 04 E6 12 01 8B E4,,,,,,,,
,,,,End,,,,Key Move Code:,,,205,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
fFunctions,fOBC,fByte2,bButtons,bFunctions,fNotes,Device Combiner,,kmFunctions,kBoundDev,kBoundKey,kShift,b$-Functions
num 0,000,,0,,,Protocol ID,Fixed Data,,,,,
num 1,001,,1,,,,,,,,,
num 2,002,,2,,,,,,,,,
num 3,003,,3,,,,,,,,,
num 4,004,,4,,,,,,,,,
num 5,005,,5,,,,,,,,,
num 6,006,,6,,,,,,,,,
num 7,007,,7,,,,,,,,,
num 8,008,,8,,,,,,,,,
num 9,009,,9,,,,,,,,,
power toggle,010,,vol up,,,,,,,,,
ANS (anamorphic choices),011,,vol down,,,,,,,,,
discrete off,012,,mute,,,,,,,,,
ext 12V control on,013,,channel up,,,,,,,,,
