Name:,Center Stage CS-2 Video Processor,,,,v8.16,,,,,,,CURRENT DATA
Devices:,NEC1,128,118,,,,,,,,,
Manual:,,0 = 1-byte,LSB-COMP,88,NO,,,,,,,
Setup:,2000,01 = 15-1994,14 - Video Acc,OBC,USE,20 FE 91,1,,,,,
15-1994 Device Upgrade Code:,,,,,,,,,,,,
Upgrade Code 0 = 07 D0 (Video Acc/2000),,,,,,,,,,,,
5A 00 9E 02 FC 09 20 FE 91 EA 56 96 16 66 A6 26 FA 7A 6A FE 76 86 B6 1E 36 EE 9E 3E 7E BE 5E,,,,,,,,,,,,
End,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
Protocol Code:,,,,,,,,,,,,
Upgrade Protocol 0 = 00 5A (S3C8),,,,,,,,,,,,
43 8B 31 8B 12 CF 44 08 08 01 18 01 06 01 18 03 39 D2 DC 11 94 08 B6 20 01 08 03 37 04 15 F6 01 33 FB 10 37 0B 07 E4 05 04 60 05 8B 0E B6 04 80 B6 05 80 37 0B 05 E4 04 05 60 05 E4 06 07 60 07 20 11 37 06 05 F6 01 04 7B 12 37 09 15 37 02 06 F6 01 36 F6 01 33 37 01 03 46 29 0D 46 29 01 8D 01 36 E4 20 1E E4 21 1F 37 01 EB F6 01 36 E6 28 C1 60 04 E6 12 01 8B E4,,,,,,,,,,,,
End,,,,,,,,,,,,
Key Move Code:,,,229,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
fFunctions,fOBC,fByte2,bButtons,bFunctions,fNotes,Device Combiner,,kFunctions,kBoundDev,kBoundKey,kShift,b$Functions
POWER TOGGLE,128,,0,37 - SDI INPUT (CS-2 only),TOGGLE THE POWER MODE,Protocol ID,Fixed Data,,,,,
MOVE RIGHT,129,,1,20 - YPrPb A,MOVE TO THE RIGHT,,,,,,,
SELECT,130,,2,21 - S-VID A,SELECT CURRENT FUNCTION,,,,,,,
MOVE LEFT,131,,3,22 - COMPOSITE A,MOVE TO THE LEFT,,,,,,,
INPUT 4:3LB MODE,132,,4,24 - YPrPb B,DIRECT 4:3LB SELECT MODE,,,,,,,
EXIT,133,,5,25 - S-VID B,EXIT MENU MODE,,,,,,,
MOVE DOWN,134,,6,26 - COMPOSITE B,MOVE DOWN,,,,,,,
MENU,135,,7,31 - PROGRESSIVE YPrPb,ENTER OR EXIT MENU MODE,,,,,,,
MOVE UP,136,,8,32 - PROGRESSIVE RGB,MOVE UP,,,,,,,
INPUT 16:9LB MODE,137,,9,38 - DVI INPUT (CS-2 only),DIRECT 16:9LB SELECT MODE,,,,,,,
STD. VIDEO MODE,138,,vol up,,NORMAL VIDEO PROCESSING,,,,,,,
FILM BIAS MODE,139,,vol down,,ENABLE FILM MODE BIAS,,,,,,,
POWER ON,140,,mute,,DIRECT POWER ON,,,,,,,
LETTERBOX,141,,channel up,,TOGGLE LETTERBOX INPUT MODE,,,,,,,
4:3 VIDEO MODE,142,,channel down,,ENTER 4:3 VIDEO INPUT MODE,,,,,,,
16:9 VIDEO MODE,143,,power,00 - POWER TOGGLE,ENTER 16:9 VIDEO INPUT MODE,,,,,,,
SII504 RESET,144,,enter,17 - SHARPNESS,RESET SII504 (diagnostic),,,,,,,
SHARPNESS,145,,tv/vcr,29 - DVI - SDI Input Toggle,ENTER SHARPNESS MENU,,,,,,,
CONTRAST,146,,last,18 - CONTRAST,ENTER CONTRAST MENU,,,,,,,
BRIGHTNESS,147,,menu,07 - MENU,ENTER BRIGHTNESS MENU,,,,,,,
YPrPb A,149,,program / guide,19 - BRIGHTNESS,SELECT YPrPb A INPUT,,,,,,,
S-VID A,150,,up arrow,08 - MOVE UP,SELECT S-VID A INPUT,,,,,,,
COMPOSITE A,151,,down arrow,06 - MOVE DOWN,SELECT COMPOSITE A INPUT,,,,,,,
POWER OFF,152,,left arrow,03 - MOVE LEFT,DIRECT POWER OFF,,,,,,,
YPrPb B,153,,right arrow,01 - MOVE RIGHT,SELECT YPrPb B INPUT,,,,,,,
S-VID B,154,,select,02 - SELECT,SELECT S-VID B INPUT,,,,,,,
COMPOSITE B,155,,sleep,,SELECT COMPOSITE B INPUT,,,,,,,
PASS-THRU,157,,pip,,SELECT VGA PASS-THRU,,,,,,,
DVI INPUT,158,,display,,CS-1 or CS-2 without SDI option,,,,,,,
DVI - SDI Input Toggle,158,,swap,,CS-2 with SDI option,,,,,,,
PROGRESSIVE INPUT TOGGLE,159,,move,,SELECT PROGRESSIVE YPrPb or RGB,,,,,,,
PROGRESSIVE YPrPb,160,,play,,DIRECT PROGRESSIVE YPrPb,,,,,,,
PROGRESSIVE RGB,161,,pause,,DIRECT PROGRESSIVE RGB,,,,,,,
RGB A,163,,rewind,,DIRECT RGB A,,,,,,,
RGB B,165,,fast fwd,,DIRECT RGB B,,,,,,,
RGBs A (CS-2 only),166,,stop,,DIRECT RGBs A,,,,,,,
RGBs B (CS-2 only),167,,record,,DIRECT RGBs B,,,,,,,
SDI INPUT (CS-2 only),168,,exit,05 - EXIT,DIRECT SDI INPUT,,,,,,,
DVI INPUT (CS-2 only),169,,surround,,DIRECT DVI INPUT,,,,,,,
,,,input,,,,,,,,,
,,,+100,,,,,,,,,
,,,fav/scan,,,,,,,,,
,,,device button,,,,,,,,,
,,,next track,,,,,,,,,
,,,prev track,,,,,,,,,
,,,shift-left,,,,,,,,,
,,,shift-right,,,,,,,,,
,,,pip freeze,,,,,,,,,
,,,slow,,,,,,,,,
,,,eject,,,,,,,,,
,,,slow+,,,,,,,,,
,,,slow-,,,,,,,,,
,,,x2,,,,,,,,,
,,,center,,,,,,,,,
,,,rear,,,,,,,,,
,,,phantom1,,,,,,,,,
,,,phantom2,,,,,,,,,
,,,phantom3,,,,,,,,,
,,,phantom4,,,,,,,,,
,,,discreteON,,,,,,,,,
,,,discreteOFF,,,,,,,,,
,,,phantom7,,,,,,,,,
,,,phantom8,,,,,,,,,
,,,phantom9,,,,,,,,,
,,,phantom10,,,,,,,,,
,,,setup,,,,,,,,,
,,,light,,,,,,,,,
,,,theater,,,,,,,,,
,,,macro1,,,,,,,,,
,,,macro2,,,,,,,,,
,,,macro3,,,,,,,,,
,,,macro4,,,,,,,,,
,,,1s,,,,,,,,,
,,,2s,,,,,,,,,
,,,3s,,,,,,,,,
,,,4s,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
Line Notes:,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,EOF Marker - DO NOT DELETE,
