Name:,Philips E-Box FTR9955,,,,v8.31,,,,,,,CURRENT DATA
Devices:,RC-6,0,,,,,,,,,,
Manual:,,0 = 1-byte,LSB-COMP,88,NO,,,,,,,
Setup:,0955,24 = URC-881x / 801x / 601x,03 - VCR,OBC,USE,80 00,1,,,,,
URC-881x / 801x / 601x Device Upgrade/Key Move Code:,,,,,,,,,,,,
Upgrade Code 0 = 13 BB (VCR/0955) Philips E-Box FTR9955 (KM v8.31),,,,,,,,,,,,
58 0E 7C FC DE 81 80 00 10 11 0D 1E 1F 0C 59 71 F3 5A 54 67 6E 53 5B 5C 58 0F 6E 0A 38,,,,,,,,,,,,
KeyMoves,,,,,,,,,,,,
 22 F3 13 BB 96«Active Control (sleep)»¦3B F3 13 BB F7«zoom (pip on/off)»  ¦20 F3 13 BB 4E«SAP (swap)»¦3C F3 13 BB F5«picture format (move)» ¦2C F3 13 BB F4«sound»  ,,,,,,,,,,,,
End,,,,,,,,,,,,
Protocol Code:,,,,,,,,,,,,
Upgrade Protocol 0 = 00 58 (S3C8+) RC-6 (KM v8.31),,,,,,,,,,,,
35 A5 21 8B 13 CE 05 08 08 00 DE 00 00 00 00 00 CC D0 52 05 35 01 A8 04 4C 03 C7 34 B0 C5 B0 C6 0C 04 1C 55 2C C0 90 C3 FB 02 B2 12 E0 C2 E0 C2 0A F4 0C 06 02 05 5E D7 01 60 C6 EB E3 A6 C5 06 6B 05 4E C7 34 8B D7 E6 07 C0 76 00 01 EB 03 E6 07 30 E6 10 05 E6 11 04 E6 01 03 8D 01 46,,,,,,,,,,,,
End,,,,,,,,,,,,
Key Move Code:,,,220,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
fFunctions,fOBC,fByte2,bButtons,bFunctions,fNotes,Device Combiner,,kFunctions,kBoundDev,kBoundKey,kShift,b$Functions
num 0,000,,0,00 - num 0,,Protocol ID,Fixed Data,,,,,
num 1,001,,1,01 - num 1,,,,,,,,
num 2,002,,2,02 - num 2,,,,,,,,
num 3,003,,3,03 - num 3,,,,,,,,
num 4,004,,4,04 - num 4,,,,,,,,
num 5,005,,5,05 - num 5,,,,,,,,
num 6,006,,6,06 - num 6,,,,,,,,
num 7,007,,7,07 - num 7,,,,,,,,
num 8,008,,8,08 - num 8,,,,,,,,
num 9,009,,9,09 - num 9,,,,,,,,
vol up,016,,vol up,10 - vol up,,,,,,,,
vol down,017,,vol down,11 - vol down,,,,,,,,
mute,013,,mute,12 - mute,,,,,,,,
channel up,030,,channel up,13 - channel up,,,,,,,,
channel down,031,,channel down,14 - channel down,,,,,,,,
power,012,,power,15 - power,,,,,,,,
menu,084,,enter,25 - DNR (enter),,,,,,,,
Display (Guide),243,,tv/vid,31 - Select Source (tv/vid),,,,,,,,
info,015,,prev,27 - surf (prev),,,,,,,,
exit,113,,menu,16 - menu,,,,,,,,
up arrow,088,,guide,17 - Display (Guide),,,,,,,,
down arrow,089,,up arrow,20 - up arrow,,,,,,,,
left arrow,090,,down arrow,21 - down arrow,,,,,,,,
right arrow,091,,left arrow,22 - left arrow,,,,,,,,
OK (select),092,,right arrow,23 - right arrow,,,,,,,,
DNR (enter),110,,select,24 - OK (select),,,,,,,,
sound,244,,sleep,28 - Active Control (sleep),,,,,,,,
surf (prev),010,,pip,33 - zoom (pip on/off),,,,,,,,
Active Control (sleep),150,,info,18 - info,,,,,,,,
natural motion (play),110,,swap,34 - SAP (swap),,,,,,,,
freeze (pause),103,,move,35 - picture format (move),,,,,,,,
Select Source (tv/vid),056,,play,29 - natural motion (play),,,,,,,,
fast fwd,,,pause,30 - freeze (pause),,,,,,,,
stop,,,rewind,,,,,,,,,
surround (record),083,,fwd,,,,,,,,,
f.fwd/next track,,,stop,,,,,,,,,
f.rew/prev track,,,record,32 - surround (record),,,,,,,,
+100,,,exit,19 - exit,,,,,,,,
zoom (pip on/off),247,,surround,,,,,,,,,
SAP (swap),078,,input,,,,,,,,,
picture format (move),245,,+100,,,,,,,,,
pip freeze,,,fav,,,,,,,,,
,,,device button,,,,,,,,,
,,,f fwd,,,,,,,,,
,,,f rew,,,,,,,,,
,,,shift-left,,,,,,,,,
,,,shift-right,,,,,,,,,
,,,pip freeze,,,,,,,,,
,,,slow,,,,,,,,,
,,,eject,,,,,,,,,
,,,slow+,,,,,,,,,
,,,slow-,,,,,,,,,
,,,x2,,,,,,,,,
,,,center,,,,,,,,,
,,,rear,,,,,,,,,
,,,phantom1,,,,,,,,,
,,,phantom2,,,,,,,,,
,,,phantom3,,,,,,,,,
,,,phantom4,,,,,,,,,
,,,phantom5,,,,,,,,,
,,,phantom6,,,,,,,,,
,,,phantom7,,,,,,,,,
,,,phantom8,,,,,,,,,
,,,phantom9,,,,,,,,,
,,,phantom10,,,,,,,,,
,,,setup,,,,,,,,,
,,,light,,,,,,,,,
,,,home theater,,,,,,,,,
,,,M1,26 - sound,,,,,,,,
,,,M2,,,,,,,,,
,,,M3,,,,,,,,,
,,,M4,,,,,,,,,
,,,L1,,,,,,,,,
,,,L2,,,,,,,,,
,,,L3,,,,,,,,,
,,,L4,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
