Name:,Sony Vaio,,,,v8.12,,,,,,,CURRENT DATA
Devices:,Sony20,26,178,,,,,,,,,
Manual:,,0 = 1-byte,LSB-COMP,87,NO,,,,,,,
Setup:,1776,01 = 15-1994,01 - Cable,OBC,USE,,,,,,,
15-1994 Device Upgrade Code:,,,,,,,,,,,,
Upgrade Code 0 = 06 F0 (Cable/1776),,,,,,,,,,,,
DE 00 FE FE FE F9 58 4D 00 7C 00 80 40 C0 20 A0 60 E0 10 48 C8 28 08 88 34 FC 24 A4 58 98 D8 38 18 B8 C2 C4 0C 8C 4C CC 2C 78 5C 64 F8 04 AC,,,,,,,,,,,,
End,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
Protocol Code:,,,,,,,,,,,,
Upgrade Protocol 0 = 00 DE (S3C8),,,,,,,,,,,,
3A 8A 31 8B 14 F6 15 05 07 02 58 01 18 01 2C 01 18 57 D0 04 B0 01 18 08 03 76 06 01 6B 06 E6 28 F5 E6 01 02 8D 01 33,,,,,,,,,,,,
End,,,,,,,,,,,,
Key Move Code:,,,229,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
fFunctions,fOBC,fByte2,bButtons,bFunctions,fNotes,Device Combiner,,kFunctions,kBoundDev,kBoundKey,kShift,b$Functions
num 0,062,,0,00 - num 0,,Protocol ID,Fixed Data,,,,,
num 1,000,,1,01 - num 1,,,,,,,,
num 2,001,,2,02 - num 2,,,,,,,,
num 3,002,,3,03 - num 3,,,,,,,,
num 4,003,,4,04 - num 4,,,,,,,,
num 5,004,,5,05 - num 5,,,,,,,,
num 6,005,,6,06 - num 6,,,,,,,,
num 7,006,,7,07 - num 7,,,,,,,,
num 8,007,,8,08 - num 8,,,,,,,,
num 9,008,,9,09 - num 9,,,,,,,,
vol up,018,,vol up,10 - vol up,,,,,,,,
vol down,019,,vol down,11 - vol down,,,,,,,,
mute,020,,mute,12 - mute,,,,,,,,
channel up,016,,channel up,13 - channel up,,,,,,,,
channel down,017,,channel down,14 - channel down,,,,,,,,
power,044,,power,15 - power,Standby,,,,,,,
menu,067,,enter,25 - enter,Application Menu,,,,,,,
program/guide,035,,tv/vcr,26 - tv/vcr,Open/Close Giga Pocket,,,,,,,
display/info,038,,last,27 - last/prev ch,,,,,,,,
exit,053,,menu,16 - menu,Cancel,,,,,,,
up arrow,048,,program / guide,17 - program/guide,,,,,,,,
down arrow,049,,up arrow,20 - up arrow,,,,,,,,
left arrow,050,,down arrow,21 - down arrow,,,,,,,,
right arrow,051,,left arrow,22 - left arrow,,,,,,,,
select,052,,right arrow,23 - right arrow,,,,,,,,
enter,063,,select,24 - select,Enter (as # entry key),,,,,,,
tv/vcr,036,,sleep,37 - Record Stop,,,,,,,,
last/prev ch,037,,pip,36 - pip on/off,Size,,,,,,,
sleep,,,display,18 - display/info,,,,,,,,
play,026,,swap,35 - f.rew/prev track,,,,,,,,
pause,025,,move,34 - f.fwd/next track,,,,,,,,
rewind,027,,play,28 - play,,,,,,,,
fast fwd,028,,pause,29 - pause,,,,,,,,
stop,024,,rewind,30 - rewind,,,,,,,,
record,029,,fast fwd,31 - fast fwd,,,,,,,,
f.fwd/next track,032,,stop,32 - stop,,,,,,,,
f.rew/prev track,031,,record,33 - record,,,,,,,,
+100,,,exit,19 - exit,,,,,,,,
pip on/off,058,,surround,,Open/Close DVD,,,,,,,
pip swap,,,input,,,,,,,,,
pip move,,,+100,,,,,,,,,
pip freeze,,,fav/scan,,,,,,,,,
,,,device button,,,,,,,,,
