Name:,NetGem,,,,v7.33,,,,,,,CURRENT DATA
Devices:,NEC1,131,51,,,,,,,,,
Manual:,,0 = 1-byte,LSB-COMP,88,NO,,,,,,,
Setup,1990,24 = URC-881x / 801x / 601x,01 - Cable,OBC,USE,,,,,,,
Device Upgrade/Key Move Code:,,,,Protocol Code:,,,,,,,,
Upgrade code 0 = 37 C6 (Cable/1990),,,,Upgrade protocol 0 = 00 5A (S3C8+),,,,,,,,
5A 00 FA FD 20 3E 33 F9 79 B9 39 D9 59 99 19 E9,,,,43 8B 31 8B 12 CF 44 08 08 01 18 01 06 01 18 03,,,,,,,,
69 95 15 B1 E5 65 31 3D 71 DD 55 5D DD BD 35,,,,39 D2 DC 11 94 08 B6 20 01 08 03 37 04 15 F6 01,,,,,,,,
KeyMoves,,,,46 FB 10 37 0B 07 E4 05 04 60 05 8B 0E B6 04 80,,,,,,,,
3B F3 37 C6 D5,,,,B6 05 80 37 0B 05 E4 04 05 60 05 E4 06 07 60 07,,,,,,,,
End,,,,20 11 37 06 05 F6 01 04 7B 12 37 09 15 37 02 06,,,,,,,,
,,,,F6 01 49 F6 01 46 37 01 03 46 29 0D 46 29 01 8D,,,,,,,,
,,,,01 49 E4 20 1E E4 21 1F 37 01 EB F6 01 49 E6 28,,,,,,,,
,,,,C1 60 04 E6 12 01 8B E4,,,,,,,,
,,,,End,,,,Key Move Code:,,,220,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
fFunctions,fOBC,fByte2,bButtons,bFunctions,fNotes,Device Combiner,,kmFunctions,kBoundDev,kBoundKey,kShift,b$-Functions
num 0,096,,0,00 - num 0,,Protocol ID,Fixed Data,,,,,
num 1,097,,1,01 - num 1,,,,,,,,
num 2,098,,2,02 - num 2,,,,,,,,
num 3,099,,3,03 - num 3,,,,,,,,
num 4,100,,4,04 - num 4,,,,,,,,
num 5,101,,5,05 - num 5,,,,,,,,
num 6,102,,6,06 - num 6,,,,,,,,
num 7,103,,7,07 - num 7,,,,,,,,
num 8,104,,8,08 - num 8,,,,,,,,
num 9,105,,9,09 - num 9,,,,,,,,
vol up,086,,vol up,10 - vol up,,,,,,,,
vol down,087,,vol down,11 - vol down,,,,,,,,
mute,114,,mute,12 - mute,,,,,,,,
channel up,088,,channel up,13 - channel up,,,,,,,,
channel down,089,,channel down,14 - channel down,,,,,,,,
power,115,,power,15 - power,,,,,,,,
enter,,,enter,,,,,,,,,
tv/vcr,,,tv/vid,,,,,,,,,
last (prev ch),,,prev,,,,,,,,,
menu,085,,menu,16 - menu,,,,,,,,
program guide,113,,guide,17 - program guide,,,,,,,,
up arrow,066,,up arrow,18 - up arrow,,,,,,,,
down arrow,067,,down arrow,19 - down arrow,,,,,,,,
left arrow,068,,left arrow,20 - left arrow,,,,,,,,
right arrow,069,,right arrow,21 - right arrow,,,,,,,,
select,068,,select,22 - select,,,,,,,,
sleep,,,sleep,,,,,,,,,
pip on/off,084,,pip,23 - pip on/off,,,,,,,,
display,083,,info,24 - display,,,,,,,,
pip swap,,,swap,,,,,,,,,
pip move,,,move,,,,,,,,,
play,,,play,,,,,,,,,
pause,,,pause,,,,,,,,,
rewind,,,rewind,,,,,,,,,
fast fwd,,,fwd,,,,,,,,,
stop,,,stop,,,,,,,,,
record,,,record,,,,,,,,,
exit,,,exit,,,,,,,,,
surround,,,surround,,,,,,,,,
input toggle,,,input,,,,,,,,,
+100,,,+100,,,,,,,,,
fav/scan,,,fav,,,,,,,,,
device button,,,device button,,,,,,,,,
next track,,,f fwd,,,,,,,,,
prev track,,,f rew,,,,,,,,,
shift-left,,,shift-left,,,,,,,,,
shift-right,,,shift-right,,,,,,,,,
pip freeze,,,pip freeze,,,,,,,,,
