Name:,Sigma Designs Real Magic,,,,v7.48a,,,,,,,CURRENT DATA
Devices:,NEC1,128,,,,,,,,,,
Manual:,,0 = 1-byte,LSB-COMP,88,NO,,,,,,,
Setup:,2000,99 = 15-2117 / 15-2116,06 - DVD,OBC,USE,,,,,,,
Device Upgrade Code:,,,,Protocol Code:,,,,,,,,
Upgrade Code 0 = 27 D0 (DVD/2000),,,,Upgrade Protocol 0 = 00 5A (S3C8+),,,,,,,,
5A 00 BE FE FD 00 FE FE CD 97 17 07 A7 27 E7 FD,,,,43 8B 31 8B 12 CF 44 08 08 01 18 01 06 01 18 03,,,,,,,,
DD C7 D7 37 FF 4F 8F 77 B7 4F 1F BF 9F DF 3F 5F,,,,39 D2 DC 11 94 08 B6 20 01 08 03 37 04 15 F6 01,,,,,,,,
7F 6F F7 D5 ED,,,,46 FB 10 37 0B 07 E4 05 04 60 05 8B 0E B6 04 80,,,,,,,,
End,,,,B6 05 80 37 0B 05 E4 04 05 60 05 E4 06 07 60 07,,,,,,,,
,,,,20 11 37 06 05 F6 01 04 7B 12 37 09 15 37 02 06,,,,,,,,
,,,,F6 01 49 F6 01 46 37 01 03 46 29 0D 46 29 01 8D,,,,,,,,
,,,,01 49 E4 20 1E E4 21 1F 37 01 EB F6 01 49 E6 28,,,,,,,,
,,,,C1 60 04 E6 12 01 8B E4,,,,,,,,
,,,,End,,,,Key Move Code:,,,205,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
fFunctions,fOBC,fByte2,bButtons,bFunctions,fNotes,Device Combiner,,kmFunctions,kBoundDev,kBoundKey,kShift,b$-Functions
num 0,076,,0,00 - num 0,,Protocol ID,Fixed Data,,,,,
num 1,022,,1,01 - num 1,,,,,,,,
num 2,023,,2,02 - num 2,,,,,,,,
num 3,031,,3,03 - num 3,,,,,,,,
num 4,026,,4,04 - num 4,,,,,,,,
num 5,027,,5,05 - num 5,,,,,,,,
num 6,024,,6,06 - num 6,,,,,,,,
num 7,064,,7,07 - num 7,,,,,,,,
num 8,068,,8,08 - num 8,,,,,,,,
