Name:,VSDL,,,,v8.36,,,,,,,CURRENT DATA
Devices:,Manual Settings,0,,,,,,,,,,
Manual:,01FF,0 = 1-byte,LSB,88,NO,,,,,,,
Setup:,2000,24 = URC-881x / 801x / 601x,16 - PVR,OBC,USE,00,1,,,,,
URC-881x / 801x / 601x Device Upgrade Code:,,,,,,,,,,,,
Upgrade Code 0 = 1F D0 (PVR/2000) VSDL (KM v8.36),,,,,,,,,,,,
FF 00 BE EE FE E1 00 24 F0 88 48 E8 98 D8 50 90 70 D0 08 60 04 58 38 78 B8 44 14 A0 F8 80 30 28 C4 E4 94 18 54 A8 68,,,,,,,,,,,,
End,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
Protocol Code: (Upgrade Req'd),,,,,,,,,,,,
Upgrade Protocol 0 = 01 FF (S3C8+) Custom Protocol for PVR/2000 VSDL (KM v8.36),,,,,,,,,,,,
43 89 11 8B 12 B5 44 08 08 01 F4 05 C8 01 F4 01 E0 6B 6C 09 C4 05 C8 E6 0D 02 8D 01 46,,,,,,,,,,,,
End,,,,,,,,,,,,
Key Move Code:,,,220,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
fFunctions,fOBC,fByte2,bButtons,bFunctions,fNotes,Device Combiner,,kFunctions,kBoundDev,kBoundKey,kShift,b$Functions
num 0,036,,0,00 - num 0,,Protocol ID,Fixed Data,,,,,
num 1,015,,1,01 - num 1,,,,,,,,
num 2,017,,2,02 - num 2,,,,,,,,
num 3,018,,3,03 - num 3,,,,,,,,
num 4,023,,4,04 - num 4,,,,,,,,
num 5,025,,5,05 - num 5,,,,,,,,
num 6,027,,6,06 - num 6,,,,,,,,
num 7,010,,7,07 - num 7,,,,,,,,
num 8,009,,8,08 - num 8,,,,,,,,
num 9,014,,9,09 - num 9,,,,,,,,
channel up,011,,vol up,,,,,,,,,
channel down,016,,vol down,,,,,,,,,
power,006,,mute,,,,,,,,,
menu,034,,channel up,10 - channel up,,,,,,,,
guide,030,,channel down,11 - channel down,,,,,,,,
info,039,,power,12 - power,,,,,,,,
exit,026,,enter,24 - A,,,,,,,,
up arrow,035,,tv/vid,25 - B,,,,,,,,
down arrow,032,,prev,22 - last/prev ch,,,,,,,,
left arrow,029,,menu,13 - menu,,,,,,,,
right arrow,001,,guide,14 - guide,,,,,,,,
select,012,,up arrow,17 - up arrow,,,,,,,,
last/prev ch,024,,down arrow,18 - down arrow,,,,,,,,
PPV,040,,left arrow,19 - left arrow,,,,,,,,
A,041,,right arrow,20 - right arrow,,,,,,,,
B,042,,select,21 - select,,,,,,,,
call id,020,,sleep,,,,,,,,,
fav,005,,pip,,,,,,,,,
page+,021,,info,15 - info,,,,,,,,
page-,022,,swap,,,,,,,,,
day+,028,,move,,,,,,,,,
day-,031,,play,23 - PPV,,,,,,,,
,,,pause,,,,,,,,,
,,,rewind,31 - day-,,,,,,,,
,,,fwd,30 - day+,,,,,,,,
,,,stop,26 - call id,,,,,,,,
,,,record,27 - fav,,,,,,,,
,,,exit,16 - exit,,,,,,,,
,,,surround,,,,,,,,,
,,,input,,,,,,,,,
,,,+100,,,,,,,,,
,,,fav,,,,,,,,,
,,,device button,,,,,,,,,
,,,f fwd,28 - page+,,,,,,,,
,,,f rew,29 - page-,,,,,,,,
,,,shift-left,,,,,,,,,
,,,shift-right,,,,,,,,,
,,,pip freeze,,,,,,,,,
,,,slow,,,,,,,,,
,,,eject,,,,,,,,,
