Name:,Roku Soundbridge,,,,v9.01,,,,,,,CURRENT DATA
Devices:,NEC1,111,,,,,,,,,,
Manual:,,0 = 1-byte,LSB-COMP,88,NO,,,,,,,
Setup:,1828,99 = URC-10820,12 - Misc Audio,EFC,USE,00 09 00,1,,,,,
URC-10820 Device Upgrade Code:,,,,,,,,,,,,
Upgrade Code 0 = 57 24 (Misc Audio/1828) Roku Soundbridge (KM v9.01),,,,,,,,,,,,
5A 00 DE 9C BA EF 00 09 00 19 85 05 F9 79 B9 39 D9 59 99 FD 7D 7D 97 67 C7 27 A7 A7 27 07 17 47 57 D7 B7 37 F7 77 BD E7 87,,,,,,,,,,,,
End,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
Protocol Code:,,,,,,,,,,,,
Upgrade Protocol 0 = 00 5A (HCS08) NEC1 (KM v9.01),,,,,,,,,,,,
20 15 22 47 31 CF 44 08 08 01 17 01 1A 01 17 03 4D D2 F0 11 93 08 CA 3C AC 05 60 1D CD FF 98 24 18 0A 60 07 4E 62 61 33 62 20 16 B6 61 A8 80 B7 61 B6 62 A8 80 B7 62 20 08 0A 60 05 4E 61 62 33 62 4E 63 64 33 64 6E 02 AA 07 60 05 CD FF 8F 25 10 08 60 12 03 60 05 AD 0A CD FF 5F 00 60 02 16 A3 10 A3 CC FF 5C 55 78 35 76 00 60 F4 AD F4 6E C1 A2 33 61 6E 01 6A 20,,,,,,,,,,,,
End,,,,,,,,,,,,
Key Move Code:,,,477,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
fFunctions,fEFC,fByte2,bButtons,bFunctions,fNotes,Device Combiner,,kFunctions,kBoundDev,kBoundKey,kShift,b$Functions
left arrow,117,,0,33 - preset B4,Left Arrow,Protocol ID,Fixed Data,,,,,
right arrow,121,,1,24 - preset A1,Right Arrow,,,,,,,
up arrow,119,,2,25 - preset A2,Up Arrow,,,,,,,
down arrow,123,,3,26 - preset A3,Down Arrow,,,,,,,
select,116,,4,27 - preset A4,Select,,,,,,,
exit,120,,5,28 - preset A5,Exit,,,,,,,
power,118,,6,29 - preset A6,Power Toggle,,,,,,,
menu,122,,7,30 - preset B1,Menu,,,,,,,
search,245,,8,31 - preset B2,Search,,,,,,,
play,249,,9,32 - preset B3,Play,,,,,,,
fast fwd,247,,vol up,18 - vol up,Next Track,,,,,,,
f.fwd/next track,247,,vol down,19 - vol down,Next Track,,,,,,,
rewind,251,,mute,20 - mute,Previous Track,,,,,,,
f.rew/prev track,251,,channel up,,Previous Track,,,,,,,
pause,244,,channel down,,Pause,,,,,,,
add,248,,power,06 - power,Add,,,,,,,
shuffle,246,,enter,,Shuffle,,,,,,,
repeat,250,,tv/vcr,,Repeat,,,,,,,
vol up,165,,prev,17 - repeat,Volume Up,,,,,,,
vol down,169,,menu,07 - menu,Volume Down,,,,,,,
mute,169,,guide,08 - search,Volume Down,,,,,,,
brightness,167,,up arrow,02 - up arrow,Display Brightness,,,,,,,
discrete on,171,,down arrow,03 - down arrow,Discrete Power On,,,,,,,
discrete off,164,,left arrow,00 - left arrow,Discrete Power Off,,,,,,,
preset A1,230,,right arrow,01 - right arrow,Internet Radio A1 Preset,,,,,,,
preset A2,234,,ok,04 - select,Internet Radio A2 Preset,,,,,,,
preset A3,197,,sleep,,Internet Radio A3 Preset,,,,,,,
preset A4,201,,pip,,Internet Radio A4 Preset,,,,,,,
preset A5,199,,info,,Internet Radio A5 Preset,,,,,,,
preset A6,203,,swap,,Internet Radio A6 Preset,,,,,,,
preset B1,196,,move,,Internet Radio B1 Preset,,,,,,,
preset B2,200,,play,09 - play,Internet Radio B2 Preset,,,,,,,
preset B3,198,,pause,14 - pause,Internet Radio B3 Preset,,,,,,,
preset B4,202,,rewind,12 - rewind,Internet Radio B4 Preset,,,,,,,
,,,fast fwd,10 - fast fwd,,,,,,,,
,,,stop,,,,,,,,,
,,,record,,,,,,,,,
,,,exit,05 - exit,,,,,,,,
,,,CC,16 - shuffle,,,,,,,,
