Name:,Vintage Technics,,,,v7.33,,,,,,,CURRENT DATA
Devices:,Manual Settings,,,,,,,,,,,
Manual:,,0 = 1-byte,MSB,88,NO,,,,,,,
Setup,1888,01 = 15-1994,01 - Cable,OBC,USE,,,,,,,
Device Upgrade Code:,,,,Protocol Code:,,,,,,,,
Upgrade code 0 = 0F 60 (Cable/1888),,,,Upgrade protocol 0 = 01 1D (S3C8),,,,,,,,
1D 00 D5 00 00 08 10 18 20 28 30 38 00 A0 B8 60,,,,4E A0 01 8B 0E 8C 42 05 05 01 E8 0D 31 01 E8 05,,,,,,,,
98 50,,,,9D 6F 54 20 11 E4 03 04 60 04 8D 01 33,,,,,,,,
End,,,,End,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,Key Move Code:,,,229,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
fFunctions,fOBC,fByte2,bButtons,bFunctions,fNotes,Device Combiner,,kmFunctions,kBoundDev,kBoundKey,kShift,b$-Functions
num 0,,,0,,,Protocol ID,Fixed Data,,,,,
num 1,000,,1,00 - num 1,,,,,,,,
num 2,008,,2,01 - num 2,,,,,,,,
num 3,016,,3,02 - num 3,,,,,,,,
num 4,024,,4,03 - num 4,,,,,,,,
num 5,032,,5,04 - num 5,,,,,,,,
num 6,040,,6,05 - num 6,,,,,,,,
num 7,048,,7,06 - num 7,,,,,,,,
num 8,056,,8,07 - num 8,,,,,,,,
num 9,,,9,,,,,,,,,
vol up,160,,vol up,08 - vol up,,,,,,,,
vol down,184,,vol down,09 - vol down,,,,,,,,
mute,096,,mute,10 - mute,,,,,,,,
channel up,,,channel up,,,,,,,,,
channel down,,,channel down,,,,,,,,,
power,152,,power,11 - power,,,,,,,,
enter,,,enter,,,,,,,,,
tv/vcr,080,,tv/vcr,12 - tv/vcr,,,,,,,,
last (prev ch),,,last,,,,,,,,,
menu,,,menu,,,,,,,,,
program guide,,,program / guide,,,,,,,,,
up arrow,,,up arrow,,,,,,,,,
down arrow,,,down arrow,,,,,,,,,
left arrow,,,left arrow,,,,,,,,,
right arrow,,,right arrow,,,,,,,,,
select,,,select,,,,,,,,,
sleep,,,sleep,,,,,,,,,
pip on/off,,,pip,,,,,,,,,
display,,,display,,,,,,,,,
pip swap,,,swap,,,,,,,,,
pip move,,,move,,,,,,,,,
play,,,play,,,,,,,,,
pause,,,pause,,,,,,,,,
rewind,,,rewind,,,,,,,,,
fast fwd,,,fast fwd,,,,,,,,,
stop,,,stop,,,,,,,,,
record,,,record,,,,,,,,,
exit,,,exit,,,,,,,,,
surround,,,surround,,,,,,,,,
input toggle,,,input,,,,,,,,,
+100,,,+100,,,,,,,,,
fav/scan,,,fav/scan,,,,,,,,,
device button,,,device button,,,,,,,,,
next track,,,next track,,,,,,,,,
