Name:,Speco Technologies,,,,v9.13,,,,,,,CURRENT DATA,
Devices:,NEC1,134,107,,,,,,,,,,
Manual:,,0 = 1-byte,LSB-COMP,88,NO,,,,,,,,
Setup:,2000,99 = URC-6131 PVR,01 - Cable,OBC,USE,20 9E 29,1,No,,,,,
URC-6131 PVR Device Upgrade Code:,,,,,,,,,,,,,
Upgrade Code 0 = 07 D0 (Cable/2000) Speco Technologies (KM v9.13),,,,,,,,,,,,,
5A 00 8E 3E 80 1E C1 20 9E 29 FE DE 5E 9E 0E 1E EE 6E 36 AE 74 64 D4 F4 A6 86 26 06 4C 8C 84 44 B4 8C A4,,,,,,,,,,,,,
End,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
Protocol Code:,,,,,,,,,,,,,
Upgrade Protocol 0 = 00 5A (S3C8+) NEC1 (KM v9.13),,,,,,,,,,,,,
43 8B 31 8B 12 CF 44 08 08 01 18 01 06 01 18 03 39 D2 DC 11 94 08 B6 20 01 08 03 37 04 15 F6 01 46 FB 10 37 0B 07 E4 05 04 60 05 8B 0E B6 04 80 B6 05 80 37 0B 05 E4 04 05 60 05 E4 06 07 60 07 20 11 37 06 05 F6 01 04 7B 12 37 09 15 37 02 06 F6 01 49 F6 01 46 37 01 03 46 29 0D 46 29 01 8D 01 49 E4 20 1E E4 21 1F 37 01 EB F6 01 49 E6 28 C1 60 04 E6 12 01 8B E4,,,,,,,,,,,,,
End,,,,,,,,,,,,,
Key Move Code:,,,226,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
fFunctions,fOBC,fByte2,bButtons,bFunctions,fNotes,Device Combiner,,kFunctions,kBoundDev,kBoundKey,kShift,b$Functions,bBtnCd
channel 1,132,,0,09 - channel 10,set/go preset,Protocol ID,Fixed Data,,,,,,1F
channel 2,133,,1,00 - channel 1,,,,,,,,,15
channel 3,134,,2,01 - channel 2,,,,,,,,,16
channel 4,143,,3,02 - channel 3,,,,,,,,,17
channel 5,135,,4,03 - channel 4,toggle hint screen,,,,,,,,19
channel 6,136,,5,04 - channel 5,,,,,,,,,1A
channel 7,137,,6,05 - channel 6,,,,,,,,,1B
channel 8,147,,7,06 - channel 7,,,,,,,,,1C
channel 9,138,,8,07 - channel 8,,,,,,,,,1D
channel 10,128,,9,08 - channel 9,,,,,,,,,1E
channel 11,151,,vol up,,,,,,,,,,04
channel 12,144,,vol down,,,,,,,,,,05
channel 13,141,,mute,,,,,,,,,,08
channel 14,142,,channel up,,,,,,,,,,06
channel 15,144,,channel down,,,,,,,,,,07
channel 16,153,,power,,,,,,,,,,03
,,,enter,,,,,,,,,,12
up arrow,154,,tv/vid,,pan/tilt,,,,,,,,13
down arrow,158,,prev,,pan/tilt,,,,,,,,23
left arrow,155,,menu,25 - menu,pan/tilt,,,,,,,,21
right arrow,159,,guide,23 - mode,pan/tilt,,,,,,,,14
enter/zoom,212,,up arrow,16 - up arrow,enter / auto,,,,,,,,31
,,,down arrow,17 - down arrow,,,,,,,,,32
escape,208,,left arrow,18 - left arrow,,,,,,,,,33
dome,217,,right arrow,19 - right arrow,enter dome mode,,,,,,,,34
mode,205,,select,20 - enter/zoom,iris open,,,,,,,,35
sequence,221,,angle/sleep,,focus near,,,,,,,,26
menu,209,,pip,,zoom in,,,,,,,,2F
call,218,,info,22 - dome,,,,,,,,,18
play / stop,206,,swap,,iris close,,,,,,,,20
freeze,222,,move,,focus far,,,,,,,,30
search,210,,play,27 - play / stop,zoom out,,,,,,,,0C
,,,pause (yellow),28 - freeze,,,,,,,,,0F
,,,rewind,24 - sequence,,,,,,,,,0B
,,,fast fwd,29 - search,,,,,,,,,0D
,,,stop,27 - play / stop,,,,,,,,,0E
,,,record,26 - call,,,,,,,,,10
,,,exit,21 - escape,,,,,,,,,24
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,next track,,,,,,,,,,2B
,,,prev track,,,,,,,,,,2A
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,slow,,,,,,,,,,2E
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,phantom1,,,,,,,,,,3D
,,,phantom2,,,,,,,,,,3E
,,,phantom3,,,,,,,,,,3F
,,,phantom4,,,,,,,,,,40
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,setup,,,,,,,,,,02
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,subtitle,,,,,,,,,,25
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
