Name:,Pioneer CLD-M450 (Laserdisc/CD chgr),,,,v9.19,,,,,,,,CURRENT DATA
Devices:,Pioneer,168,,,,,,,,,,,
Manual:,,0 = 1-byte,LSB-COMP,88,NO,,,,,,,,
Setup:,0059,99 = URC-6131 PVR,09 - Laserdisc,OBC,USE,EA,1,Yes,,,,,
URC-6131 PVR Device Upgrade/Key Move Code:,,,,,,,,,,,,,
Upgrade Code 0 = 20 3B (Laserdisc/0059) Pioneer CLD-M450 (Laserdisc/CD chgr) (KM v9.19),,,,,,,,,,,,,
E2 04 1E DA FC 74 B9 EA C7 17 E7 77 F7 97 0F 3D 5D 1D 9D 55 E5 37 47 07 B5 35 CF CD DD D5 F5,,,,,,,,,,,,,
KeyMoves,,,,,,,,,,,,,
 95 F3 20 3B 73«CD Disc 1» ¦96 F3 20 3B B3«CD Disc 2» ¦97 F3 20 3B 33«CD Disc 3» ¦99 F3 20 3B D3«CD Disc 4» ¦9A F3 20 3B 53«CD Disc 5» ¦B7 F3 20 3B 87«Audio»  ,,,,,,,,,,,,,
End,,,,,,,,,,,,,
Protocol Code:,,,,,,,,,,,,,
Upgrade Protocol 0 = 00 E2 (S3C8+) Pioneer (KM v9.19),,,,,,,,,,,,,
40 84 11 8B 12 E5 45 08 08 00 FF 00 FF 00 FF 03 16 AD 90 10 A9 08 43 8D 01 46,,,,,,,,,,,,,
End,,,,,,,,,,,,,
Key Move Code:,,,898,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
fFunctions,fOBC,fByte2,bButtons,bFunctions,fNotes,Device Combiner,,kFunctions,kBoundDev,kBoundKey,kShift,b$Functions,bBtnCd
0,000,,0,00 - 0,,Protocol ID,Fixed Data,,,,,,1F
1,001,,1,01 - 1,,,,,,,,40 - CD Disc 1,15
2,002,,2,02 - 2,,,,,,,,41 - CD Disc 2,16
3,003,,3,03 - 3,,,,,,,,42 - CD Disc 3,17
4,004,,4,04 - 4,,,,,,,,43 - CD Disc 4,19
5,005,,5,05 - 5,,,,,,,,44 - CD Disc 5,1A
6,006,,6,06 - 6,,,,,,,,,1B
7,007,,7,07 - 7,,,,,,,,,1C
8,008,,8,08 - 8,,,,,,,,,1D
9,009,,9,09 - 9,,,,,,,,,1E
audio digital / analog (CX),012,,vol up,,,,,,,,,,04
CX*,014,,vol down,,not on OEM remote,,,,,,,,05
tv/ldp*,015,,mute,,not on OEM remote,,,,,,,,08
fast forward,016,,channel up,,,,,,,,,,06
rewind,017,,channel down,,,,,,,,,,07
Chapter-Frame-Time,019,,power,20 - power,,,,,,,,,03
Disc Side Toggle*,021,,enter,23 - +10,not on OEM remote,,,,,,,,12
Stop/Eject,022,,tv/vid,12 - tv/ldp*,,,,,,,,,13
play,023,,prev,,,,,,,,,,23
pause,024,,menu,,,,,,,,,,21
power,028,,guide,15 - Chapter-Frame-Time,,,,,,,,,14
edit,029,,up arrow,51 - Multi-Speed +,,,,,,,,,31
Audio,030,,down arrow,50 - Multi-Speed -,,,,,,,,,32
+10,031,,left arrow,64 - Multi-Speed <,,,,,,,,,33
Jog Forward*,032,,right arrow,66 - Multi-Speed >,not on OEM remote,,,,,,,,34
