Name:,Pioneer LaserDisc,,,,v8.05,,,,,,,CURRENT DATA
Devices:,Pioneer,168,,,,,,,,,,
Manual:,,0 = 1-byte,LSB-COMP,88,NO,,,,,,,
Setup:,0059,99 = 15-2117 / 15-2116,09 - Laserdisc,OBC,USE,,,,,,,
15-2117 / 15-2116 Device Upgrade Code:,,,,,,,,,,,,
Upgrade Code 0 = 30 3B (Laserdisc/0059),,,,,,,,,,,,
E2 04 3E FE FD EA B5 35 C7 17 97 77 F7 E7 CD BF EF DF 9F BD 87 3D 5D 07 0F,,,,,,,,,,,,
End,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
Protocol Code:,,,,,,,,,,,,
Upgrade Protocol 0 = 00 E2 (S3C8+),,,,,,,,,,,,
40 84 11 8B 12 E5 45 08 08 00 FF 00 FF 00 FF 03 16 AD 90 10 A9 08 43 8D 01 46,,,,,,,,,,,,
End,,,,,,,,,,,,
Key Move Code:,,,205,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
fFunctions,fOBC,fByte2,bButtons,bFunctions,fNotes,Device Combiner,,kFunctions,kBoundDev,kBoundKey,kShift,b$Functions
num 0,000,,0,00 - num 0,,Protocol ID,Fixed Data,,,,,
num 1,001,,1,01 - num 1,,,,,,,,
num 2 / UP,002,,2,02 - num 2 / UP,,,,,,,,
num 3,003,,3,03 - num 3,,,,,,,,
num 4 / LEFT,004,,4,04 - num 4 / LEFT,,,,,,,,
num 5,005,,5,05 - num 5,,,,,,,,
num 6 / RIGHT,006,,6,06 - num 6 / RIGHT,,,,,,,,
num 7,007,,7,07 - num 7,,,,,,,,
num 8 / DOWN,008,,8,08 - num 8 / DOWN,,,,,,,,
num 9,009,,9,09 - num 9,,,,,,,,
TV/VCR,015,,vol up,,,,,,,,,
FFWD,016,,vol down,,,,,,,,,
REW,017,,mute,,,,,,,,,
chapframe-tracktime,019,,channel up,28 - Channel UP,,,,,,,,
reject,022,,channel down,29 - Channel DOWN,,,,,,,,
PLAY,023,,power,17 - POWER,,,,,,,,
PAUSE,024,,enter,19 - ENTER,,,,,,,,
POWER,028,,tv/video,10 - TV/VCR,,,,,,,,
audio,030,,last,,,,,,,,,
ENTER,031,,menu,26 - MENU,,,,,,,,
search,066,,guide,18 - audio,,,,,,,,
DISPLAY,067,,up arrow,02 - num 2 / UP,,,,,,,,
repeatmode,068,,down arrow,08 - num 8 / DOWN,,,,,,,,
clear,069,,left arrow,04 - num 4 / LEFT,,,,,,,,
speeddown,070,,right arrow,06 - num 6 / RIGHT,,,,,,,,
speedup,071,,select,20 - search,,,,,,,,
MENU,076,,sleep,,,,,,,,,
steprev,080,,pip,,,,,,,,,
Channel UP,082,,info,21 - DISPLAY,,,,,,,,
Channel DOWN,083,,swap,,,,,,,,,
stepfwd,084,,move,,,,,,,,,
multirev,085,,play,15 - PLAY,,,,,,,,
multifwd,088,,pause,16 - PAUSE,,,,,,,,
,,,rewind,12 - REW,,,,,,,,
,,,fast fwd,11 - FFWD,,,,,,,,
,,,stop,14 - reject,,,,,,,,
,,,record,,,,,,,,,
,,,exit,23 - clear,,,,,,,,
,,,surround,,,,,,,,,
,,,input,,,,,,,,,
