Name:,Pioneer Laser LD-W1,,,,v8.06,,,,,,,CURRENT DATA
Devices:,Pioneer,168,,,,,,,,,,
Manual:,,0 = 1-byte,LSB-COMP,88,NO,,,,,,,
Setup:,0059,24 = URC-881x / 801x / 601x,09 - Laserdisc,OBC,USE,,,,,,,
URC-881x / 801x / 601x Device Upgrade Code:,,,,,,,,,,,,
Upgrade Code 0 = 10 3B (Laserdisc/0059),,,,,,,,,,,,
E2 06 06 5E CC E1 EA 5D F7 F5 E7 17 97 77 D5 37 3D BD 57 B5 35,,,,,,,,,,,,
End,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
Protocol Code:,,,,,,,,,,,,
Upgrade Protocol 0 = 00 E2 (S3C8+),,,,,,,,,,,,
40 84 11 8B 12 E5 45 08 08 00 FF 00 FF 00 FF 03 16 AD 90 10 A9 08 43 8D 01 46,,,,,,,,,,,,
End,,,,,,,,,,,,
Key Move Code:,,,220,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
fFunctions,fOBC,fByte2,bButtons,bFunctions,fNotes,Device Combiner,,kFunctions,kBoundDev,kBoundKey,kShift,b$Functions
num 0,000,,0,00 - num 0,,Protocol ID,Fixed Data,,,,,
num 1,001,,1,01 - num 1,,,,,,,,
num 2,002,,2,02 - num 2,,,,,,,,
num 3,003,,3,03 - num 3,,,,,,,,
num 4,004,,4,04 - num 4,,,,,,,,
num 5,005,,5,05 - num 5,,,,,,,,
num 6,006,,6,06 - num 6,,,,,,,,
num 7,007,,7,07 - num 7,,,,,,,,
num 8,008,,8,08 - num 8,,,,,,,,
num 9,009,,9,09 - num 9,,,,,,,,
auto digital/analog,012,,vol up,,,,,,,,,
CX,014,,vol down,,,,,,,,,
TV/LDP,015,,mute,,,,,,,,,
scan fwd,016,,channel up,,,,,,,,,
scan rev,017,,channel down,,,,,,,,,
chapter/frame.time,019,,power,,,,,,,,,
disc side toggle,021,,enter,38 - search/memory,,,,,,,,
eject,022,,tv/vid,16 - disc side toggle,,,,,,,,
play,023,,prev,,,,,,,,,
pause,024,,menu,,,,,,,,,
audio monitor,030,,guide,,,,,,,,,
jog fwd (slow),032,,up arrow,,,,,,,,,
jog fwd (med),033,,down arrow,,,,,,,,,
jog fwd (fast),034,,left arrow,52 - step rev,,,,,,,,
jog fwd (fastest),035,,right arrow,55 - step fwd,,,,,,,,
jog rev (slow),036,,select,15 - chapter/frame.time,,,,,,,,
jog rev (med),037,,sleep,,,,,,,,,
jog rev (fast),038,,pip,,,,,,,,,
jog rev (fastest),039,,info,39 - display,,,,,,,,
shuttle fwd 2x,040,,swap,,,,,,,,,
shuttle fwd 5x,041,,move,,,,,,,,,
shuttle fwd 10x,042,,play,18 - play,,,,,,,,
shuttle fwd 20x,043,,pause,19 - pause,,,,,,,,
shuttle rev 2x,044,,rewind,14 - scan rev,,,,,,,,
shuttle rev 5x,045,,fwd,13 - scan fwd,,,,,,,,
shuttle rev 10x,046,,stop,,,,,,,,,
shuttle rev 20x,047,,record,17 - eject,,,,,,,,
frame/time search,065,,exit,41 - clear,,,,,,,,
search/memory,066,,surround,,,,,,,,,
display,067,,input,,,,,,,,,
