Name:,Pioneer laser 1100 remote,,,,v8.06,,,,,,,CURRENT DATA
Devices:,Akai,3,,,,,,,,,,
Manual:,,0 = 1-byte,LSB-COMP,28,NO,,,,,,,
Setup:,0023,24 = URC-881x / 801x / 601x,09 - Laserdisc,EFC,USE,,,,,,,
URC-881x / 801x / 601x Device Upgrade Code:,,,,,,,,,,,,
Upgrade Code 0 = 10 17 (Laserdisc/0023),,,,,,,,,,,,
0D 00 A2 FE C4 E1 C0 7B 3B 5B 1B 6B 2B 4B 0B 73 33 1F 77 5F 67 37 53 57 2F 07 0F 6F 17 47 27 3F 4F,,,,,,,,,,,,
End,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
Protocol Code:,,,,,,,,,,,,
Upgrade Protocol 0 = 00 0D (S3C8+),,,,,,,,,,,,
3D 91 11 8B 0E C5 41 02 08 00 8E 01 6C 00 8E 03 7B 31 56 8D 01 46,,,,,,,,,,,,
End,,,,,,,,,,,,
Key Move Code:,,,220,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
fFunctions,fEFC,fByte2,bButtons,bFunctions,fNotes,Device Combiner,,kFunctions,kBoundDev,kBoundKey,kShift,b$Functions
num 0,217,,0,00 - num 0,,Protocol ID,Fixed Data,,,,,
num 1,219,,1,01 - num 1,,,,,,,,
num 2,216,,2,02 - num 2,,,,,,,,
num 3,218,,3,03 - num 3,,,,,,,,
num 4,089,,4,04 - num 4,,,,,,,,
num 5,091,,5,05 - num 5,,,,,,,,
num 6,088,,6,06 - num 6,,,,,,,,
num 7,090,,7,07 - num 7,,,,,,,,
num 8,153,,8,08 - num 8,,,,,,,,
num 9,155,,9,09 - num 9,,,,,,,,
frame,152,,vol up,,,,,,,,,
chapter,249,,vol down,,,,,,,,,
reject,250,,mute,,,,,,,,,
search,122,,channel up,15 - slow fwd,,,,,,,,
slow rev,121,,channel down,14 - slow rev,,,,,,,,
slow fwd,186,,power,,,,,,,,,
3x fast rev,056,,enter,24 - audio 1/L,,,,,,,,
3x fast fwd,187,,tv/vid,25 - audio 2/R,,,,,,,,
scan rev,058,,prev,,,,,,,,,
scan fwd,184,,menu,10 - frame,,,,,,,,
step rev,123,,guide,11 - chapter,,,,,,,,
step fwd,057,,up arrow,,,,,,,,,
play,059,,down arrow,,,,,,,,,
pause,120,,left arrow,20 - step rev,,,,,,,,
audio 1/L,248,,right arrow,21 - step fwd,,,,,,,,
audio 2/R,251,,select,13 - search,,,,,,,,
,,,sleep,,,,,,,,,
,,,pip,,,,,,,,,
,,,info,,,,,,,,,
,,,swap,,,,,,,,,
,,,move,,,,,,,,,
,,,play,22 - play,,,,,,,,
,,,pause,23 - pause,,,,,,,,
,,,rewind,18 - scan rev,,,,,,,,
,,,fwd,19 - scan fwd,,,,,,,,
,,,stop,,,,,,,,,
,,,record,12 - reject,,,,,,,,
,,,exit,,,,,,,,,
,,,surround,,,,,,,,,
,,,input,,,,,,,,,
,,,+100,,,,,,,,,
,,,fav,,,,,,,,,
,,,device button,,,,,,,,,
,,,f fwd,17 - 3x fast fwd,,,,,,,,
,,,f rew,16 - 3x fast rev,,,,,,,,
,,,shift-left,,,,,,,,,
,,,shift-right,,,,,,,,,
,,,pip freeze,,,,,,,,,
,,,slow,,,,,,,,,
,,,eject,,,,,,,,,
,,,slow+,,,,,,,,,
,,,slow-,,,,,,,,,
,,,x2,,,,,,,,,
,,,center,,,,,,,,,
,,,rear,,,,,,,,,
,,,phantom1,,,,,,,,,
,,,phantom2,,,,,,,,,
,,,phantom3,,,,,,,,,
,,,phantom4,,,,,,,,,
,,,phantom5,,,,,,,,,
,,,phantom6,,,,,,,,,
,,,phantom7,,,,,,,,,
,,,phantom8,,,,,,,,,
,,,phantom9,,,,,,,,,
,,,phantom10,,,,,,,,,
,,,setup,,,,,,,,,
,,,light,,,,,,,,,
,,,home theater,,,,,,,,,
,,,M1,,,,,,,,,
,,,M2,,,,,,,,,
,,,M3,,,,,,,,,
,,,M4,,,,,,,,,
,,,L1,,,,,,,,,
,,,L2,,,,,,,,,
,,,L3,,,,,,,,,
,,,L4,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
