Name:,Rotel RCD-950 CD Player,,,,v8.24,,,,,,,CURRENT DATA
Devices:,NEC1,131,18,,,,,,,,,
Manual:,,0 = 1-byte,LSB-COMP,88,NO,,,,,,,
Setup:,2001,24 = URC-881x / 801x / 601x,04 - CD,EFC,USE,20 3E B7,1,,,,,
URC-881x / 801x / 601x Device Upgrade Code:,,,,,,,,,,,,
Upgrade Code 0 = 27 D1 (CD/2001) Rotel RCD-950 CD Player (KM v8.24),,,,,,,,,,,,
5A 00 8C EC CF 20 3E B7 B7 6F 47 07 4F 67 27 77 57 17 BF 87 FF 2F 37 AF 7F 0F F7 97 A7 8F,,,,,,,,,,,,
End,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
Protocol Code:,,,,,,,,,,,,
Upgrade Protocol 0 = 00 5A (S3C8+) NEC1 (KM v8.24),,,,,,,,,,,,
43 8B 31 8B 12 CF 44 08 08 01 18 01 06 01 18 03 39 D2 DC 11 94 08 B6 20 01 08 03 37 04 15 F6 01 46 FB 10 37 0B 07 E4 05 04 60 05 8B 0E B6 04 80 B6 05 80 37 0B 05 E4 04 05 60 05 E4 06 07 60 07 20 11 37 06 05 F6 01 04 7B 12 37 09 15 37 02 06 F6 01 49 F6 01 46 37 01 03 46 29 0D 46 29 01 8D 01 49 E4 20 1E E4 21 1F 37 01 EB F6 01 49 E6 28 C1 60 04 E6 12 01 8B E4,,,,,,,,,,,,
End,,,,,,,,,,,,
Key Move Code:,,,220,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
fFunctions,fEFC,fByte2,bButtons,bFunctions,fNotes,Device Combiner,,kFunctions,kBoundDev,kBoundKey,kShift,b$Functions
num 0,119,,0,00 - num 0,10,Protocol ID,Fixed Data,num 0,,,,
num 1,057,,1,01 - num 1,,,,num 1,,,,
num 2,248,,2,02 - num 2,,,,num 2,,,,
num 3,250,,3,03 - num 3,,,,num 3,,,,
num 4,056,,4,04 - num 4,,,,num 4,,,,
num 5,249,,5,05 - num 5,,,,num 5,,,,
num 6,251,,6,06 - num 6,,,,num 6,,,,
num 7,121,,7,07 - num 7,,,,num 7,,,,
num 8,120,,8,08 - num 8,,,,num 8,,,,
num 9,122,,9,09 - num 9,,,,num 9,,,,
vol up,,,vol up,,,,,up arrow,,,,
vol down,,,vol down,,,,,down arrow,,,,
mute,,,mute,,,,,left arrow,,,,
channel up,,,channel up,,,,,right arrow,,,,
channel down,,,channel down,,,,,tv/vcr,,,,
power,,,power,,,,,play,,,,
menu,,,enter,,,,,pause,,,,
program/guide,,,tv/vid,14 - tv/vcr,,,,rewind,,,,
display/info,,,prev,,,,,fast fwd,,,,
exit,,,menu,,,,,stop,,,,
up arrow,117,,guide,,eject,,,f.fwd/next track,,,,
down arrow,183,,up arrow,10 - up arrow,time cycle,,,f.rew/prev track,,,,
left arrow,181,,down arrow,11 - down arrow,random,,,,,,,
right arrow,185,,left arrow,12 - left arrow,repeat cycle,,,,,,,
select,,,right arrow,13 - right arrow,,,,,,,,
enter,,,select,,,,,,,,,
tv/vcr,118,,sleep,,10+,,,,,,,
last/prev ch,,,pip,,,,,,,,,
sleep,,,info,,,,,,,,,
play,123,,swap,,,,,,,,,
pause,059,,move,,,,,,,,,
rewind,055,,play,15 - play,,,,,,,,
