Name:,JVC CD changer,,,,v7.32,,,,,,,CURRENT DATA
Devices:,JVC,179,,,,,,,,,,
Manual:,,0 = 1-byte,LSB-COMP,88,NO,,,,,,,
Setup,1072,01 = 15-1994,04 - CD,EFC,USE,,,,,,,
Device Upgrade/Key Move Code:,,,,Protocol Code:,,,,,,,,
Upgrade code 0 = 34 30 (CD/1072),,,,Upgrade protocol 0 = 00 34 (S3C8),,,,,,,,
34 00 BE 7E 7E A1 32 F9 79 B9 39 D9 59 99 19 E9,,,,43 8B 11 8B 19 C5 C9 80 20 08 08 01 07 00 F4 01,,,,,,,,
69 65 E5 FD 09 89 25 71 65 E5 F1 91 11 B1 D5 CD,,,,07 03 03 73 50 10 7C 08 2A 00 00 00 5A 95 20 0D,,,,,,,,
4D F1 91 3D 49,,,,20 0D 8D 01 33,,,,,,,,
KeyMoves,,,,End,,,,,,,,
2F F3 34 30 A9 95 F3 34 30 61 96 F3 34 30 A1 97,,,,,,,,,,,,
F3 34 30 21 99 F3 34 30 C1 9A F3 34 30 41 84 F3,,,,,,,,,,,,
34 30 47 85 F3 34 30 A7 88 F3 34 30 05 93 F3 34,,,,,,,,,,,,
30 B1 B3 F3 34 30 15 B4 F3 34 30 95 AF F3 34 30,,,,,,,,,,,,
55 B0 F3 34 30 09,,,,,,,,Key Move Code:,,,229,
End,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
fFunctions,fEFC,fByte2,bButtons,bFunctions,fNotes,Device Combiner,,kmFunctions,kBoundDev,kBoundKey,kShift,b$-Functions
num 0,197,,0,00 - num 0,,Protocol ID,Fixed Data,,,,,
num 1,201,,1,01 - num 1,,,,,,,,35 - disc 1
num 2,199,,2,02 - num 2,,,,,,,,36 - disc 2
num 3,203,,3,03 - num 3,,,,,,,,37 - disc 3
num 4,196,,4,04 - num 4,,,,,,,,38 - disc 4
num 5,200,,5,05 - num 5,,,,,,,,39 - disc 5
num 6,198,,6,06 - num 6,,,,,,,,
num 7,202,,7,07 - num 7,,,,,,,,
num 8,069,,8,08 - num 8,,,,,,,,
num 9,073,,9,09 - num 9,,,,,,,,
vol up,248,,vol up,,n/a,,,,,,,10 - vol up
vol down,247,,vol down,,n/a,,,,,,,11 - vol down
mute,234,,mute,,n/a,,,,,,,12 - mute
channel up,,,channel up,19 - track up,,,,,,,,
channel down,,,channel down,20 - track down,,,,,,,,
power,165,,power,13 - power,n/a,,,,,,,
plus 10,074,,enter,14 - plus 10,,,,,,,,
10,070,,tv/vcr,15 - 10,,,,,,,,
last (prev ch),135,,last,34 - repeat,n/a,,,,,,,16 - last (prev ch)
memory,071,,menu,,n/a,,,,,,,
program,137,,program / guide,18 - program,,,,,,,,
track up,233,,up arrow,19 - track up,,,,,,,,
track down,229,,down arrow,20 - track down,,,,,,,,
left arrow,106,,left arrow,26 - reverse,,,,,,,,21 - left arrow
right arrow,102,,right arrow,27 - fast fwd,,,,,,,,22 - right arrow
select,,,select,30 - continue,,,,,,,,
sleep,,,sleep,,,,,,,,,
pip on/off,,,pip,,,,,,,,,
display,100,,display,23 - display,,,,,,,,
pip swap,,,swap,17 - memory,,,,,,,,32 - call
pip move,,,move,,,,,,,,,
play,036,,play,24 - play,,,,,,,,
pause,040,,pause,25 - pause,,,,,,,,
reverse,133,,rewind,26 - reverse,,,,,,,,
fast fwd,134,,fast fwd,27 - fast fwd,,,,,,,,
stop,171,,stop,28 - stop,,,,,,,,
record,,,record,,,,,,,,,
