Name:,Pioneer PD-F905 CD 2005,,,,v8.27,,,,,,,CURRENT DATA
Devices:,Pioneer 2CMD,162,,,,,,,,,,
Manual:,,0 = 1-byte,LSB-COMP,88,NO,,,,,,,
Setup:,2005,27 = URC-9910 / 8910 / UEI HTPro,04 - CD,OBC,USE,45,2,,,,,
URC-9910 / 8910 / UEI HTPro Device Upgrade/Key Move Code:,,,,,,,,,,,,
Upgrade Code 0 = 97 D5 (CD/2005) Pioneer PD-F905 CD 2005 (KM v8.27),,,,,,,,,,,,
5F 00 BE FE FF 45 00 00 80 80 40 40 C0 C0 20 20 A0 A0 60 60 E0 E0 10 10 90 90 08 08 88 88 38 38 83 39 B8 B8 83 C9 F0 F0 70 70 E8 E8 02 02 43 D9 63 C9 52 52 18 18 C2 C2 7A 7A 68 68 B0 B0 08 08 88 88,,,,,,,,,,,,
KeyMoves,,,,,,,,,,,,
 14 F4 97 D5 82 82«disk set: PD-F905»  ¦37 F4 97 D5 A2 A2«exit /clear: Doesn't Exist On Original Remote» ,,,,,,,,,,,,
End,,,,,,,,,,,,
Protocol Code:,,,,,,,,,,,,
Upgrade Protocol 0 = 00 5F (S3C8+) Pioneer 2CMD (KM v8.27),,,,,,,,,,,,
3F 84 12 8B 12 E5 44 08 08 01 06 03 00 01 06 00 F2 D2 DC 10 13 08 51 F6 01 46 20 10 F6 01 46 00 10 F6 01 0A 7B F1 AF,,,,,,,,,,,,
End,,,,,,,,,,,,
Key Move Code:,,,198,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
fFunctions,fOBC,fByte2,bButtons,bFunctions,fNotes,Device Combiner,,kFunctions,kBoundDev,kBoundKey,kShift,b$Functions
num 0,000,0,0,00 - num 0,PD-F905,Protocol ID,Fixed Data,,,,,
num 1,001,1,1,01 - num 1,PD-F905,,,,,,,
num 2,002,2,2,02 - num 2,PD-F905,,,,,,,
num 3,003,3,3,03 - num 3,PD-F905,,,,,,,
num 4,004,4,4,04 - num 4,PD-F905,,,,,,,
num 5,005,5,5,05 - num 5,PD-F905,,,,,,,
num 6,006,6,6,06 - num 6,PD-F905,,,,,,,
num 7,007,7,7,07 - num 7,PD-F905,,,,,,,
num 8,008,8,8,08 - num 8,PD-F905,,,,,,,
num 9,009,9,9,09 - num 9,PD-F905,,,,,,,
power,028,28,vol up,,PD-F905,,,,,,,
time,067,67,vol down,,PD-F905,,,,,,,
play,023,23,mute,,PD-F905,,,,,,,
pause,024,24,channel up,18 - next track,PD-F905,,,,,,,
rewind,015,15,channel down,19 - prev track,Doesn't Exist On Original Remote,,,,,,,
fast fwd,014,14,power,10 - power,Doesn't Exist On Original Remote,,,,,,,
stop,022,22,enter,26 - track set,PD-F905,,,,,,,
last (prev ch),198,147,tv/vid,21 - best,PD-F905,,,,,,,
next track,016,16,prev,17 - last (prev ch),PD-F905,,,,,,,
prev track,017,17,menu,25 - disk set,PD-F905,,,,,,,
hi-lite,094,94,guide,23 - mode,PD-F905,,,,,,,
best,194,155,up arrow,27 - disk +,PD-F905,,,,,,,
repeat,012,12,down arrow,28 - disk -,PD-F905,,,,,,,
mode,193,156,left arrow,14 - rewind,PD-F905,,,,,,,
pgm,013,13,right arrow,15 - fast fwd,PD-F905,,,,,,,
disk set,065,65,select,12 - play,PD-F905,,,,,,,
track set,064,64,sleep,,PD-F905,,,,,,,
disk +,029,29,pip,,PD-F905,,,,,,,
disk -,193,147,info,,PD-F905,,,,,,,
random,074,74,swap,,PD-F905,,,,,,,
exit /clear,069,69,move,,Doesn't Exist On Original Remote,,,,,,,
,,,play,29 - random,,,,,,,,
,,,pause,13 - pause,,,,,,,,
,,,rewind,11 - time,,,,,,,,
,,,fwd,20 - hi-lite,,,,,,,,
,,,stop,16 - stop,,,,,,,,
,,,record,24 - pgm,,,,,,,,
,,,exit,30 - exit /clear,,,,,,,,
,,,surround,,,,,,,,,
,,,input,,,,,,,,,
,,,+100,,,,,,,,,
,,,fav/scan,,,,,,,,,
,,,device button,,,,,,,,,
,,,f fwd,18 - next track,,,,,,,,
,,,f rew,19 - prev track,,,,,,,,
,,,com/skip,,,,,,,,,
,,,shift-right,,,,,,,,,
,,,pip freeze,,,,,,,,,
,,,slow,,,,,,,,,
,,,eject,,,,,,,,,
,,,slow+,,,,,,,,,
,,,slow-,,,,,,,,,
,,,x2,,,,,,,,,
,,,center,,,,,,,,,
,,,rear,,,,,,,,,
,,,phantom1,,,,,,,,,
,,,phantom2,,,,,,,,,
,,,phantom3,,,,,,,,,
,,,phantom4,,,,,,,,,
,,,phantom5,,,,,,,,,
,,,phantom6,,,,,,,,,
,,,phantom7,,,,,,,,,
,,,phantom8,,,,,,,,,
,,,phantom9,,,,,,,,,
,,,phantom10,,,,,,,,,
,,,setup,,,,,,,,,
,,,light,,,,,,,,,
,,,home theater,,,,,,,,,
,,,M1,,,,,,,,,
,,,M2,,,,,,,,,
,,,M3,,,,,,,,,
,,,macro4,,,,,,,,,
,,,L1,,,,,,,,,
,,,L2,,,,,,,,,
,,,L3,,,,,,,,,
,,,L4,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
Line Notes:,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,EOF Marker - DO NOT DELETE,
