Name:,Technics SL-PD887 CD Player,,,,v8.12,,,,,,,CURRENT DATA
Devices:,Panasonic,160,10,,,,,,,,,
Manual:,,0 = 1-byte,LSB-COMP,88,NO,,,,,,,
Setup:,1303,99 = 15-2117 / 15-2116,04 - CD,EFC,USE,,,,,,,
15-2117 / 15-2116 Device Upgrade/Key Move Code:,,,,,,,,,,,,
Upgrade Code 0 = 95 17 (CD/1303),,,,,,,,,,,,
C9 1D 7E 7C 9D AA BF FB FA AF 83 03 7E DA 7F 43 DE 1D 4D AE AF FF BF 3F 9F 6D AD 5E,,,,,,,,,,,,
KeyMoves,,,,,,,,,,,,
 20 F3 95 17 FE,,,,,,,,,,,,
End,,,,,,,,,,,,
Protocol Code:,,,,,,,,,,,,
Upgrade Protocol 0 = 00 C9 (S3C8+),,,,,,,,,,,,
45 91 51 8B 12 8F 44 08 08 00 DA 00 C6 00 DA 02 7B 90 C9 06 D0 03 54 E6 0C E8 60 03 20 01 E4 08 09 B4 03 09 20 10 F6 01 46 F6 01 0A FB 0D 00 0C EB F4 C6 3E 00 00 B0 4A F6 01 0A AF,,,,,,,,,,,,
End,,,,,,,,,,,,
Key Move Code:,,,229,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
fFunctions,fEFC,fByte2,bButtons,bFunctions,fNotes,Device Combiner,,kFunctions,kBoundDev,kBoundKey,kShift,b$Functions
num 0,249,,0,00 - num 0,,Protocol ID,Fixed Data,,,,,
num 1,117,,1,01 - num 1,,,,,,,,
num 2,121,,2,02 - num 2,,,,,,,,
num 3,119,,3,03 - num 3,,,,,,,,
num 4,123,,4,04 - num 4,,,,,,,,
num 5,116,,5,05 - num 5,,,,,,,,
num 6,120,,6,06 - num 6,,,,,,,,
num 7,118,,7,07 - num 7,,,,,,,,
num 8,122,,8,08 - num 8,,,,,,,,
num 9,245,,9,09 - num 9,,,,,,,,
>10,188,,vol up,27 - On,,,,,,,,
Play,055,,vol down,28 - Off,,,,,,,,
Pause,182,,mute,25 - RECALL,,,,,,,,
10,192,,channel up,19 - Disc Select,,,,,,,,
Program,063,,channel down,26 - OPEN,,,,,,,,
fwd,187,,power,22 - power,,,,,,,,
Rewind,183,,enter,10 - >10,,,,,,,,
Random,040,,tv/video,18 - Clear,,,,,,,,
Clear,189,,last,21 - Repeat,,,,,,,,
Disc Select,220,,menu,,,,,,,,,
Stop,181,,guide,14 - Program,,,,,,,,
Repeat,170,,up arrow,,,,,,,,,
Power,024,,down arrow,,,,,,,,,
Previous Track,041,,left arrow,23 - Previous Track,,,,,,,,
Next Track,039,,right arrow,24 - Next Track,,,,,,,,
RECALL,193,,select,17 - Random,,,,,,,,
OPEN,185,,sleep,,,,,,,,,
,,,pip,,,,,,,,,
,,,info,13 - 10,,,,,,,,
On,022,,swap,,,,,,,,,
Off,026,,move,,,,,,,,,
,,,play,11 - play,,,,,,,,
,,,pause,12 - pause,,,,,,,,
,,,rewind,16 - rewind,,,,,,,,
,,,fast fwd,15 - fwd,,,,,,,,
,,,stop,20 - stop,,,,,,,,
,,,record,,,,,,,,,
,,,exit,,,,,,,,,
,,,surround,,,,,,,,,
,,,input,,,,,,,,,
,,,+100,,,,,,,,,
,,,fav/scan,,,,,,,,,
,,,device button,,,,,,,,,
,,,next track,,,,,,,,,
,,,prev track,,,,,,,,,
,,,shift-left,,,,,,,,,
,,,shift-right,,,,,,,,,
,,,freeze,,,,,,,,,
,,,slow,,,,,,,,,
,,,eject,,,,,,,,,
,,,slow+,,,,,,,,,
,,,slow-,,,,,,,,,
,,,x2,,,,,,,,,
,,,center,,,,,,,,,
,,,rear,,,,,,,,,
,,,phantom1,,,,,,,,,
,,,phantom2,,,,,,,,,
,,,phantom3,,,,,,,,,
,,,phantom4,,,,,,,,,
,,,phantom5,,,,,,,,,
,,,DiscreteON,,,,,,,,,
,,,DiscreteOFF,,,,,,,,,
,,,phantom8,,,,,,,,,
,,,phantom9,,,,,,,,,
,,,phantom10,,,,,,,,,
,,,setup,,,,,,,,,
,,,light,,,,,,,,,
,,,my system,,,,,,,,,
,,,macro1,,,,,,,,,
