Name:,Philips DVP620VR-17 VCR 0621,,,,v9.01,,,,,,,CURRENT DATA
Devices:,RC-5,5,105,4,,,,,,,,
Manual:,,0 = 1-byte,LSB-COMP,86,NO,,,,,,,
Setup:,0621,01 = 15-1994,03 - VCR,OBC,USE,1A 5A 1B,1,,,,,
15-1994 Device Upgrade/Key Move Code:,,,,,,,,,,,,
Upgrade Code 0 = 22 6D (VCR/0621) Philips DVP620VR-17 VCR 0621 (KM v9.01),,,,,,,,,,,,
E8 10 3C BE 26 F1 1A 5A 1B 7C 78 CC 5C 00 88 BD B9 A9 A5 8D C0 28 58 34 2C 24 B7,,,,,,,,,,,,
KeyMoves,,,,,,,,,,,,
 21 F3 22 6D 4B«subtitle»  ¦9F F3 22 6D EC«+10» ¦98 F3 22 6D 01«DVD» ¦A9 F3 22 6D 82«menu system»  ,,,,,,,,,,,,
End,,,,,,,,,,,,
Protocol Code:,,,,,,,,,,,,
Upgrade Protocol 0 = 00 E8 (S3C8) RC-5 (KM v9.01),,,,,,,,,,,,
40 9A 31 8B 0F C5 81 10 08 06 01 C2 01 A4 01 C2 01 A4 DE 2C 08 06 56 C0 03 09 01 76 00 01 6B 09 87 10 03 B6 C1 20 97 10 03 8D 01 33,,,,,,,,,,,,
End,,,,,,,,,,,,
Key Move Code:,,,229,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
fFunctions,fOBC,fByte2,bButtons,bFunctions,fNotes,Device Combiner,,kFunctions,kBoundDev,kBoundKey,kShift,b$Functions
num 0,000,0,0,00 - num 0,,Protocol ID,Fixed Data,,,,,27 - +10
num 1,001,0,1,01 - num 1,,,,,,,,
num 2,002,0,2,02 - num 2,,,,,,,,
num 3,003,0,3,03 - num 3,,,,,,,,
num 4,004,0,4,04 - num 4,,,,,,,,
num 5,005,0,5,05 - num 5,,,,,,,,
num 6,006,0,6,06 - num 6,,,,,,,,
num 7,007,0,7,07 - num 7,,,,,,,,
num 8,008,0,8,08 - num 8,,,,,,,,
num 9,009,0,9,09 - num 9,,,,,,,,
vol up,,,vol up,,,,,,,,,
vol down,,,vol down,,,,,,,,,
mute,,,mute,,,,,,,,,
channel up,032,0,channel up,10 - channel up,,,,,,,,
channel down,033,0,channel down,11 - channel down,,,,,,,,
power,012,0,power,12 - power,,,,,,,,
menu disc/vcr,029,0,enter,19 - enter,,,,,,,,
program/guide,,,tv/vcr,41 - VCR,,,,,,,,48 - DVD
display/info,,,last,,,,,,,,,
exit,,,menu,13 - menu disc/vcr,,,,,,,,44 - menu system
up arrow,080,1,program / guide,,,,,,,,,
down arrow,081,1,up arrow,14 - up arrow,,,,,,,,
left arrow,085,1,down arrow,15 - down arrow,,,,,,,,
right arrow,086,1,left arrow,16 - left arrow,,,,,,,,
select,092,1,right arrow,17 - right arrow,,,,,,,,
enter,040,0,select,18 - select,,,,,,,,
tv/vcr,063,0,sleep,,,,,,,,,
last/prev ch,,,pip,,,,,,,,,
sleep,,,display,30 - display/info,,,,,,,,
play,053,0,swap,,,,,,,,,
pause,041,0,move,,,,,,,,,
rewind,050,0,play,21 - play,,,,,,,,
