Name:,daewoo dvd/vcr DV6t955b,,,,v8.28,,,,,,,CURRENT DATA
Devices:,Proton,21,,,,,,,,,,
Manual:,,0 = 1-byte,LSB-COMP,88,NO,,,,,,,
Setup:,1833,24 = URC-881x / 801x / 601x,06 - DVD,EFC,USE,57,1,,,,,
URC-881x / 801x / 601x Device Upgrade/Key Move Code:,,,,,,,,,,,,
Upgrade Code 0 = 17 29 (DVD/1833) daewoo dvd/vcr DV6t955b (KM v8.28),,,,,,,,,,,,
5C 06 3E FE FC E1 57 17 E7 57 E7 C7 0F 2F A7 77 4F 8F B7 F7 67 3B 4F 17 07 3B 97 37 D7,,,,,,,,,,,,
KeyMoves,,,,,,,,,,,,
 22 F3 17 29 87«open/close (eject)» ¦20 F3 17 29 9B«vcr» ¦3C F3 17 29 1B«dvd» ¦25 F3 17 29 2B«com-skip»  ,,,,,,,,,,,,
End,,,,,,,,,,,,
Protocol Code:,,,,,,,,,,,,
Upgrade Protocol 0 = 00 5C (S3C8+) Proton (KM v8.28),,,,,,,,,,,,
43 8C 11 8B 16 C5 45 08 08 01 09 00 F5 01 09 03 07 7B 8E 10 7C 08 2A 00 00 00 09 8D 01 61,,,,,,,,,,,,
End,,,,,,,,,,,,
Key Move Code:,,,220,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
fFunctions,fEFC,fByte2,bButtons,bFunctions,fNotes,Device Combiner,,kFunctions,kBoundDev,kBoundKey,kShift,b$Functions
num 0,181,,0,00 - num 0,,Protocol ID,Fixed Data,,,,,
num 1,185,,1,01 - num 1,,,,,,,,
num 2,183,,2,02 - num 2,,,,,,,,
num 3,187,,3,03 - num 3,,,,,,,,
num 4,180,,4,04 - num 4,,,,,,,,
num 5,184,,5,05 - num 5,,,,,,,,
num 6,182,,6,06 - num 6,,,,,,,,
num 7,186,,7,07 - num 7,,,,,,,,
num 8,053,,8,08 - num 8,,,,,,,,
num 9,057,,9,09 - num 9,,,,,,,,
100 pscan,055,,vol up,,,,,,,,,
open/close (eject),246,,vol down,,,,,,,,,
clear,244,,mute,,,,,,,,,
channel up,122,,channel up,13 - channel up,,,,,,,,
channel down,245,,channel down,14 - channel down,,,,,,,,
power,120,,power,15 - power,,,,,,,,
menu,121,,enter,25 - enter,,,,,,,,
program,084,,tv/vid,26 - tv/vcr,,,,,,,,
display/info,250,,prev,,,,,,,,,
tvview,052,,menu,16 - menu,,,,,,,,
up arrow,122,,guide,49 - setup,,,,,,,,
down arrow,245,,up arrow,13 - channel up,,,,,,,,
left arrow,247,,down arrow,14 - channel down,,,,,,,,
right arrow,249,,left arrow,22 - left arrow,,,,,,,,
title/pbc,213,,right arrow,23 - right arrow,,,,,,,,
enter,219,,select,25 - enter,,,,,,,,
tv/vcr,118,,sleep,11 - open/close (eject),,,,,,,,
last ch,022,,pip,,,,,,,,,
subtitle,216,,info,18 - display/info,,,,,,,,
play,054,,swap,42 - vcr,,,,,,,,
pause,056,,move,43 - dvd,,,,,,,,
rewind,117,,play,29 - play,,,,,,,,
fast fwd,058,,pause,30 - pause,,,,,,,,
stop,056,,rewind,31 - rewind,,,,,,,,
record,119,,fwd,32 - fast fwd,,,,,,,,
f.fwd/next track,123,,stop,33 - stop,,,,,,,,
f.rew/prev track,116,,record,34 - record,,,,,,,,
audio,154,,exit,12 - clear,,,,,,,,
search,248,,surround,,,,,,,,,
zoom,217,,input,,,,,,,,,
speed,251,,+100,,,,,,,,,
repeat,089,,fav,,,,,,,,,
vcr,214,,device button,,,,,,,,,
dvd,218,,f fwd,35 - f.fwd/next track,,,,,,,,
3d,087,,f rew,36 - f.rew/prev track,,,,,,,,
mark,215,,shift-left,,,,,,,,,
angle,155,,shift-right,,,,,,,,,
com-skip,091,,pip freeze,,,,,,,,,
replay,148,,slow,,,,,,,,,
setup,059,,eject,,,,,,,,,
,,,slow+,,,,,,,,,
,,,slow-,,,,,,,,,
,,,x2,,,,,,,,,
,,,center,,,,,,,,,
,,,rear,,,,,,,,,
,,,phantom1,,,,,,,,,
,,,phantom2,,,,,,,,,
,,,phantom3,,,,,,,,,
,,,phantom4,,,,,,,,,
,,,phantom5,,,,,,,,,
,,,phantom6,,,,,,,,,
,,,phantom7,,,,,,,,,
,,,phantom8,,,,,,,,,
,,,phantom9,,,,,,,,,
,,,phantom10,,,,,,,,,
,,,setup,,,,,,,,,
,,,light,,,,,,,,,
,,,home theater,,,,,,,,,
,,,M1,,,,,,,,,
,,,M2,,,,,,,,,
,,,M3,,,,,,,,,
,,,M4,,,,,,,,,
,,,L1,47 - com-skip,,,,,,,,
,,,L2,,,,,,,,,
,,,L3,,,,,,,,,
,,,L4,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
Line Notes:,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,EOF Marker - DO NOT DELETE,
